Year-Month,nzd0227_Average_Value,Value,Smooth_Value
2015-01,368.9154655446291,-0.8,-0.02361844478636419
2015-02,369.7983539336039,0.2,-0.01329546431728201
2015-03,370.7590834747237,0.7,-0.041173350579970056
2015-04,370.8313623668846,-0.0,-0.142444984255451
2015-05,370.78021294375685,-0.7,-0.30597991161349786
2015-06,370.4580827664278,0.6,-0.5117448674079201
2015-07,369.57337725027446,-1.1,-0.7643328419166813
2015-08,370.30302198070723,-1.4,-0.9988527712047519
2015-09,371.9410349826871,-1.6,-1.1713927887173088
2015-10,372.31059001153193,-1.7,-1.2631127296992328
2015-11,371.15615368279015,-0.5,-1.281960380100571
2015-12,369.647469447314,-0.6,-1.2631889802651712
2016-01,369.88807948771483,-2.2,-1.193179246780593
2016-02,371.6288824911748,-2.0,-1.0168625849678246
2016-03,374.7600702038141,0.1,-0.7420966972240658
2016-04,375.6294672154787,-1.2,-0.43818537438602867
2016-05,373.78807189206935,0.4,-0.12180136371392039
2016-06,372.85789117561467,0.6,0.1427691734311783
2016-07,374.0510155980816,0.4,0.3238526609203065
2016-08,375.066159458225,0.7,0.41835244928505577
2016-09,372.2052490499938,1.2,0.427931097749497
2016-10,370.1945621767804,-0.3,0.37185413745738655
2016-11,368.12956886261304,-0.1,0.3176414059431359
2016-12,364.90931385909755,0.3,0.29082185715007086
