Year-Month,nzd0036_Average_Value,month,climatology,monthly_anomaly,Value,Smooth_Value
2010-01,-3.679692846697099,1,3.730248149394663,-7.409940996091762,-1.1,-0.3283283109196807
2010-02,-0.56649453147777,2,4.583006321604432,-5.149500853082202,-1.5,-0.19381528321611902
2010-03,-0.5476483638995653,3,3.1083791370189617,-3.656027500918527,0.7,0.05377544749432832
2010-05,-5.3765114448362255,5,0.4396580013241705,-5.816169446160396,0.9,0.6752677659650166
2010-06,-8.79517634761031,6,-3.0012651546144884,-5.793911192995822,0.4,0.9930585383243549
2010-07,-10.846775360879127,7,-4.3772564921453005,-6.469518868733826,1.8,1.2999972629312548
2010-09,-10.719343908716366,9,-3.373814966116216,-7.345528942600151,2.2,1.7889093332103907
2010-10,-9.580594442879454,10,-2.447715276085082,-7.132879166794371,1.7,1.9519140253763514
2010-11,-7.697272269801531,11,-0.9539168109973998,-6.743355458804132,1.3,2.0636595830473468
2011-01,-6.713470741502827,1,3.730248149394663,-10.44371889089749,2.3,2.1047145490955637
2011-02,-7.144491124132464,2,4.583006321604432,-11.727497445736896,2.7,2.0094786432935936
2011-03,-7.291727474183477,3,3.1083791370189617,-10.400106611202439,2.5,1.8405303366924897
2011-04,-7.23260154823453,4,3.3131930956622404,-10.54579464389677,1.9,1.6210043208679554
2011-08,-6.998196055203332,8,-4.28777698924408,-2.710419065959252,0.4,1.0055434492382593
2011-09,-6.983793862566017,9,-3.373814966116216,-3.6099788964498014,1.0,0.9812493908191638
2011-11,-7.099751223719339,11,-0.9539168109973998,-6.14583441272194,1.1,0.9736405911138795
2012-02,-7.047583223968603,2,4.583006321604432,-11.630589545573034,0.5,0.7022560391005549
2012-04,-6.558710872418672,4,3.3131930956622404,-9.871903968080913,-0.3,0.3959191071264236
2012-05,-5.685002073573257,5,0.4396580013241705,-6.124660074897427,0.0,0.269144118918578
2012-10,-4.461733540612605,10,-2.447715276085082,-2.014018264527523,0.3,0.04395840853995421
2012-11,-2.980293160711974,11,-0.9539168109973998,-2.026376349714574,0.3,0.06696415665332156
2013-02,-1.530929956062885,2,4.583006321604432,-6.113936277667317,-0.2,0.2952761183976156
2013-04,-0.4275759520347548,4,3.3131930956622404,-3.740769047696995,0.2,0.4944825475055453
2013-05,-4.327872686372629,5,0.4396580013241705,-4.7675306876968,0.8,0.5588906247797535
2013-06,-7.829214702746877,6,-3.0012651546144884,-4.827949548132389,1.2,0.5911352323489076
2013-07,-3.082153491450171,7,-4.3772564921453005,1.2951030006951294,0.8,0.5893438015280912
2013-08,-2.4400892598954442,8,-4.28777698924408,1.8476877293486353,0.2,0.5685566738449183
2013-09,-1.8682747731940839,9,-3.373814966116216,1.505540192922132,0.3,0.5496657518956664
2013-10,-0.7587003370083314,10,-2.447715276085082,1.6890149390767506,-0.1,0.5433252528920337
2013-11,0.2447179984250758,11,-0.9539168109973998,1.1986348094224755,0.7,0.5532542342708374
2013-12,3.1481993979728387,12,0.6215205789710385,2.5266788190018,0.1,0.565301607555227
2014-01,6.914699194002099,1,3.730248149394663,3.1844510446074366,1.4,0.5693925555386073
2014-02,6.50854688116006,2,4.583006321604432,1.9255405595556283,0.1,0.5425272163600707
2014-03,4.767962843071989,3,3.1083791370189617,1.6595837060530272,0.9,0.48477815717152684
2014-04,2.2784654081399807,4,3.3131930956622404,-1.0347276875222597,0.8,0.3839255224482153
2014-05,-2.686289987272611,5,0.4396580013241705,-3.125947988596782,0.5,0.23928339674394605
2014-06,-6.160330911131397,6,-3.0012651546144884,-3.1590657565169087,0.2,0.06172348898896588
2014-07,-6.711337666836454,7,-4.3772564921453005,-2.3340811746911534,-0.2,-0.13064036401825344
2014-09,-5.766521500869604,9,-3.373814966116216,-2.392706534753388,-0.7,-0.47388715837156903
2014-10,-3.041039284782086,10,-2.447715276085082,-0.593324008697004,-0.6,-0.5953844521945266
