Year-Month,Value,Smooth_Value
1999-10,1.0,1.1312349407057403
1999-11,1.0,1.1393081181403737
1999-12,1.4,1.1455162499009743
2000-01,0.7,1.1293715202819472
2000-02,1.7,1.0896577821776416
2000-03,1.3,0.9926432341747816
2000-04,1.2,0.8508163657425184
2000-05,0.4,0.6999413282758778
2000-06,0.2,0.6022254204329874
2000-07,-0.2,0.5971618387899716
2000-08,0.7,0.6937838586036505
2000-09,0.9,0.840756897569393
2000-10,1.1,0.9872171123468981
2000-11,1.8,1.0867870499309304
2000-12,0.8,1.1016301344203876
2001-01,1.0,1.0479203253985425
2001-02,1.7,0.9189895896375571
2001-03,0.9,0.7045409603139392
2001-04,0.2,0.4534222049762527
2001-05,-0.5,0.22928290793435718
2001-06,0.3,0.07658137410102245
2001-07,-0.2,-0.015451580642582645
2001-08,-0.4,-0.04066598657656731
2001-09,0.2,-0.006887446005250628
2001-10,-0.0,0.050846618677595115
2001-11,0.7,0.1131660577246847
2001-12,-0.8,0.15685018403929085
2002-01,0.4,0.2031183553382666
2002-02,1.1,0.20072911547736277
2002-03,0.2,0.11335055679177658
2002-04,-0.1,-0.027248807584892176
2002-05,-0.8,-0.18273863354465544
2002-06,0.2,-0.3202979144909729
2002-07,-0.5,-0.4538499113463405
2002-08,-1.0,-0.5579165127357666
2002-09,-0.6,-0.6105144835348872
2002-10,-0.4,-0.6231389009153037
2002-11,-0.5,-0.6064885961503831
2002-12,-1.1,-0.5543644298237237
2003-01,-0.2,-0.45250304256820195
2003-02,-0.7,-0.32796122956757046
2003-03,0.3,-0.18867411338421397
2003-04,-0.1,-0.07075074865796536
2003-05,-0.3,0.02670635975240887
2003-06,0.6,0.10237970552560935
2003-07,0.3,0.13021080500016283
2003-08,0.1,0.12182520502729159
2003-09,-0.1,0.10170633079667826
2003-10,0.0,0.09268481780810067
2003-11,-0.3,0.10231638691507099
2003-12,1.1,0.13113787822783673
2004-01,-1.3,0.1492193217835568
2004-02,1.2,0.20000120731501475
2004-03,0.4,0.21717684231966178
2004-04,-0.9,0.21016792687589114
2004-05,1.0,0.20224108163498
2004-06,0.8,0.13259159315039448
2004-07,-0.5,0.0008278214681042423
2004-08,-0.3,-0.14290004650028554
2004-09,-0.3,-0.2863687555125189
2004-10,-0.1,-0.42925199164277067
2004-11,-0.7,-0.5722557144454079
2004-12,-0.8,-0.6911521292907223
2005-01,0.3,-0.7713873226348781
2005-02,-3.1,-0.8066502651704671
2005-03,0.3,-0.7094953898603986
2005-04,-0.6,-0.566149028388844
2005-05,-0.8,-0.3863899569516913
2005-06,0.4,-0.18256043450717763
2005-07,0.2,0.0016752184554831712
2005-08,-0.3,0.1667690999959745
2005-09,0.4,0.32819214322177775
2005-10,1.2,0.4660675649153985
2005-11,-0.2,0.5659564819930971
2005-12,-0.0,0.6689996020451818
2006-01,1.7,0.7583329094636976
2006-02,0.1,0.7664300629751312
2006-03,1.8,0.6970757425135222
2006-04,1.1,0.50358688964573
2006-05,-0.5,0.22280322793490243
2006-06,0.2,-0.06327005836554545
2006-07,-0.6,-0.32736457769057653
2006-08,-1.0,-0.5222748960701494
2006-09,-0.6,-0.6214418467528897
2006-10,-1.3,-0.6344836608811095
2006-11,0.1,-0.5693948110481701
2006-12,-0.3,-0.4845683132921783
2007-01,-0.8,-0.3877049294070181
2007-02,-0.1,-0.2725283426248459
2007-03,0.2,-0.1639847168382392
2007-04,-0.1,-0.07395490610419828
2007-05,-0.1,0.013244246328910518
2007-06,0.5,0.11132354173611797
2007-07,-0.3,0.22541796629521554
2007-08,0.4,0.3900963851383357
2007-09,0.2,0.6001385573389421
2007-10,0.7,0.851074227710182
2007-11,0.9,1.1081312547243447
2007-12,1.7,1.3250968746163856
2008-01,1.8,1.4399968592260781
2008-02,2.6,1.4192478257287622
2008-03,1.4,1.2565288833890935
2008-04,0.7,1.0349357136197102
2008-05,-0.1,0.8484288479932847
2008-06,0.6,0.7656046442495692
2008-07,0.3,0.7832363812793087
2008-08,1.0,0.8855563493193676
2008-09,1.2,1.0202020800342926
2008-10,1.3,1.1434777492591415
2008-11,1.3,1.2253033567359592
2008-12,1.4,1.2474520949690855
2009-01,1.1,1.1973538200178127
2009-02,1.9,1.073990609528184
2009-03,0.4,0.8689720839438021
2009-04,0.8,0.6364603026259624
2009-05,-0.1,0.3951027799763181
2009-06,0.1,0.1759316437539616
2009-07,0.2,-0.027514361238301227
2009-08,-0.2,-0.22744667846746855
2009-09,0.3,-0.4188474337336694
2009-10,-1.2,-0.5946202574856061
2009-11,-0.6,-0.693231553781515
2009-12,-0.7,-0.6989922168300522
2010-01,-1.1,-0.5891528566101902
2010-02,-1.5,-0.3410404009925704
2010-03,0.7,0.029332542422886965
2010-04,1.2,0.41818711257566077
2010-05,0.9,0.7725330782417668
2010-06,0.4,1.0985857129406258
2010-07,1.8,1.4122131669377134
2010-08,1.8,1.676380753507111
2010-09,2.2,1.8834202949093874
2010-10,1.7,2.035025111536364
2010-11,1.3,2.1568626249144134
2010-12,2.9,2.2492293127682896
2011-01,2.3,2.2475327452339346
2011-02,2.7,2.1364623700289
2011-03,2.5,1.9046809005342833
2011-04,1.9,1.583526900530967
2011-05,0.4,1.2494215467040182
2011-06,0.2,1.0027520437909498
2011-07,1.0,0.8795801905127322
2011-08,0.4,0.8551765902788592
2011-09,1.0,0.9139310561159575
2011-10,0.8,1.005763567912414
2011-11,1.1,1.0871119761972177
2011-12,2.5,1.0988319684370504
2012-01,1.1,0.9827552226030529
2012-02,0.5,0.7868217475386099
