dates,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059,satname
2000-03-16 21:46:15+00:00,365.9414286,367.03,356.685,360.985,366.27,371.1333333,366.19,372.705,377.3,383.6223529,387.0733333,395.265,400.4246154,401.87,405.8728571,401.89,398.45,394.6823529,392.795,394.6223529,393.455,394.0723529,393.2123529,391.8923529,394.39,400.895,401.4623529,401.7123529,399.3023529,400.8323529,402.155,399.565,397.8423529,394.325,388.315,390.5123529,385.6023529,382.8768421,378.8123529,376.99,369.815,367.2223529,364.0833333,366.8785714,369.44,385.17,396.9085714,384.1385714,380.2785714,378.7485714,381.7168421,386.6968421,373.0033333,367.7623529,364.7668421,365.01,368.3288889,373.0372727,369.6214286,369.4314286,L7
2000-05-03 21:45:55+00:00,369.2928571,366.4366667,362.025,365.225,371.1266667,374.6188889,372.3066667,380.015,382.1266667,387.0447059,385.6588889,392.305,397.0769231,402.0766667,402.0357143,401.7466667,397.5466667,393.0547059,392.575,394.8947059,391.375,395.0447059,397.3747059,396.4447059,395.4066667,399.415,397.6647059,402.4947059,400.5947059,402.0547059,402.075,400.255,398.3847059,396.325,391.635,386.5547059,383.4247059,384.67,381.2147059,380.0266667,374.435,369.6847059,360.1088889,360.2104762,360.31,378.66,402.6204762,388.4704762,378.2504762,377.9804762,381.04,383.59,373.8188889,363.4547059,359.69,362.99,361.8625926,370.5427273,368.5228571,363.6128571,L7
2000-05-26 21:51:48+00:00,,379.8066667,375.31,374.14,379.2166667,385.2888889,383.7366667,382.36,389.4366667,395.4935294,401.1188889,404.96,406.6515385,414.5266667,413.4814286,405.7266667,404.9966667,405.4535294,408.61,398.1535294,396.48,399.3735294,398.5935294,398.3835294,402.2766667,401.38,404.3135294,408.4835294,406.9535294,409.8335294,413.72,408.31,403.3735294,401.32,396.27,393.4335294,,,,,,,,,,,,,,,,,377.3588889,,,,363.0192593,373.3709091,370.6157143,364.7957143,L7
2000-07-06 21:45:15+00:00,,377.2033333,370.63,371.13,374.5433333,376.3511111,385.2433333,389.55,384.1133333,373.6994118,374.3211111,,370.3061538,369.5833333,387.5328571,389.2133333,396.7433333,404.1794118,403.6,397.2194118,390.61,395.6394118,389.4794118,392.9394118,394.8733333,401.49,398.2694118,389.5894118,396.3694118,398.7294118,397.85,392.58,382.9594118,376.95,369.8,368.3394118,371.6294118,366.2968421,369.7394118,376.5333333,354.48,343.3994118,351.3811111,355.0052381,358.83,366.76,388.4252381,376.5752381,371.9352381,374.2452381,383.2168421,392.3968421,376.5811111,372.7694118,362.7168421,364.69,374.5307407,379.4781818,366.6614286,369.0614286,L7
2000-07-13 21:51:19+00:00,,376.09,373.15,367.6,370.91,376.1233333,374.86,376.82,381.71,387.8611765,392.5933333,398.3,403.2692308,409.34,408.3885714,402.21,399.79,401.5111765,398.31,395.5411765,395.04,393.7711765,394.3311765,394.2511765,396.3,400.26,401.9911765,400.8011765,398.6211765,397.6111765,394.58,393.76,395.1311765,392.86,387.55,386.4511765,385.8211765,386.3342105,376.9511765,376.46,368.82,359.2511765,359.8233333,358.7457143,360.54,369.01,385.2157143,379.5457143,377.8157143,374.9857143,387.9642105,390.2842105,376.6533333,369.8211765,363.3742105,359.22,367.3355556,369.3054545,365.8042857,361.7042857,L7
2000-08-07 21:44:45+00:00,,,,,,368.9466667,372.77,377.455,387.23,391.0694118,396.9166667,399.525,404.5192308,413.12,412.29,407.51,400.43,400.8694118,402.295,398.9194118,400.315,399.9994118,401.2594118,402.3994118,403.93,404.625,409.0594118,,,,,,,399.805,395.615,416.6494118,393.5394118,389.6494737,382.5794118,381.2,376.545,376.0894118,366.4466667,361.95,370.08,381,392.04,388.35,382.25,385.07,389.2994737,390.4494737,382.0866667,374.9294118,,,374.4244444,375.5109091,369.64,391.62,L7
2000-08-14 21:50:56+00:00,389.9214286,381.2066667,379.955,380.395,381.2866667,383.8355556,384.2166667,388.415,394.2666667,397.4105882,398.8955556,404.165,407.9,415.9666667,415.5628571,410.6066667,408.2266667,403.8605882,399.095,400.2105882,399.945,406.2305882,405.4305882,401.8205882,405.6066667,404.995,406.6505882,407.6405882,408.7605882,412.9305882,414.605,406.585,406.1005882,399.265,397.805,395.7105882,395.1205882,391.6715789,388.6205882,385.6666667,376.085,373.0505882,371.1955556,370.7519048,376.76,381.77,392.8619048,381.2319048,376.4219048,381.2919048,382.8315789,392.0815789,379.1655556,373.8205882,,368.22,367.047037,379.1681818,371.4714286,394.1814286,L7
2000-09-15 21:50:25+00:00,384.5871429,383.7366667,377.765,379.075,385.7366667,382.9322222,389.2866667,389.375,396.4166667,400.3694118,398.9722222,406.555,413.5507692,415.0766667,411.6242857,410.2766667,411.5266667,408.6394118,406.325,403.2794118,401.665,402.2894118,402.9894118,401.3494118,405.2866667,406.205,407.7394118,406.8794118,409.2194118,408.2594118,414.275,409.895,403.6994118,399.585,397.955,392.5294118,389.5194118,386.2273684,383.8894118,385.1566667,376.545,371.8394118,370.7722222,364.8261905,368.98,376.84,389.9961905,378.5861905,374.4961905,374.2361905,386.4773684,389.5973684,380.8122222,371.2794118,374.2473684,372.83,357.5714815,379.0227273,382.7471429,399.3771429,L7
2000-11-02 21:50:13+00:00,,,,,,,,,,,,390.315,391.9807692,402.5366667,400.8042857,392.4666667,389.7666667,386.6694118,387.685,389.2394118,387.465,385.4194118,388.7194118,385.5394118,387.4066667,393.135,394.7594118,393.7094118,392.6794118,397.5594118,404.265,400.435,391.8194118,389.485,384.735,380.4294118,384.0294118,383.8873684,380.7694118,374.7666667,375.115,372.8094118,355.3622222,364.1461905,365.58,373.7,384.6061905,375.9161905,370.0161905,373.6361905,384.0473684,388.4573684,377.2822222,365.7794118,371.0073684,368.62,374.5314815,389.9527273,389.2571429,398.9771429,L7
2000-11-11 21:44:00+00:00,359.85,356.79,357.98,363.48,364.63,369.6,371.7,366.96,377.89,380.57,388.56,387.21,393.6,403.55,402.36,398.89,397.12,396.64,394.23,390.24,388.45,389.05,387.9,389.1,389.73,390.08,388.05,388.12,393.33,398.42,402.43,400.8,395.05,390.74,388.34,384.85,380.85,381.68,379.23,377.01,374.3,370.41,366.8,368.51,370.11,372.13,385.57,380.09,373.48,379.06,393.11,417.67,381.28,372.22,369.08,369.32,377.16,392.64,394.72,403.77,L7
2000-12-04 21:50:10+00:00,358.0085714,354.0866667,358.765,362.395,363.1766667,367.9288889,373.0466667,379.925,384.9866667,388.3523529,384.9288889,395.965,401.3061538,405.6566667,398.6571429,394.7066667,392.5266667,394.3523529,389.675,390.0823529,390.465,390.6123529,390.5723529,392.8923529,391.1766667,393.955,391.7923529,395.1023529,395.1523529,398.0423529,401.285,397.185,393.7723529,388.545,382.555,383.4023529,380.5223529,383.1647368,376.5023529,375.2966667,372.295,365.4523529,367.2188889,363.7447619,371.41,377.61,389.4847619,377.9447619,373.8647619,377.9047619,385.0547368,392.7547368,381.1588889,373.0323529,374.4547368,369.95,379.4159259,393.6290909,398.6085714,406.0885714,L7
2000-12-20 21:50:16+00:00,,,,,,,,358.715,355.2966667,358.2594118,366.1088889,372.935,367.1284615,377.8266667,375.2928571,374.4466667,375.7966667,370.3894118,370.525,365.8794118,362.445,359.8494118,366.0094118,367.0394118,373.2366667,371.565,377.2794118,375.3194118,374.1794118,376.6594118,383.925,379.115,377.6894118,371.205,367.515,364.1694118,364.6294118,363.5205263,355.8294118,353.4566667,352.605,339.9994118,334.7888889,349.7019048,353.13,362.63,370.0819048,361.1019048,359.7319048,363.9419048,369.7905263,377.6205263,363.2088889,362.7794118,356.6805263,361.98,368.5759259,384.89,389.9114286,397.1614286,L7
2001-01-05 21:50:16+00:00,355.58,352.4766667,353.205,351.265,348.4166667,356.9255556,367.9866667,375.925,379.4966667,383.3452941,383.6055556,387.685,389.6115385,399.6866667,401.07,401.1166667,394.1866667,391.9652941,390.155,393.6252941,391.265,389.3852941,390.3352941,390.1952941,391.6666667,392.775,390.6152941,398.8952941,400.5652941,405.0652941,408.475,400.115,395.2552941,392.465,385.275,383.4452941,377.7452941,376.2121053,375.2752941,374.5566667,369.235,363.2152941,358.4855556,365.5433333,366.59,371.86,385.5233333,375.7733333,374.5933333,374.1133333,378.9321053,387.1421053,376.0955556,370.4052941,368.2521053,369.4,376.0703704,390.9154545,390.01,400.84,L7
2001-03-03 21:44:00+00:00,344.2957143,350.0466667,349.06,351.38,,,,,,377.7435294,383.2188889,381.39,391.5415385,399.7466667,392.9314286,390.6166667,386.6366667,386.8235294,386.04,386.2935294,382.65,385.7635294,383.3835294,386.2735294,386.6466667,387.21,390.0035294,384.3535294,389.0235294,387.1735294,390.73,389.59,388.3835294,386.31,377.84,376.7335294,377.9035294,371.1973684,370.8535294,370.2666667,365.11,349.8535294,331.2588889,346.897619,353.71,362.5,375.517619,364.807619,365.047619,368.737619,376.3473684,388.2073684,376.3088889,363.6835294,367.3373684,364.38,376.3792593,388.9509091,388.1957143,393.9357143,L7
2001-03-10 21:50:10+00:00,369.9471429,368.03,364.03,,,,,,,,,,409.6776923,413.19,405.6642857,404.53,402.58,400.9829412,400.89,394.1529412,390.1,396.1529412,397.3129412,397.2029412,400.63,400.5,399.8829412,401.4629412,405.7029412,405.9129412,407.11,406.16,399.5129412,396.99,394.55,391.5829412,389.8029412,384.1342105,394.4829412,411.76,,361.8129412,359.04,366.5528571,372.62,379.47,389.9628571,377.6528571,375.6228571,375.3628571,381.6342105,391.8642105,381.7,379.4029412,374.3642105,372.55,382.06,396.7090909,396.5071429,393.1971429,L7
2001-04-04 21:43:43+00:00,375.2857143,373.7966667,363.325,362.585,367.2766667,373.3688889,376.3466667,379.835,384.4166667,388.8117647,395.8888889,395.245,397.5692308,404.6366667,402.7614286,400.8566667,402.4366667,396.8617647,393.915,393.6017647,392.905,394.3117647,392.7517647,392.0417647,390.9166667,393.395,398.8917647,395.6717647,397.7817647,398.2617647,401.425,398.945,397.4017647,391.085,388.575,383.4317647,377.6217647,379.3157895,379.1917647,381.2666667,375.965,366.5417647,359.8688889,362.727619,368,373.83,389.027619,374.187619,370.887619,373.087619,378.6857895,384.5657895,373.9288889,366.5817647,366.9157895,366.86,375.6525926,388.4936364,391.1757143,385.7157143,L7
2001-04-20 21:43:46+00:00,374.0271429,366.6833333,359.4,361.28,361.8033333,360.8511111,361.8233333,373.59,370.5033333,384.2035294,385.4811111,384.68,392.9407692,399.0133333,396.2342857,394.3533333,394.3433333,387.4335294,384.72,388.2035294,383.43,382.3335294,381.1935294,382.8335294,385.1133333,390.17,385.3335294,389.1935294,393.5035294,397.1835294,396.96,392.62,394.7235294,388.52,383.47,380.8135294,381.2635294,383.2484211,376.7735294,377.0633333,367.87,357.8335294,358.3011111,359.1595238,364.7,370.89,379.6095238,373.7595238,366.4295238,371.4095238,378.7184211,385.7284211,375.8411111,367.9335294,368.6184211,366.07,373.3207407,388.05,386.0571429,388.8471429,L7
2001-06-30 21:49:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.945,406.1570588,401.395,399.465,401.2470588,,,,,,,,,,,,,,,,381.1463158,369.5011111,,,,371.5507407,384.3254545,378.1585714,388.9185714,L7
2001-07-25 21:42:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.8011111,370.8694118,,,375.0907407,394.8581818,387.6814286,398.1514286,L7
2001-08-10 21:42:36+00:00,372.8571429,377.33,368.765,367.725,372.63,373.2466667,379.31,387.595,387.09,384.7223529,383.9966667,397.485,406.6469231,409.36,400.0142857,398.59,392.27,395.5123529,393.925,394.3223529,393.805,392.1623529,400.5623529,392.0423529,388.99,391.515,391.7223529,394.9023529,387.3023529,392.3023529,,,401.8823529,394.065,393.895,389.4723529,377.0523529,378.3636842,376.8923529,374.94,372.965,370.2023529,344.0966667,360.4528571,364.22,370.21,382.3928571,369.0628571,361.3828571,366.6428571,376.6636842,380.7936842,364.7866667,,,,,,,,L7
2001-08-26 21:42:25+00:00,371.3271429,375.1033333,364.775,370.905,375.0033333,376.8844444,377.2933333,381.625,382.9133333,387.8241176,389.7944444,394.245,399.4115385,404.4933333,410.9442857,399.8733333,396.5333333,397.7441176,393.405,390.7141176,393.655,392.8841176,389.9541176,393.3841176,394.6733333,396.595,397.4041176,397.9741176,400.5441176,404.2041176,406.695,405.565,396.8541176,392.925,391.425,388.2341176,383.5741176,380.6089474,380.1641176,374.6233333,369.945,366.5941176,364.5744444,365.4695238,374.78,376.43,389.1595238,372.5995238,372.5595238,375.0295238,380.5989474,385.6689474,373.8144444,369.6341176,370.6489474,369.54,376.3362963,393.3890909,391.9971429,403.9071429,L7
