Year-Month,nzd0315_Average_Value,month,climatology,monthly_anomaly,Value
2010-01,14.31015468928536,1,4.141369917984232,10.168784771301128,-1.1
2010-03,1.802243077236782,3,5.5177161702236575,-3.7154730929868753,0.7
2010-04,10.568106373521937,4,2.777401394623692,7.790704978898245,1.2
2010-05,15.467772324907026,5,-4.338147545704978,19.805919870612005,0.9
2010-07,22.584831779452475,7,-7.5598018483481315,30.14463362780061,1.8
2010-08,19.64526175859822,8,-3.8291795560832833,23.474441314681503,1.8
2010-10,9.40289959768323,10,-6.374687020074778,15.777586617758008,1.7
2011-01,17.71832132927896,1,4.141369917984232,13.57695141129473,2.3
2011-02,2.1376269948958386,2,3.4327091732331163,-1.2950821783372777,2.7
2011-03,6.901545598978519,3,5.5177161702236575,1.3838294287548614,2.5
2011-07,-3.650075392683947,7,-7.5598018483481315,3.9097264556641846,1.0
2011-09,-18.47525459328512,9,-3.0471307102145517,-15.428123883070567,1.0
2011-11,-22.95481421593127,11,-4.454903819782397,-18.49991039614887,1.1
2011-12,25.3629652671164,12,-4.500570532585517,29.863535799701918,2.5
2012-03,-6.502715447299232,3,5.5177161702236575,-12.020431617522888,0.7
2012-06,-19.74716782696555,6,-6.0278144125313124,-13.719353414434238,0.4
2012-09,10.607592121615186,9,-3.0471307102145517,13.654722831829737,0.2
2012-10,-20.531385674733833,10,-6.374687020074778,-14.156698654659056,0.3
2012-12,2.824297368796837,12,-4.500570532585517,7.324867901382354,-0.6
2013-01,-0.9085412559631219,1,4.141369917984232,-5.049911173947354,-0.1
2013-02,12.61332263106373,2,3.4327091732331163,9.180613457830614,-0.2
2013-03,14.593280987820998,3,5.5177161702236575,9.075564817597341,1.5
2013-05,1.5651539758798008,5,-4.338147545704978,5.903301521584779,0.8
2013-06,9.510987001097597,6,-6.0278144125313124,15.53880141362891,1.2
2013-07,-15.1559420713503,7,-7.5598018483481315,-7.596140223002168,0.8
2013-08,-1.981224704019957,8,-3.8291795560832833,1.8479548520633262,0.2
2013-09,15.782973488498726,9,-3.0471307102145517,18.83010419871328,0.3
2013-10,-19.0766641329626,10,-6.374687020074778,-12.701977112887821,-0.1
2013-11,1.3414996355566364,11,-4.454903819782397,5.796403455339034,0.7
2014-01,-13.903976500877372,1,4.141369917984232,-18.045346418861605,1.4
2014-02,0.6366481393156501,2,3.4327091732331163,-2.796061033917466,0.1
2014-03,8.45561399140883,3,5.5177161702236575,2.9378978211851727,0.9
2014-04,5.607887269096262,4,2.777401394623692,2.8304858744725694,0.8
2014-05,-8.335993288053043,5,-4.338147545704978,-3.9978457423480647,0.5
2014-06,-6.239207872554291,6,-6.0278144125313124,-0.21139346002297899,0.2
2014-07,-18.745564566393064,7,-7.5598018483481315,-11.185762718044932,-0.2
2014-08,-0.3922683754496562,8,-3.8291795560832833,3.436911180633627,-0.7
2014-09,-1.1636954540417745,9,-3.0471307102145517,1.8834352561727772,-0.7
2014-10,-6.632204120855952,10,-6.374687020074778,-0.2575171007811736,-0.6
2014-11,-15.294939276631448,11,-4.454903819782397,-10.840035456849051,-0.9
