Year,ENSO_phase,Year-Month,nzd_188_Average_Value,Value,Smooth_Value,Month,Bias,Bias_smooth
2006,El Niño,2006-09-01,350.8789788614092,-0.6,-0.4058288939223478,9,-4.304644418233522,2.506153997046326
2006,El Niño,2006-10-01,362.3437085373061,-1.3,-0.4565838553982623,10,7.160085257663354,4.667631370953403
2006,El Niño,2006-11-01,362.88199383073066,0.1,-0.461770685171939,11,7.698370551087919,6.377552641941154
2006,El Niño,2006-12-01,366.29638017702206,-0.3,-0.4344626220293426,12,11.112756897379313,7.287500039065959
2007,La Niña,2007-01-01,365.1051668861276,-0.8,-0.3789552378006266,1,9.921543606484875,7.1666913062818765
2007,La Niña,2007-03-01,355.963734697535,0.2,-0.1986997039379799,3,0.7801114178922717,6.125031618435138
2007,La Niña,2007-04-01,365.5019557793427,-0.1,-0.0884133410033148,4,10.318332499699977,4.517780537647645
2007,La Niña,2007-05-01,358.4142783532257,-0.1,0.0339572769023364,5,3.230655073582966,2.2241649832949264
2007,La Niña,2007-07-01,351.0661094667287,-0.3,0.3142992847680083,7,-4.117513812914069,-0.35997572014498713
2007,La Niña,2007-08-01,354.2905012625833,0.4,0.4739804855248176,8,-0.8931220170594543,-2.749161595087726
2007,La Niña,2007-09-01,346.54967064342605,0.2,0.6416602189732884,9,-8.63395263621669,-4.792568883575818
2007,La Niña,2007-10-01,349.9302293929268,0.7,0.8100267345527304,10,-5.253393886715969,-6.174070064036952
2007,La Niña,2007-11-01,347.2203704254981,0.9,0.964867340780995,11,-7.963252854144628,-6.919661349391035
2007,La Niña,2007-12-01,346.41225776860455,1.7,1.0902501784485472,12,-8.771365511038198,-6.973341112111415
2008,La Niña,2008-01-01,348.0225332940194,1.8,1.1692298361461493,1,-7.1610899856233345,-6.372052727275041
2008,La Niña,2008-02-01,345.7511720896186,2.6,1.194388243426305,2,-9.432451190024153,-5.312876349223896
2008,La Niña,2008-05-01,355.6442172243391,-0.1,1.0627862825243426,5,0.46059394469637027,-4.063165864596052
2008,La Niña,2008-06-01,355.52376502257823,0.6,1.033196608552622,6,0.3401417429354865,-3.2571753240878687
2008,La Niña,2008-07-01,357.49162071846285,0.3,1.0295564652747424,7,2.3079974388201094,-3.126260838600717
2008,La Niña,2008-08-01,350.77956437872047,1.0,1.0484677989903517,8,-4.40405890092228,-3.5813920051198602
2008,La Niña,2008-09-01,343.7098767226189,1.2,1.0751332362291797,9,-11.473746557023844,-4.049549093922877
2008,La Niña,2008-11-01,350.9079323615412,1.3,1.0914587331424328,11,-4.275690918101532,-4.030981251494147
2008,La Niña,2008-12-01,352.4792603366133,1.4,1.0571302933044304,12,-2.704362943029423,-3.6871561656672576
2009,El Niño,2009-01-01,349.16401684118625,1.1,0.9838863720755224,1,-6.019606438456492,-3.2013360104289994
