Year-Month,Value,Smooth_Value
2007-07,-0.3,0.3142992847680083
2007-08,0.4,0.4739804855248176
2007-09,0.2,0.6416602189732884
2007-10,0.7,0.8100267345527304
2007-11,0.9,0.964867340780995
2007-12,1.7,1.0902501784485472
2008-01,1.8,1.1692298361461493
2008-02,2.6,1.194388243426305
2008-03,1.4,1.168163113651735
2008-04,0.7,1.114954843881622
2008-05,-0.1,1.0627862825243426
2008-06,0.6,1.033196608552622
2008-07,0.3,1.0295564652747424
2008-08,1.0,1.0484677989903515
2008-09,1.2,1.0751332362291797
2008-10,1.3,1.0939980941617313
2008-11,1.3,1.0914587331424328
2008-12,1.4,1.0571302933044304
2009-01,1.1,0.9838863720755224
2009-02,1.9,0.869957906050624
2009-03,0.4,0.7153901072609699
2009-04,0.8,0.5363225954557552
2009-05,-0.1,0.34396701995822165
2009-06,0.1,0.15365498953761492
2009-07,0.2,-0.026218871723666812
2009-08,-0.2,-0.1880982989547504
2009-09,0.3,-0.3208923574140802
2009-10,-1.2,-0.41369607643893225
2009-11,-0.6,-0.44590304228198885
2009-12,-0.7,-0.4091928400015729
2010-01,-1.1,-0.29765281962035156
2010-02,-1.5,-0.10991419303596693
2010-03,0.7,0.14285515316050587
2010-04,1.2,0.4277672416441795
2010-05,0.9,0.7206394833220333
2010-06,0.4,1.009355425950357
2010-07,1.8,1.2846011253585323
2010-08,1.8,1.527541458845468
2010-09,2.2,1.7273944111263444
2010-10,1.7,1.8776351316218827
2010-11,1.3,1.979123232078954
2010-12,2.9,2.029942775312839
2011-01,2.3,2.0175665236375817
2011-02,2.7,1.9430618835029676
2011-03,2.5,1.811909284426939
2011-04,1.9,1.6414163139977094
2011-05,0.4,1.4596419772343199
2011-06,0.2,1.2986856492495968
2011-07,1.0,1.1740897992620807
2011-08,0.4,1.0842299332207863
2011-09,1.0,1.02476140396126
2011-10,0.8,0.9806484716124718
2011-11,1.1,0.9364684993664979
2011-12,2.5,0.8739762180464689
2012-01,1.1,0.7774815381729151
2012-02,0.5,0.6567009918593896
2012-03,0.7,0.5263904621854942
2012-04,-0.3,0.39885737923302744
2012-05,0.0,0.2891218221121399
2012-06,0.4,0.20128422338246557
2012-07,-0.0,0.13492748713313715
2012-08,-0.2,0.09273945146293545
2012-09,0.2,0.07529971248418617
2012-10,0.3,0.07861381238010692
2012-11,0.3,0.1006357353263499
2012-12,-0.6,0.14277862468012753
2013-01,-0.1,0.20957069043417947
2013-02,-0.2,0.29393422657061696
2013-03,1.5,0.38395448503351726
2013-04,0.2,0.45999899547679274
2013-05,0.8,0.5198734987257058
2013-06,1.2,0.5573212513011949
2013-07,0.8,0.5704624863066088
2013-08,0.2,0.5674592922937158
2013-09,0.3,0.5600602814657425
2013-10,-0.1,0.554272514583827
2013-11,0.7,0.5520396105112044
2013-12,0.1,0.5450821800707384
2014-01,1.4,0.5274327151710545
2014-02,0.1,0.48616929865717307
2014-03,0.9,0.422003877199567
2014-04,0.8,0.3296145021771904
2014-05,0.5,0.21114791438775457
2014-06,0.2,0.07610062803245195
2014-07,-0.2,-0.06151752884983326
2014-08,-0.7,-0.18576080053322433
2014-09,-0.7,-0.282847219903566
2014-10,-0.6,-0.3470298073383711
2014-11,-0.9,-0.37907959540415914
2014-12,-0.6,-0.3837202759277883
2015-01,-0.8,-0.37381492205792527
2015-02,0.2,-0.36560597763186653
2015-03,0.7,-0.38199502832975296
2015-04,-0.0,-0.43704606643122756
2015-05,-0.7,-0.5279169118982808
2015-06,0.6,-0.6449365399049147
2015-07,-1.1,-0.781122723876722
2015-08,-1.4,-0.9100411038032798
2015-09,-1.6,-1.0102397771135927
2015-10,-1.7,-1.0679224489897376
2015-11,-0.5,-1.0785078280963925
2015-12,-0.6,-1.04729083483277
2016-01,-2.2,-0.970527204784078
2016-02,-2.0,-0.83748375424126
2016-03,0.1,-0.6566378119205111
2016-04,-1.2,-0.45463102287800405
2016-05,0.4,-0.24628256635865564
2016-06,0.6,-0.05805801187491336
2016-07,0.4,0.09367523616013035
2016-08,0.7,0.2028319297689278
2016-09,1.2,0.26811314540892905
2016-10,-0.3,0.29598821063494507
2016-11,-0.1,0.307487185104772
2016-12,0.3,0.31432781268503523
2017-01,0.2,0.3218608499750984
2017-02,-0.1,0.33521318150112045
2017-03,0.9,0.35760761600840085
2017-04,-0.2,0.3854667562812823
2017-05,0.3,0.42368808610397807
2017-06,0.4,0.4680211711938052
2017-07,0.8,0.5122829509227064
2017-08,0.5,0.5492275338627208
2017-09,0.6,0.5761046074777214
2017-10,0.9,0.589394679014975
2017-11,0.9,0.5859516212299095
2017-12,-0.1,0.5674825150183432
2018-01,1.1,0.5406014471943791
2018-02,-0.5,0.501493090274956
2018-03,1.5,0.45508271916460175
2018-04,0.5,0.3906472792322978
2018-05,0.4,0.31379054836007947
2018-06,0.1,0.23182494069197676
2018-07,0.2,0.15340989305389294
2018-08,-0.3,0.08514507757341984
2018-09,-0.9,0.034358136799182065
2018-10,0.4,0.002358821442719679
2018-11,-0.1,-0.024142463671914957
2018-12,1.0,-0.052222170305711565
2019-01,-0.0,-0.09014202422478625
2019-02,-1.4,-0.12972277978422836
2019-03,0.3,-0.16137672221061528
2019-04,0.1,-0.19536421829639555
2019-05,-0.4,-0.23473662354947644
2019-06,0.5,-0.2779302275668846
2019-07,-0.4,-0.3259635602026863
2019-08,-0.1,-0.3676999915052149
2019-09,-1.2,-0.39315971089463647
2019-10,-0.4,-0.3881800954238483
2019-11,-0.8,-0.35120540166301945
2019-12,-0.6,-0.28086457219132055
2020-01,0.2,-0.18279896518693844
2020-02,-0.1,-0.06763642988757002
2020-03,0.1,0.059976418300133984
2020-04,0.2,0.19488728318651571
2020-05,0.4,0.3325692370459775
2020-06,0.4,0.4685752383531332
2020-07,0.4,0.5995118512537521
2020-08,1.1,0.7209141517943374
2020-09,0.9,0.8251998433455503
2020-10,0.5,0.9107098456562677
2020-11,0.7,0.9769538309230903
2020-12,1.8,1.0170241300042413
2021-01,1.9,1.0196856701497694
2021-02,1.5,0.9859373765784076
2021-03,0.4,0.9305330859127987
2021-04,0.3,0.8762588632665481
2021-05,0.5,0.8376111942858729
2021-06,0.4,0.8200825198784517
2021-07,1.4,0.8238901060412446
2021-08,0.6,0.8426874293981125
2021-09,0.8,0.8791296836660211
2021-10,0.7,0.932080071477591
2021-11,1.0,0.9991653941581602
2021-12,1.5,1.074386201916231
2022-01,0.5,1.1517560856765825
2022-02,1.1,1.2319388519590542
2022-03,1.8,1.3054146184447888
2022-04,1.7,1.3606019582530682
2022-05,1.4,1.3936473410899752
2022-06,1.7,1.4060003310638873
2022-07,0.8,1.3992097525786524
2022-08,1.0,1.3794181748652452
2022-09,1.6,1.343405514770597
2022-10,1.7,1.282023280159371
2022-11,0.3,1.1901322677279405
2022-12,2.1,1.0691241604201882
2023-01,1.4,0.9064823244967468
2023-02,1.4,0.7057975612116845
2023-03,0.2,0.4783718854988077
2023-04,0.2,0.24635422539799
2023-05,-1.0,0.027543948238186358
2023-06,0.3,-0.1609838634234924
2023-07,-0.3,-0.3182095012211561
2023-08,-0.8,-0.43591038392292314
2023-09,-1.3,-0.5055794068403315
2023-10,-0.5,-0.524398365536124
2023-11,-0.8,-0.5019618773411612
2023-12,-0.2,-0.4474833351248037
2024-01,0.5,-0.3748329774229559
2024-02,-1.4,-0.29401411566019725
2024-03,0.4,-0.2013607959888732
2024-04,-0.2,-0.1104880940041389
2024-05,0.5,-0.02561482286382298
2024-06,0.0,0.04764158074306053
2024-07,-0.7,0.11187641173474401
2024-08,0.9,0.16894056533035032
2024-09,-0.1,0.20799936781564718
2024-10,0.5,0.22964094914311506
