YEAR,Month,Value,Date
2014,MAR,0.9,2014-03-01
2014,APR,0.8,2014-04-01
2014,MAY,0.5,2014-05-01
2014,JUN,0.2,2014-06-01
2014,JUL,-0.2,2014-07-01
2014,AUG,-0.7,2014-08-01
2014,SEP,-0.7,2014-09-01
2014,OCT,-0.6,2014-10-01
2014,NOV,-0.9,2014-11-01
2014,DEC,-0.6,2014-12-01
2015,JAN,-0.8,2015-01-01
2015,FEB,0.2,2015-02-01
2015,MAR,0.7,2015-03-01
2015,APR,-0.0,2015-04-01
2015,MAY,-0.7,2015-05-01
2015,JUN,0.6,2015-06-01
2015,JUL,-1.1,2015-07-01
2015,AUG,-1.4,2015-08-01
2015,SEP,-1.6,2015-09-01
2015,OCT,-1.7,2015-10-01
2015,NOV,-0.5,2015-11-01
2015,DEC,-0.6,2015-12-01
2016,JAN,-2.2,2016-01-01
2016,FEB,-2.0,2016-02-01
2016,MAR,0.1,2016-03-01
2016,APR,-1.2,2016-04-01
2016,MAY,0.4,2016-05-01
2016,JUN,0.6,2016-06-01
2016,JUL,0.4,2016-07-01
2016,AUG,0.7,2016-08-01
2016,SEP,1.2,2016-09-01
2016,OCT,-0.3,2016-10-01
2016,NOV,-0.1,2016-11-01
2016,DEC,0.3,2016-12-01
2017,JAN,0.2,2017-01-01
2017,FEB,-0.1,2017-02-01
2017,MAR,0.9,2017-03-01
2017,APR,-0.2,2017-04-01
2017,MAY,0.3,2017-05-01
2017,JUN,0.4,2017-06-01
2017,JUL,0.8,2017-07-01
2017,AUG,0.5,2017-08-01
2017,SEP,0.6,2017-09-01
2017,OCT,0.9,2017-10-01
2017,NOV,0.9,2017-11-01
2017,DEC,-0.1,2017-12-01
2018,JAN,1.1,2018-01-01
2018,FEB,-0.5,2018-02-01
2018,MAR,1.5,2018-03-01
2018,APR,0.5,2018-04-01
2018,MAY,0.4,2018-05-01
2018,JUN,0.1,2018-06-01
2018,JUL,0.2,2018-07-01
2018,AUG,-0.3,2018-08-01
2018,SEP,-0.9,2018-09-01
2018,OCT,0.4,2018-10-01
2018,NOV,-0.1,2018-11-01
2018,DEC,1.0,2018-12-01
2019,JAN,-0.0,2019-01-01
2019,FEB,-1.4,2019-02-01
2019,MAR,0.3,2019-03-01
2019,APR,0.1,2019-04-01
2019,MAY,-0.4,2019-05-01
2019,JUN,0.5,2019-06-01
2019,JUL,-0.4,2019-07-01
2019,AUG,-0.1,2019-08-01
2019,SEP,-1.2,2019-09-01
2019,OCT,-0.4,2019-10-01
2019,NOV,-0.8,2019-11-01
2019,DEC,-0.6,2019-12-01
2020,JAN,0.2,2020-01-01
2020,FEB,-0.1,2020-02-01
2020,MAR,0.1,2020-03-01
2020,APR,0.2,2020-04-01
2020,MAY,0.4,2020-05-01
2020,JUN,0.4,2020-06-01
2020,JUL,0.4,2020-07-01
2020,AUG,1.1,2020-08-01
2020,SEP,0.9,2020-09-01
2020,OCT,0.5,2020-10-01
2020,NOV,0.7,2020-11-01
2020,DEC,1.8,2020-12-01
2021,JAN,1.9,2021-01-01
2021,FEB,1.5,2021-02-01
2021,MAR,0.4,2021-03-01
2021,APR,0.3,2021-04-01
2021,MAY,0.5,2021-05-01
2021,JUN,0.4,2021-06-01
2021,JUL,1.4,2021-07-01
2021,AUG,0.6,2021-08-01
2021,SEP,0.8,2021-09-01
2021,OCT,0.7,2021-10-01
2021,NOV,1.0,2021-11-01
2021,DEC,1.5,2021-12-01
2022,JAN,0.5,2022-01-01
2022,FEB,1.1,2022-02-01
2022,MAR,1.8,2022-03-01
2022,APR,1.7,2022-04-01
2022,MAY,1.4,2022-05-01
2022,JUN,1.7,2022-06-01
2022,JUL,0.8,2022-07-01
2022,AUG,1.0,2022-08-01
2022,SEP,1.6,2022-09-01
2022,OCT,1.7,2022-10-01
2022,NOV,0.3,2022-11-01
2022,DEC,2.1,2022-12-01
2023,JAN,1.4,2023-01-01
2023,FEB,1.4,2023-02-01
2023,MAR,0.2,2023-03-01
2023,APR,0.2,2023-04-01
2023,MAY,-1.0,2023-05-01
2023,JUN,0.3,2023-06-01
2023,JUL,-0.3,2023-07-01
2023,AUG,-0.8,2023-08-01
2023,SEP,-1.3,2023-09-01
2023,OCT,-0.5,2023-10-01
2023,NOV,-0.8,2023-11-01
2023,DEC,-0.2,2023-12-01
2024,JAN,0.5,2024-01-01
2024,FEB,-1.4,2024-02-01
2024,MAR,0.4,2024-03-01
2024,APR,-0.2,2024-04-01
2024,MAY,0.5,2024-05-01
2024,JUN,0.0,2024-06-01
2024,JUL,-0.7,2024-07-01
2024,AUG,0.9,2024-08-01
2024,SEP,-0.1,2024-09-01
2024,OCT,0.5,2024-10-01
