nzd_name,orientation,coordinate,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",4,0.10689540994827004,2.0,0.3816393899428341
nzd0006,95.1,"-34.460544,172.999415",2,6.645566529807222e-06,5.0,0.8277984858804317
nzd0007,81.61,"-34.501239,172.999801",1,0.008011582831740742,0.0,0.7487746362803216
nzd0008,231.15,"-34.496384,172.700246",3,0.00672484956324897,3.0,-0.5851328022090458
nzd0011,232.4,"-34.714696,172.929167",3,0.00037755026583921543,8.0,-0.8155230530567629
nzd0012,43.38,"-34.720405,173.075978",1,0.005131526707113503,9.0,-0.8685652248014759
nzd0019,330.08,"-34.804460,173.394798",4,0.030072976909152737,0.0,0.37243383667323104
nzd0022,307.79,"-34.811651,173.391714",4,0.06341838606215057,11.0,-0.3932222320000211
nzd0025,234.93,"-34.828244,173.028933",3,0.002366399028697693,9.0,-0.6696331536747683
nzd0027,330.57,"-34.849431,173.373734",4,0.002259266918797172,0.0,0.5204838192820183
nzd0029,14.44,"-34.875018,173.202629",1,0.0005399776345958226,5.0,-0.7841014775170365
nzd0031,54.3,"-34.954059,173.387105",1,1.1452076140643522e-05,10.0,-0.803618825198447
nzd0040,347.28,"-34.992682,173.514149",4,0.010655129009593872,11.0,0.4749249527929436
nzd0046,251.25,"-35.020317,173.164765",3,5.192836811878862e-06,10.0,-0.8851423599959297
nzd0054,267.93,"-35.082333,173.180023",3,0.03822634595415301,4.0,-0.4085958252920318
nzd0055,61.0,"-35.097321,173.936610",1,6.001866603130097e-08,0.0,0.7783322365894791
nzd0059,235.0,"-35.152967,173.163400",3,0.03484107009473678,2.0,-0.4323887893056031
nzd0062,230.17,"-35.220384,173.095933",3,0.00015721300209910823,0.0,0.7201628822680237
nzd0070,232.56,"-35.411860,173.260164",3,0.002029085827771616,0.0,0.49103790132460917
nzd0082,230.88,"-35.486466,173.327016",3,0.0034015304899907162,0.0,0.4815588343436395
nzd0096,229.12,"-35.684127,173.495611",3,0.06419566271995505,11.0,-0.45844864158533777
nzd0100,62.1,"-35.820410,174.557552",1,0.0007214823971919636,5.0,-0.6204111942677307
nzd0107,59.19,"-36.013595,174.490939",1,6.768268017712746e-05,6.0,-0.7457982852866355
nzd0119,51.23,"-36.197932,174.671916",1,0.011981565138966803,0.0,0.4143875492044548
nzd0132,234.46,"-36.511695,174.189160",3,0.00011113579065405857,9.0,0.888729862607172
