nzd_name,orientation,coordinate,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",4,0.06458963376342197,0.0,-0.42090778181488697
nzd0006,95.1,"-34.460544,172.999415",2,0.007336019520104163,0.0,0.5227765154197478
nzd0007,81.61,"-34.501239,172.999801",1,0.020766164072379485,0.0,0.7468477477827207
nzd0008,231.15,"-34.496384,172.700246",3,0.001412618575865899,0.0,0.6255206666684914
nzd0011,232.4,"-34.714696,172.929167",3,0.005054716501983661,6.0,-0.7028275253986743
nzd0012,43.38,"-34.720405,173.075978",1,0.033930682021539364,11.0,-0.7915624485796044
nzd0019,330.08,"-34.804460,173.394798",4,0.321252682461311,8.0,0.22176741621420049
nzd0022,307.79,"-34.811651,173.391714",4,0.029043557855717404,0.0,0.3861410837673125
nzd0025,234.93,"-34.828244,173.028933",3,0.0009151319918518809,8.0,-0.7639413802451964
nzd0027,330.57,"-34.849431,173.373734",4,0.006912694326031287,3.0,0.5362150145973796
nzd0029,14.44,"-34.875018,173.202629",1,0.0010775235927412336,4.0,-0.895998414045245
nzd0031,54.3,"-34.954059,173.387105",1,0.01136222609535015,8.0,-0.5669635194531215
nzd0040,347.28,"-34.992682,173.514149",4,1.9855994769018934e-05,0.0,-0.6622863884807957
nzd0046,251.25,"-35.020317,173.164765",3,0.00019090173875787895,0.0,0.6788542221669637
nzd0054,267.93,"-35.082333,173.180023",3,0.03505487228719341,0.0,0.41492294820377457
nzd0055,61.0,"-35.097321,173.936610",1,1.0119842370118709e-06,11.0,-0.8978033128110348
nzd0059,235.0,"-35.152967,173.163400",3,0.0015077862217816643,8.0,-0.7069280102984383
nzd0062,230.17,"-35.220384,173.095933",3,2.829671371006124e-05,0.0,0.8221811386641786
nzd0070,232.56,"-35.411860,173.260164",3,0.0005772644644982395,0.0,0.5597518387551706
nzd0082,230.88,"-35.486466,173.327016",3,0.011787813278649393,0.0,0.46124669783612693
nzd0096,229.12,"-35.684127,173.495611",3,0.02921647893649921,0.0,0.43632573137950925
nzd0100,62.1,"-35.820410,174.557552",1,9.496336277901903e-10,6.0,-0.9461090272180658
nzd0107,59.19,"-36.013595,174.490939",1,0.0006885200953062042,0.0,0.6327235460732122
nzd0119,51.23,"-36.197932,174.671916",1,4.003019329572013e-05,8.0,-0.7994850750925674
nzd0132,234.46,"-36.511695,174.189160",3,0.0058870244964173675,8.0,0.8276469603207681
nzd0139,47.7,"-36.600789,175.523792",1,3.463649870972888e-05,6.0,-0.8790638230235414
nzd0139,47.7,"-36.600789,175.523792",1,3.463649870972888e-05,6.0,-0.8790638230235414
nzd0143,177.88,"-36.611098,174.825580",2,0.06922431852534593,0.0,-0.31075298605250834
nzd0161,238.91,"-36.685865,174.334589",3,0.08226252193015199,5.0,0.420530570946254
nzd0191,92.53,"-37.090106,175.882983",2,0.1792633240823485,3.0,-0.24351210271810203
nzd0205,245.66,"-37.489125,174.738749",3,0.002881855510989103,8.0,0.5708417062618437
nzd0207,58.63,"-37.517365,176.033763",1,0.0001543687253810863,9.0,-0.6857911288719709
nzd0212,251.19,"-37.622576,174.789051",3,1.9651154711040842e-05,6.0,0.7239982708026983
nzd0224,129.39,"-37.789835,178.468346",2,5.182459574012649e-06,7.0,-0.8583231641598361
nzd0226,35.17,"-37.805578,176.550300",1,0.09585711879740806,0.0,0.3556086975957589
nzd0227,324.64,"-37.811162,177.647166",4,0.009036107692971248,11.0,0.5316202796333156
nzd0229,20.56,"-37.876639,176.717095",1,0.0018234389850799158,0.0,0.6027900692200538
nzd0234,23.98,"-37.926856,176.951915",1,0.010742792235173519,6.0,-0.5569671828468052
nzd0237,257.38,"-37.933991,174.784609",3,1.2800185449734385e-08,2.0,0.9082020758021623
nzd0237,255.23,"-37.931804,174.783964",3,1.2800185449734385e-08,2.0,0.9082020758021623
nzd0240,352.32,"-37.989372,177.355755",4,0.14205295955552025,7.0,-0.27946245490115945
nzd0266,274.03,"-38.596155,174.632046",4,0.002224837415688704,8.0,0.7250470270861802
nzd0277,322.09,"-39.011512,174.169088",4,0.0016881172532408394,0.0,-0.49850980014336543
nzd0279,82.04,"-39.031987,177.883684",1,3.30092041496565e-06,3.0,-0.7959814702966981
nzd0281,181.87,"-39.048416,177.676023",3,0.022451258826723768,0.0,-0.41537096446423777
nzd0292,258.69,"-39.351277,173.774309",3,0.03060926763959878,10.0,0.44192231593603726
nzd0293,122.4,"-39.352309,176.904989",2,0.007511571256274033,0.0,0.45044190959971064
nzd0295,123.88,"-39.716367,177.022420",2,0.012837960420420954,5.0,-0.4563418843455659
nzd0300,196.98,"-39.869970,174.859465",3,0.00022527179659332364,2.0,0.7211452173237947
nzd0309,254.77,"-40.173265,175.200489",3,3.450552539890785e-05,6.0,-0.7897700903137138
nzd0310,133.42,"-40.244950,176.708996",2,0.03387895098923882,0.0,0.3648358805428839
nzd0311,274.4,"-40.388368,175.229571",4,5.859517179619409e-05,0.0,0.6752159276871518
nzd0311,277.56,"-40.436146,175.223264",4,5.859517179619409e-05,0.0,0.6752159276871518
nzd0312,143.59,"-40.507909,176.527962",2,0.18435157327022528,0.0,0.23322942730973278
nzd0321,299.01,"-40.816618,175.069624",4,1.9230524695208486e-05,9.0,0.8908426697172427
nzd0330,119.43,"-40.961102,176.139207",2,4.720990939908582e-06,3.0,0.7577034629509157
nzd0343,118.76,"-41.137874,176.044767",2,0.0005121838065227286,2.0,-0.655115043024042
nzd0347,150.5,"-41.256991,175.905685",2,0.01284542360805403,0.0,-0.5455515466151166
nzd0353,199.42,"-41.385804,175.115216",3,0.047063943799457365,3.0,-0.37175610022352157
nzd0358,175.67,"-41.565490,175.391280",2,0.0006922234959643582,0.0,-0.6937575996496842
