nzd_name,orientation,coordinate,location,y,x,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",N,-34.429002,172.946715,4,0.05242058177593475,1.0,-0.9966118078379103
nzd0006,95.1,"-34.460544,172.999415",N,-34.460544,172.999415,2,0.15812378594068463,2.0,0.9693118801011154
nzd0011,232.4,"-34.714696,172.929167",W,-34.714696,172.929167,3,0.18447479198615613,0.0,0.5669006895395181
nzd0019,330.08,"-34.804460,173.394798",N,-34.80446,173.394798,4,0.002470801836929413,3.0,-0.9291353736835155
nzd0025,234.93,"-34.828244,173.028933",W,-34.828244,173.028933,3,0.18010816156745124,0.0,0.6299064242601615
nzd0029,14.44,"-34.875018,173.202629",N,-34.875018,173.202629,1,1.0,0.0,1.0
nzd0036,330.03,"-34.963229,173.677262",N,-34.963229,173.677262,4,1.4514765903472494e-06,3.0,-0.9846561569748399
nzd0046,251.25,"-35.020317,173.164765",W,-35.020317,173.164765,3,0.009209569948857377,0.0,0.8787051900725114
nzd0053,104.04,"-35.033276,173.909632",N,-35.033276,173.909632,2,0.10607140288352478,1.0,-0.6608497701872558
nzd0054,267.93,"-35.082333,173.180023",W,-35.082333,173.180023,3,0.06631375093775285,2.0,-0.8527454986182194
nzd0059,235.0,"-35.152967,173.163400",W,-35.152967,173.1634,3,0.24873162105568092,0.0,0.7512683789443192
nzd0070,232.56,"-35.411860,173.260164",W,-35.41186,173.260164,3,0.0010107459274717725,2.0,-0.8979393435290536
nzd0075,112.46,"-35.435482,174.425048",N,-35.435482,174.425048,2,0.002455714498953577,2.0,-0.929311512776746
nzd0090,20.4,"-35.563843,174.489134",N,-35.563843,174.489134,1,3.0968061260487316e-05,2.0,-0.9878628719142954
nzd0100,62.1,"-35.820410,174.557552",N,-35.82041,174.557552,1,0.0012657538927643081,2.0,-0.9708087774130851
nzd0106,69.89,"-35.983841,174.474238",N,-35.983841,174.474238,1,0.0029592913643276962,2.0,-0.955248057506095
nzd0115,240.4,"-36.115880,173.890577",W,-36.11588,173.890577,3,0.1350230041082645,0.0,-0.6827289211354945
nzd0119,49.92,"-36.212040,174.699727",N,-36.21204,174.699727,1,0.005864122769408614,2.0,-0.8992035923164459
nzd0121,250.31,"-36.289352,174.008503",W,-36.289352,174.008503,3,0.21264564649593987,0.0,0.5951824845934781
nzd0161,238.91,"-36.685865,174.334589",W,-36.685865,174.334589,3,0.04777025122987517,1.0,-0.9971860199044538
nzd0191,96.52,"-37.087958,175.883102",N,-37.084162,175.883443,2,0.04242493392868304,2.0,-0.723663198948092
nzd0198,65.8,"-37.281543,175.898166",N,-37.281543,175.898166,1,0.07346480572669234,2.0,-0.7106691467127193
nzd0205,245.66,"-37.489125,174.738749",W,-37.489125,174.738749,3,0.012819261053976029,0.0,-0.7817622842774463
nzd0231,19.31,"-37.901067,176.837798",N,-37.901067,176.837798,1,0.00521681857211151,0.0,0.8337996598878513
nzd0233,316.29,"-37.910611,177.547418",N,-37.910611,177.547418,4,0.0025220826848751762,1.0,0.8370386539805057
nzd0232,251.76,"-37.901906,174.772844",W,-37.901906,174.772844,3,0.029066885552860633,0.0,-0.9709331144471394
nzd0240,355.21,"-37.991170,177.334113",N,-37.99117,177.334113,4,0.0002865017775741476,0.0,0.9074658329933349
nzd0242,112.55,"-38.003452,178.336959",E,-38.003452,178.336959,2,0.0624213645046816,1.0,-0.7884058612830862
nzd0251,12.09,"-38.252944,178.323944",E,-38.252944,178.323944,1,0.108209892651272,2.0,-0.7946362752088868
nzd0254,109.27,"-38.308032,178.322004",E,-38.308032,178.322004,2,0.0255113899973544,2.0,-0.9226722705157261
nzd0257,291.14,"-38.373922,174.664813",W,-38.373922,174.664813,4,0.5381854269429981,0.0,0.6634472361695947
nzd0266,274.03,"-38.596155,174.632046",W,-38.596155,174.632046,4,0.38485425070257934,0.0,0.8227706644098652
nzd0273,281.44,"-38.791640,174.596652",W,-38.79164,174.596652,4,0.032522405313101466,0.0,-0.9986953902470381
nzd0275,104.74,"-38.802263,177.918341",E,-38.802263,177.918341,2,0.0048549190992818805,0.0,-0.9425561396315875
nzd0277,310.72,"-39.007556,174.174006",W,-39.007556,174.174006,4,0.028522648335322816,0.0,-0.655590216762986
nzd0286,74.62,"-39.182892,177.920762",E,-39.182892,177.920762,1,2.3752687649845762e-05,0.0,-0.9960180191583199
nzd0295,123.88,"-39.716367,177.022420",E,-39.716367,177.02242,2,0.019374531037216404,1.0,-0.7910791140035506
nzd0299,199.78,"-39.857357,174.806918",W,-39.857124,174.806073,3,0.4593587813298769,0.0,0.4391758774032563
nzd0305,92.35,"-40.050120,176.875841",E,-40.05012,176.875841,2,1.2205120320879432e-05,3.0,-0.9971461439035708
nzd0315,279.08,"-40.521342,175.205215",W,-40.521342,175.205215,4,0.004598116469267492,0.0,0.8734488157160042
nzd0321,294.62,"-40.793391,175.085263",W,-40.793391,175.085263,4,0.25171096270865456,0.0,0.6329672393013617
nzd0324,106.51,"-40.886570,176.215881",E,-40.88657,176.215881,2,0.30225087882425455,1.0,-0.4183972328992951
nzd0330,119.43,"-40.961102,176.139207",E,-40.961102,176.139207,2,0.03008218439648076,0.0,0.7158830449420928
nzd0332,289.1,"-40.959957,174.970738",W,-40.959957,174.970738,4,0.0031471903437240174,0.0,0.9218078352269715
nzd0343,118.76,"-41.137874,176.044767",E,-41.137874,176.044767,2,0.09447385229455028,0.0,-0.6774980972183006
nzd0348,149.61,"-41.270162,175.884555",E,-41.270162,175.884555,2,0.0010155939788466148,0.0,-0.9245081874978951
