Year-Month,nzd_191_Average_Value,Value
1999-09,313.4346264627522,0.7485207069940297
1999-10,313.3843143841003,0.8236456826074188
1999-11,313.31708485091633,0.9233735598650692
1999-12,313.21754079764946,1.011386782137625
2000-02,313.0893641624535,1.0618235544692682
2000-03,312.92429039652654,0.995728233891588
2000-05,312.73480377595627,0.7356117611208182
2000-06,312.5975949671616,0.6445820432827478
2000-07,312.4583960010077,0.6388184610084495
2000-08,312.2586943725118,0.7224262610540236
2000-11,312.0763933550238,1.0595732093649353
2001-01,311.9687598700965,1.0088963762614733
2001-06,311.741797584844,0.09119115738362729
2001-09,311.54102777396474,0.01608407826427507
2001-10,311.4601527978028,0.07811637345394473
2002-01,311.3197281106093,0.21449372955658763
2002-02,311.148662340398,0.19354676032406123
2002-03,310.923820780853,0.10063732676148326
2002-04,310.64623332301625,-0.03842570399274743
2002-06,310.4227788631077,-0.32407168931229496
2002-07,310.1712035635002,-0.4540924716109949
2002-08,309.89301341892707,-0.5544184781988168
2002-10,309.26973684724527,-0.6134335732004034
2002-12,308.60735361179087,-0.5445271348412026
2003-01,308.10614566627413,-0.4466556699562611
2003-03,307.619858984881,-0.1944592892893433
2003-04,307.17121082378884,-0.08111569386380056
2003-05,306.5447036949599,0.013456731099329336
2003-07,306.1664393972794,0.1208658332242577
2003-08,305.98894580384723,0.12141276846812792
2003-10,305.89323300787066,0.13527537703655707
2003-11,306.017098672231,0.1815726375894468
2004-01,306.20207391779934,0.3098644802332302
2004-03,306.6404323059466,0.35078374922628575
2004-04,307.19755038932965,0.3157763917180515
2004-05,307.71217945278397,0.26111574952871985
2004-06,308.54232387057573,0.15307544580359433
2004-07,309.48302049219,0.001160899268189866
2004-08,310.14796947720953,-0.1428170313551
2004-09,310.48421906651896,-0.2634107073781947
2004-10,310.6851246339467,-0.35802025515780866
2005-01,310.7714469091296,-0.43181910863293954
2005-02,310.5891077749413,-0.4015189601435094
2005-03,310.19444160444374,-0.3609992056461837
2005-04,309.70206108954903,-0.31167643310178894
2005-05,308.87581014429543,-0.2250391858051335
2005-06,307.89930218581094,-0.0964309591097848
2005-07,307.25842450496265,0.03521003373443896
2005-08,306.89119254300954,0.16532092000083043
2005-09,306.7065650113212,0.30271362381217665
2005-10,306.6594840215064,0.421807431835581
2005-12,306.63985060534054,0.5830145165610985
2006-01,306.66880137372823,0.6438538398042872
2006-02,306.7539688736612,0.6377779139544857
2006-03,306.8810726184362,0.5679438341808958
2006-04,307.1271933519516,0.4025678113100374
2006-05,307.4302393501888,0.1594683525395233
2006-06,307.6065106769879,-0.09551947474668031
2006-07,307.98243506244756,-0.33766150867307687
2006-08,308.6070005133986,-0.5186219509611443
2006-09,309.0189864431551,-0.6110049250387657
2006-11,309.1473010669232,-0.5616019185566746
2006-12,309.2058474294868,-0.47859710598164185
2007-01,309.2039302637549,-0.382432221728086
2007-03,309.1307029144002,-0.15819657808631737
2007-04,309.0089521865108,-0.06773891836902313
2007-05,308.9008084588458,0.020026085448664733
2007-06,308.77765936536247,0.11817327322399826
2007-07,308.5768162740118,0.2299059127858952
2007-08,308.37205361271356,0.38764647302334704
2007-09,308.2398002203979,0.585753406153459
2007-10,308.1158578850656,0.8196076615068817
2007-11,308.0042970287424,1.05513378632332
2007-12,307.9093510976154,1.2484672430466528
2008-01,307.83496669805277,1.3431891786679095
2008-02,307.78533195785377,1.3177588858624836
2008-05,307.76269923057276,0.859322585360255
2008-07,307.7692144721626,0.8159295605668426
2008-08,307.80659583241163,0.9147841504140478
2008-10,307.87625499588665,1.153686889338906
2008-11,308.04871798489415,1.222700230816331
2009-01,308.39611177540894,1.1688067105466353
2009-03,308.7472859817208,0.8372071406055133
2009-04,309.1889287317557,0.6121007839744286
2009-05,309.8992724015892,0.37727202306459096
2009-06,310.7472502249735,0.16236423617516693
2009-07,311.4531080489104,-0.037767515018627365
2009-09,311.95220973994583,-0.41569687937836874
2009-10,312.4652254148328,-0.572962569485984
2009-11,313.243039187328,-0.6487415328352087
2009-12,314.0107531314029,-0.6293869860281579
2010-01,315.19444855561545,-0.4972369085469447
2010-03,316.62433171266144,0.10899424577345158
2010-04,317.68849720098797,0.47322177960582124
2010-05,318.2542791801304,0.8126840344634755
2010-06,318.49887196892587,1.130988986999458
2010-07,318.6964190957192,1.438915970622749
2010-08,318.8009772790966,1.7007954508442944
2010-10,318.9519781164369,2.0626518908950864
2010-11,319.0486482534693,2.185895992616259
2010-12,319.07106623818663,2.273134110573227
2011-01,319.06867752501745,2.270494498795764
2011-02,318.95824408889393,2.1656412751445364
2011-03,318.77805230357626,1.9486784177314211
2011-04,318.653842167333,1.647308468728166
2011-06,318.5949121016486,1.0738639852343177
2011-08,318.55018713045195,0.8515462373764621
2011-09,318.5146762430709,0.8541831839453714
2011-10,318.4847000848912,0.884393006171687
2011-11,318.45613516748097,0.9095573692104303
2012-01,318.4287419121987,0.8027024233130369
2012-03,318.39388736423325,0.4921688721239596
2012-04,318.3686877192672,0.32783970506493104
2012-05,318.3607998337097,0.20528233607327703
2012-06,318.3610889352606,0.12336877211879173
2012-08,318.36734898669624,0.032400989588293974
2012-10,318.380487115445,0.02642739910947475
2012-11,318.3908616403927,0.026635577700407437
2012-12,318.3903732874341,0.04291773924551127
2013-01,318.38418243623215,0.11292014392282113
2013-02,318.3664189600237,0.2319590456607175
2013-03,318.3282794252622,0.3782775764653629
2013-05,318.2893631830158,0.5892521457447
2013-06,318.21973088275746,0.6231376739888824
2013-07,318.08722679473124,0.5907048923965773
2013-08,317.93392437676226,0.5234601325256621
