YEAR,Month,Value,Date
1965,JUL,-1.8,1965-07-01
1965,AUG,-0.7,1965-08-01
1965,SEP,-1.3,1965-09-01
1965,OCT,-0.9,1965-10-01
1965,NOV,-1.5,1965-11-01
1965,DEC,0.2,1965-12-01
1966,JAN,-1.3,1966-01-01
1966,FEB,-0.2,1966-02-01
1966,MAR,0.9,1966-03-01
1966,APR,-0.2,1966-04-01
1966,MAY,-0.4,1966-05-01
1966,JUN,0.3,1966-06-01
1966,JUL,0.1,1966-07-01
1966,AUG,0.6,1966-08-01
1966,SEP,-0.2,1966-09-01
1966,OCT,-0.1,1966-10-01
1966,NOV,-0.0,1966-11-01
1966,DEC,-0.3,1966-12-01
1967,JAN,1.7,1967-01-01
1967,FEB,1.7,1967-02-01
1967,MAR,1.2,1967-03-01
1967,APR,-0.0,1967-04-01
1967,MAY,-0.0,1967-05-01
1967,JUN,0.6,1967-06-01
1967,JUL,0.2,1967-07-01
1967,AUG,0.7,1967-08-01
1967,SEP,0.5,1967-09-01
1967,OCT,0.1,1967-10-01
1967,NOV,-0.4,1967-11-01
1967,DEC,-0.6,1967-12-01
1968,JAN,0.5,1968-01-01
1968,FEB,1.3,1968-02-01
1968,MAR,0.1,1968-03-01
1968,APR,0.0,1968-04-01
1968,MAY,1.2,1968-05-01
1968,JUN,1.1,1968-06-01
1968,JUL,0.7,1968-07-01
1968,AUG,0.3,1968-08-01
1968,SEP,-0.3,1968-09-01
1968,OCT,-0.1,1968-10-01
1968,NOV,-0.3,1968-11-01
1968,DEC,0.2,1968-12-01
1969,JAN,-1.5,1969-01-01
1969,FEB,-0.5,1969-02-01
1969,MAR,0.4,1969-03-01
1969,APR,-0.4,1969-04-01
1969,MAY,-0.2,1969-05-01
1969,JUN,0.2,1969-06-01
1969,JUL,-0.5,1969-07-01
1969,AUG,-0.1,1969-08-01
1969,SEP,-1.0,1969-09-01
1969,OCT,-0.9,1969-10-01
1969,NOV,-0.1,1969-11-01
1969,DEC,0.4,1969-12-01
1970,JAN,-1.1,1970-01-01
1970,FEB,-1.0,1970-02-01
1970,MAR,0.6,1970-03-01
1970,APR,-0.1,1970-04-01
1970,MAY,0.4,1970-05-01
1970,JUN,1.0,1970-06-01
1970,JUL,-0.4,1970-07-01
1970,AUG,0.6,1970-08-01
1970,SEP,1.2,1970-09-01
1970,OCT,1.0,1970-10-01
1970,NOV,1.6,1970-11-01
1970,DEC,1.9,1970-12-01
1971,JAN,0.4,1971-01-01
1971,FEB,2.0,1971-02-01
1971,MAR,2.3,1971-03-01
1971,APR,1.7,1971-04-01
1971,MAY,0.9,1971-05-01
1971,JUN,0.4,1971-06-01
1971,JUL,0.2,1971-07-01
1971,AUG,1.5,1971-08-01
1971,SEP,1.4,1971-09-01
1971,OCT,1.7,1971-10-01
1971,NOV,0.5,1971-11-01
1971,DEC,0.3,1971-12-01
1972,JAN,0.5,1972-01-01
1972,FEB,1.1,1972-02-01
1972,MAR,0.6,1972-03-01
1972,APR,-0.1,1972-04-01
1972,MAY,-1.6,1972-05-01
1972,JUN,0.5,1972-06-01
1972,JUL,-1.4,1972-07-01
1972,AUG,-0.5,1972-08-01
1972,SEP,-1.4,1972-09-01
1972,OCT,-0.9,1972-10-01
1972,NOV,-0.3,1972-11-01
1972,DEC,-1.3,1972-12-01
1973,JAN,-0.3,1973-01-01
1973,FEB,-1.4,1973-02-01
1973,MAR,0.7,1973-03-01
1973,APR,0.1,1973-04-01
1973,MAY,0.4,1973-05-01
1973,JUN,1.1,1973-06-01
1973,JUL,0.6,1973-07-01
1973,AUG,1.3,1973-08-01
1973,SEP,1.2,1973-09-01
1973,OCT,0.8,1973-10-01
1973,NOV,2.6,1973-11-01
1973,DEC,1.8,1973-12-01
1974,JAN,2.4,1974-01-01
1974,FEB,2.1,1974-02-01
1974,MAR,2.4,1974-03-01
1974,APR,0.9,1974-04-01
1974,MAY,1.0,1974-05-01
1974,JUN,0.4,1974-06-01
1974,JUL,1.1,1974-07-01
1974,AUG,0.8,1974-08-01
1974,SEP,1.1,1974-09-01
1974,OCT,0.9,1974-10-01
1974,NOV,-0.1,1974-11-01
1974,DEC,0.2,1974-12-01
1975,JAN,-0.5,1975-01-01
1975,FEB,0.8,1975-02-01
1975,MAR,1.6,1975-03-01
1975,APR,1.2,1975-04-01
1975,MAY,0.6,1975-05-01
1975,JUN,1.3,1975-06-01
1975,JUL,1.9,1975-07-01
1975,AUG,2.0,1975-08-01
1975,SEP,2.1,1975-09-01
1975,OCT,1.7,1975-10-01
1975,NOV,1.2,1975-11-01
1975,DEC,2.1,1975-12-01
1976,JAN,1.4,1976-01-01
1976,FEB,1.7,1976-02-01
1976,MAR,1.7,1976-03-01
1976,APR,0.3,1976-04-01
1976,MAY,0.4,1976-05-01
1976,JUN,0.3,1976-06-01
1976,JUL,-0.9,1976-07-01
1976,AUG,-0.8,1976-08-01
1976,SEP,-1.1,1976-09-01
1976,OCT,0.4,1976-10-01
1976,NOV,0.7,1976-11-01
1976,DEC,-0.3,1976-12-01
1977,JAN,-0.4,1977-01-01
1977,FEB,1.2,1977-02-01
1977,MAR,0.5,1977-03-01
1977,APR,-0.4,1977-04-01
1977,MAY,-0.5,1977-05-01
1977,JUN,0.9,1977-06-01
1977,JUL,-1.1,1977-07-01
1977,AUG,-0.8,1977-08-01
1977,SEP,-0.8,1977-09-01
1977,OCT,-1.0,1977-10-01
1977,NOV,-1.3,1977-11-01
1977,DEC,-1.1,1977-12-01
1978,JAN,-0.3,1978-01-01
1978,FEB,-2.7,1978-02-01
1978,MAR,0.2,1978-03-01
1978,APR,-0.3,1978-04-01
1978,MAY,1.4,1978-05-01
1978,JUN,0.7,1978-06-01
1978,JUL,0.6,1978-07-01
1978,AUG,0.4,1978-08-01
1978,SEP,0.1,1978-09-01
1978,OCT,-0.4,1978-10-01
1978,NOV,-0.0,1978-11-01
1978,DEC,-0.1,1978-12-01
1979,JAN,-0.4,1979-01-01
1979,FEB,1.0,1979-02-01
1979,MAR,0.1,1979-03-01
1979,APR,-0.1,1979-04-01
1979,MAY,0.5,1979-05-01
1979,JUN,0.6,1979-06-01
1979,JUL,1.3,1979-07-01
1979,AUG,-0.2,1979-08-01
1979,SEP,0.1,1979-09-01
1979,OCT,-0.1,1979-10-01
1979,NOV,-0.4,1979-11-01
1979,DEC,-0.7,1979-12-01
1980,JAN,0.4,1980-01-01
1980,FEB,0.3,1980-02-01
1980,MAR,0.4,1980-03-01
1980,APR,-0.6,1980-04-01
1980,MAY,-0.0,1980-05-01
1980,JUN,0.0,1980-06-01
1980,JUL,-0.0,1980-07-01
1980,AUG,0.4,1980-08-01
1980,SEP,-0.5,1980-09-01
1980,OCT,0.0,1980-10-01
1980,NOV,-0.3,1980-11-01
1980,DEC,-0.1,1980-12-01
1981,JAN,0.4,1981-01-01
1981,FEB,-0.2,1981-02-01
1981,MAR,1.3,1981-03-01
1981,APR,-0.1,1981-04-01
1981,MAY,0.8,1981-05-01
1981,JUN,1.2,1981-06-01
1981,JUL,0.8,1981-07-01
1981,AUG,0.7,1981-08-01
1981,SEP,0.3,1981-09-01
1981,OCT,-0.4,1981-10-01
1981,NOV,0.2,1981-11-01
1981,DEC,0.5,1981-12-01
1982,JAN,1.2,1982-01-01
1982,FEB,0.3,1982-02-01
1982,MAR,0.6,1982-03-01
1982,APR,0.1,1982-04-01
1982,MAY,-0.3,1982-05-01
1982,JUN,1.0,1982-06-01
1982,JUL,-1.5,1982-07-01
1982,AUG,-1.7,1982-08-01
1982,SEP,-1.7,1982-09-01
1982,OCT,-1.7,1982-10-01
1982,NOV,-2.6,1982-11-01
1982,DEC,-2.2,1982-12-01
1983,JAN,-3.5,1983-01-01
1983,FEB,-3.6,1983-02-01
1983,MAR,2.4,1983-03-01
1983,APR,-0.9,1983-04-01
1983,MAY,0.6,1983-05-01
1983,JUN,0.0,1983-06-01
1983,JUL,-0.6,1983-07-01
1983,AUG,0.1,1983-08-01
1983,SEP,0.9,1983-09-01
1983,OCT,0.4,1983-10-01
1983,NOV,-0.1,1983-11-01
1983,DEC,0.0,1983-12-01
