Year-Month,nzd_188_Average_Value
2011-01,356.4817226391539
2011-02,356.6708369256778
2011-03,355.91473165739643
2011-04,355.1585880174488
2011-06,354.32312323526537
2011-07,353.38739474588715
2011-08,352.40717064619497
2011-09,351.507031632365
2011-10,350.8088826456891
2011-11,350.4625569391045
2011-12,350.5862960038599
2012-01,351.3659327467316
2012-03,352.8915356712819
2012-04,353.5169249625859
2012-05,353.4919177430923
2012-06,353.16317655784076
2012-08,352.48212020917333
2012-09,351.8210724516153
2012-10,351.65753814646075
2012-11,351.6138683538457
2012-12,351.56408318463036
2013-01,352.38143682712024
2013-02,354.32996863475046
2013-03,355.762659245729
2013-04,357.22992852356566
2013-05,358.45481591203907
2013-06,359.42126752318336
2013-07,357.07247906477204
2013-08,351.8976030377603
2013-09,350.42648073265866
2013-10,348.9222456379633
2013-11,347.50060616118964
2013-12,348.1666014484739
2014-01,349.74173132654977
2014-02,352.261575433311
2014-03,354.1386484860204
2014-04,354.74000078164846
2014-05,354.54868558989773
2014-06,352.92365817260634
2014-07,350.26972885673206
2014-08,348.35371904970816
2014-09,347.8969660116869
2014-10,348.86848885311827
2014-11,349.6141862536776
2014-12,349.0125094206312
2015-01,348.75222717162904
2015-02,348.05224297534187
2015-03,347.2874519984616
2015-04,349.0010168495721
2015-05,353.15154538354017
2015-07,356.1791542116318
2015-08,357.8800102743409
2015-09,358.909767839068
2015-11,358.88698386621644
2015-12,357.2798822795179
2016-01,352.23238119270235
2016-02,350.47702195365514
2016-03,351.6804931328111
2016-05,355.2683121143435
2016-06,357.3730395696705
2016-07,357.9918344689252
2016-08,356.52881835928486
2016-09,353.6376618238517
2016-10,354.66043249755245
2016-11,357.8596680363412
2016-12,360.48311687291687
2017-01,361.26607620356936
2017-02,361.1082294339517
2017-03,360.1631750580651
2017-04,358.0725497500583
2017-05,356.74342112096747
2017-06,355.6774482583712
2017-07,355.29692548266036
2017-09,355.1957638282086
2017-10,354.7280883307863
2017-11,354.5311979079501
2017-12,355.4403684427167
2018-01,357.58661430953237
2018-03,359.09165505017626
2018-04,361.0491425306043
2018-05,361.58223998462796
2018-06,358.6737227335486
2018-07,355.59629041646497
2018-08,355.11513796964016
2018-09,357.3305712038541
2018-10,359.7728253250293
2018-11,360.8358600356092
2018-12,361.61008778181144
2019-01,362.15092939296386
2019-02,362.80594187819946
2019-03,363.7794708955515
2019-04,366.6493357796376
2019-05,369.0139994141388
2019-06,368.1739242903925
2019-07,365.3823177456314
2019-08,363.9668694599778
2019-09,364.21177903676164
2019-10,364.3672755976993
2019-11,364.1782494153838
2019-12,363.917245475676
2020-01,363.2478211632653
2020-02,361.5406790324613
2020-04,359.70020865543336
2020-06,357.67530553959205
2020-08,355.68637276041017
2020-09,356.2385512237657
2020-10,357.7656529816869
2020-11,358.71221698838707
2020-12,359.56350695766656
2021-01,360.65018633556025
2021-02,361.7153304697498
2021-03,362.4329524826918
2021-04,363.24594982833605
2021-05,361.4947314981355
2021-06,356.3203425222655
2021-07,350.63089831057295
2021-08,348.1272103423993
2021-09,347.05075643006677
2021-11,346.6551171764827
2021-12,347.64200441756526
2022-01,349.1338921282422
2022-02,350.3397639064804
2022-03,349.9497895717368
2022-04,351.387158565302
2022-05,352.510205004602
2022-06,352.9129105312088
2022-07,353.35542364667816
2022-08,355.12078782840894
2022-10,357.17220356888834
2022-12,356.3167978993653
2023-03,354.24414175233255
2023-04,351.55959797881394
2023-05,347.41108253822216
2023-06,348.06938807406215
2023-07,354.1134323161311
2023-08,359.09822116235733
2023-09,359.78698352955706
2023-10,357.37981598599254
2023-11,352.8355804439396
2023-12,351.48706421836937
2024-01,351.1449152874739
2024-02,355.0379753776655
2024-03,358.9740564722859
2024-04,359.14818668720864
2024-05,360.2554130844439
2024-06,362.05236790139594
2024-07,362.43882680278347
2024-08,362.4498714923933
2024-09,362.12120213876005
2024-10,361.62397410177226
