Year-Month,nzd_188_Average_Value,Value,Smooth_Value
2023-06,348.06938807406215,0.3,-0.1609838634234924
2023-07,354.1134323161311,-0.3,-0.3182095012211561
2023-08,359.09822116235733,-0.8,-0.43591038392292314
2023-09,359.78698352955706,-1.3,-0.5055794068403315
2023-10,357.37981598599254,-0.5,-0.524398365536124
2023-11,352.8355804439396,-0.8,-0.5019618773411612
2023-12,351.48706421836937,-0.2,-0.4474833351248037
2024-01,351.1449152874739,0.5,-0.3748329774229559
2024-02,355.0379753776655,-1.4,-0.29401411566019725
2024-03,358.9740564722859,0.4,-0.2013607959888732
2024-04,359.14818668720864,-0.2,-0.1104880940041389
2024-05,360.2554130844439,0.5,-0.02561482286382298
2024-06,362.05236790139594,0.0,0.04764158074306053
2024-07,362.43882680278347,-0.7,0.11187641173474401
2024-08,362.4498714923933,0.9,0.16894056533035032
2024-09,362.12120213876005,-0.1,0.20799936781564718
2024-10,361.62397410177226,0.5,0.22964094914311506
