Year-Month,nzd_188_Average_Value,Value,Smooth_Value
1999-09,360.87654403259285,-0.1,0.8231147330376006
1999-10,353.2581252383094,1.0,0.8466113673239131
1999-11,349.840762324993,1.0,0.8791809681928249
1999-12,357.255,1.4,0.9087965653261878
2000-01,356.0653983765347,0.7,0.9253189857778401
2000-02,369.91746549001977,1.7,0.9262841102683989
2000-03,363.4042731382252,1.3,0.9057072103657017
2000-04,360.4957105055247,1.2,0.8696928684146427
2000-05,361.43547725648966,0.4,0.8305064915981525
2000-08,346.4864822683909,0.7,0.8318109552452528
2000-10,347.0947262561207,1.1,0.9028564028493448
2001-01,353.35657983319277,1.0,0.8388287325984625
2001-06,351.6751887428686,0.3,0.25983575174309304
2001-09,346.55125077556886,0.2,0.09788788491617605
2001-10,348.55017747989876,-0.0,0.0860514514265449
2002-01,351.9020138367538,0.4,0.055703781202039254
2002-02,350.1324260500422,1.1,0.02147907957255004
2002-03,356.1230700677032,0.2,-0.04109720291738809
2002-04,350.23276190476196,-0.1,-0.12415988621113322
2002-06,351.4753866100646,0.2,-0.3048376615790876
2002-08,370.95437086683523,-1.0,-0.45346028929345455
2002-10,355.58837675007027,-0.4,-0.5072903687035566
2002-11,375.89034526361155,-0.5,-0.49592565114851994
2002-12,351.4018109735122,-1.1,-0.4589461265164202
2003-01,352.0826538650549,-0.2,-0.39592512682756054
2003-03,351.9783708668353,0.3,-0.22705656734681512
2003-04,351.653195293412,-0.1,-0.1402588753836071
2003-05,340.57078204498174,-0.3,-0.06034551526288073
2003-07,353.2069368632744,0.3,0.0604552267302621
2003-08,342.71170812232526,0.1,0.09577317748018602
2003-09,343.37450282272147,-0.1,0.12055542254900131
2003-10,350.7350947532131,0.0,0.1404431586716568
2003-11,351.0257132055251,-0.3,0.15763140410577264
2003-12,362.48712550607286,1.1,0.1721207527547251
2004-01,346.09454279638487,-1.3,0.17676130783273797
2004-02,365.05255686178293,1.2,0.17890128579224185
2004-03,350.37973978678815,0.4,0.1628145076507812
2004-04,354.40784152846925,-0.9,0.12872946183539624
2004-05,349.2602994959404,1.0,0.08058066009108446
2004-06,356.09488918039307,0.8,0.006228716321664496
2004-07,356.99483721213784,-0.5,-0.09209982838296747
2004-08,358.00246749549495,-0.3,-0.19977575662544197
2004-09,352.8700314864587,-0.3,-0.3085432911899051
2004-10,356.22575329766033,-0.1,-0.4117126586632303
2004-12,358.5210354632181,-0.8,-0.5690933326929808
2005-01,355.8223836684471,0.3,-0.6030036471666893
2005-02,344.1973638275782,-3.1,-0.5991922373521112
2005-03,355.1965626133603,0.3,-0.538550368485804
