dates,nzd_204_Average_Value
1999-09-13 21:52:41+00:00,331.5921317829457
1999-09-29 21:52:52+00:00,349.22569289837145
1999-10-15 21:52:49+00:00,341.94185837971554
1999-10-22 21:58:52+00:00,333.72828659828656
2000-01-10 21:58:52+00:00,334.66779901746196
2000-02-04 21:52:37+00:00,344.0596013708514
2000-02-20 21:52:29+00:00,347.48213760349677
2000-03-14 21:58:35+00:00,344.9206420068027
2000-03-30 21:58:33+00:00,343.88864770150485
2000-05-01 21:58:18+00:00,336.28367694805195
2000-05-26 21:51:48+00:00,342.0994411294412
2000-07-29 21:51:02+00:00,349.9270526370527
2000-08-05 21:57:08+00:00,333.7772811018346
2000-08-14 21:50:56+00:00,335.4342616213152
2000-09-15 21:50:25+00:00,344.95843158861334
2000-10-17 21:50:01+00:00,339.7378289012575
2001-01-05 21:50:16+00:00,339.4558320449392
2001-03-10 21:50:10+00:00,342.7993883992991
2001-06-21 21:55:29+00:00,337.34462690995406
2001-06-30 21:49:12+00:00,350.46032362586914
2001-09-09 21:54:36+00:00,344.012459286745
2001-10-20 21:48:09+00:00,336.6184576376005
2001-11-05 21:48:14+00:00,335.01621044629974
2002-01-24 21:48:42+00:00,341.7315107709751
2002-01-31 21:54:50+00:00,339.17168728097295
2002-02-16 21:54:54+00:00,338.920744973545
2002-02-25 21:48:47+00:00,335.72480841579056
2002-04-05 21:54:49+00:00,347.07778782725205
2002-06-01 21:48:28+00:00,356.8505779736137
2002-08-27 21:54:00+00:00,354.77935938679053
2002-10-07 21:47:33+00:00,345.51277184543846
2002-10-14 21:53:43+00:00,335.4512813232168
2002-10-23 21:47:39+00:00,342.2799431899432
2002-12-01 21:54:16+00:00,312.2737488899989
2003-01-11 21:48:14+00:00,337.22214177903834
2003-01-18 21:54:30+00:00,346.7582209853639
2003-04-01 21:48:34+00:00,344.46396166635304
2003-05-03 21:48:37+00:00,343.8698822407751
2003-05-10 21:54:46+00:00,343.2846657905587
2003-07-21 21:42:33+00:00,365.51307088744585
2003-08-23 21:48:14+00:00,337.6322527081682
2003-10-10 21:47:55+00:00,343.0475188543113
2003-10-17 21:54:15+00:00,344.10835871025523
2003-10-18 21:37:48+00:00,360.0019266055046
2003-10-25 21:44:04+00:00,342.6081668728097
2003-10-26 21:48:14+00:00,342.22710424710425
2003-11-19 21:38:14+00:00,353.6900521799629
2004-01-05 21:54:57+00:00,336.298800030379
2004-02-06 21:55:08+00:00,345.6159350396192
2004-03-09 21:55:15+00:00,340.98013314967864
2004-03-17 21:45:08+00:00,348.7464210987426
2004-03-18 21:49:07+00:00,345.8415940084954
2004-03-25 21:55:18+00:00,345.5608843795094
2004-04-02 21:45:18+00:00,363.78431470669994
2004-04-10 21:55:14+00:00,354.0247573133937
2004-04-18 21:45:49+00:00,339.85247590702954
2004-05-20 21:46:44+00:00,342.19532828282826
2004-05-28 21:55:11+00:00,345.7587507730365
2004-06-30 21:41:46+00:00,346.72186121418264
2004-07-07 21:48:09+00:00,360.1765845959596
2004-07-23 21:48:33+00:00,360.34092364976294
2004-07-24 21:48:45+00:00,346.53634508348796
2004-08-25 21:48:37+00:00,342.59101721145197
2004-09-25 21:50:07+00:00,345.652971022971
2004-10-20 21:44:28+00:00,361.438167259328
2004-10-27 21:50:47+00:00,356.456118841476
2005-01-15 21:52:09+00:00,358.56091849618633
2005-01-23 21:55:25+00:00,340.29380375180375
2005-01-24 21:46:06+00:00,351.18805980725625
2005-02-08 21:55:35+00:00,324.6337197159566
2005-02-24 21:55:41+00:00,341.53425704665705
2005-02-25 21:46:35+00:00,348.7792448292448
2005-03-04 21:52:52+00:00,351.6373269686663
2005-03-12 21:55:44+00:00,340.6268977318977
2005-04-13 21:55:36+00:00,338.91268065268065
2005-04-21 21:53:10+00:00,356.638945191713
2005-04-29 21:55:36+00:00,355.8438451421996
2005-05-08 21:49:28+00:00,350.2627720266851
2005-05-24 21:49:26+00:00,351.66213852813854
2005-06-01 21:47:18+00:00,360.4227480158731
2005-06-08 21:53:33+00:00,365.1460307153165
2005-06-09 21:49:20+00:00,364.0781175197352
2005-06-25 21:49:15+00:00,356.2541878121878
2005-07-19 21:47:39+00:00,337.99588499793856
2005-08-03 21:55:25+00:00,336.6451563852814
2005-08-19 21:55:20+00:00,337.16896787423104
2005-08-28 21:49:05+00:00,345.18418951418954
2005-09-29 21:48:55+00:00,356.44969017910194
2005-10-06 21:55:01+00:00,347.5127071520029
2005-10-30 21:54:03+00:00,345.3813374902366
2005-11-24 21:48:28+00:00,353.4086188414759
2006-02-19 21:56:39+00:00,339.33934652648935
2006-02-28 21:50:40+00:00,350.4755487270666
2006-03-15 21:56:08+00:00,334.06946815089674
2006-04-08 21:57:36+00:00,349.8862991021324
2006-04-25 21:49:52+00:00,330.85650037792897
2006-06-27 21:58:48+00:00,349.8804890744177
2006-07-05 21:55:54+00:00,335.6316491841492
2006-07-13 21:59:02+00:00,359.28321287408244
2006-07-21 21:55:45+00:00,327.73803526920403
2006-08-15 21:49:31+00:00,346.4995711314829
2006-08-22 21:55:41+00:00,355.4931103074141
2006-08-23 21:53:23+00:00,355.96457727788084
2006-08-31 21:49:28+00:00,351.0777902310779
2006-09-23 21:55:30+00:00,359.96464908828546
2006-10-10 21:53:56+00:00,362.87584776334774
2006-12-05 21:49:58+00:00,351.26341670675004
2006-12-13 21:54:55+00:00,311.2772824772825
2006-12-21 21:50:03+00:00,342.5739971139971
2007-01-05 22:00:52+00:00,361.4839601370851
2007-01-06 21:50:04+00:00,357.3976844768626
2007-03-18 21:56:33+00:00,345.177240981241
2007-04-19 21:56:31+00:00,354.62702577310176
2007-06-15 21:50:07+00:00,352.17082457225314
2007-07-17 21:50:02+00:00,349.6650707850708
2007-07-24 21:56:11+00:00,366.6803530272544
2007-08-18 21:49:52+00:00,347.7959066171924
2007-09-26 21:55:47+00:00,337.20095665651223
2007-11-22 21:50:02+00:00,338.3489550264551
2007-12-31 21:56:23+00:00,337.1684291898577
2008-01-25 21:50:11+00:00,327.0444210718859
2008-05-16 21:49:50+00:00,355.453374422188
2008-05-23 21:55:58+00:00,329.541421455257
2008-06-17 21:49:33+00:00,344.3345845934887
2008-07-03 21:49:23+00:00,354.4371908884766
2008-08-04 21:49:04+00:00,353.49837598675833
2008-08-27 21:55:06+00:00,329.1988107419276
2008-10-14 21:54:42+00:00,347.0858137882018
2008-12-10 21:49:18+00:00,335.46712862479984
2009-01-11 21:49:32+00:00,322.1811115175904
2009-01-18 21:55:45+00:00,353.52373881673884
2009-03-23 21:56:15+00:00,344.08676749410927
2009-04-01 21:50:07+00:00,342.0886176836862
2009-05-03 21:50:16+00:00,333.86925853446405
2009-06-04 21:50:17+00:00,363.140143893665
2009-06-20 21:50:16+00:00,354.6457221925715
2009-09-08 21:50:01+00:00,341.077947276604
2009-09-15 21:56:11+00:00,338.4210861360861
2009-10-10 21:49:54+00:00,340.68508385008386
2009-11-11 21:50:25+00:00,341.7849716480702
2009-11-26 21:56:28+00:00,357.5706542465471
