Year-Month,nzd_188_Average_Value,Value
1999-09,358.1882034745506,0.7485207069940297
1999-10,358.27516195495696,0.8236456826074188
1999-11,358.4536880284445,0.9233735598650692
1999-12,358.6957767547718,1.011386782137625
2000-01,358.86844110053823,1.0576720594020095
2000-02,358.95029954309234,1.0618235544692682
2000-03,358.9758240152771,0.995728233891588
2000-04,358.8819177067018,0.8740749885764956
2000-05,358.7304501491394,0.7356117611208182
2000-07,358.50729387337583,0.6388184610084495
2000-08,358.03652868905976,0.7224262610540236
2000-10,357.47589804119633,0.9772798068007736
2001-01,357.0585732803117,1.0088963762614733
2001-03,356.61310474418536,0.6832408388038734
2001-06,355.6633504006711,0.09119115738362729
2001-09,354.23365103839956,0.01608407826427507
2001-10,353.58002836091094,0.07811637345394473
2002-01,353.40476453568795,0.21449372955658763
2002-02,353.3225615102383,0.19354676032406123
2002-03,353.3379061501471,0.10063732676148326
2002-04,353.3485390394405,-0.03842570399274743
2002-06,353.3318076904234,-0.32407168931229496
2002-08,353.28142033384756,-0.5544184781988168
2002-10,353.01640191429624,-0.6134335732004034
2002-11,352.57754709526574,-0.5956254454699573
2002-12,352.2722642568537,-0.5445271348412026
2003-01,351.7530849635367,-0.4466556699562611
2003-03,351.2121270530524,-0.1944592892893433
2003-04,350.8636989414329,-0.08111569386380056
2003-05,350.4091881826594,0.013456731099329336
2003-07,350.0563621434671,0.1208658332242577
2003-08,349.8315892365044,0.12141276846812792
2003-09,349.8403183796352,0.11777495737139175
2003-10,350.3880006271771,0.13527537703655707
2003-11,351.3535447437803,0.1815726375894468
2003-12,351.83130113450886,0.25317329721877313
2004-01,352.1399073710345,0.3098644802332302
2004-02,352.5728841521858,0.35214302885038107
2004-03,353.3169862719427,0.35078374922628575
2004-04,353.9480049018734,0.3157763917180515
2004-05,354.38961145160573,0.26111574952871985
2004-06,354.8877546099625,0.15307544580359433
2004-07,355.1308160306715,0.001160899268189866
2004-08,354.96104877563164,-0.1428170313551
2004-09,354.60299820668274,-0.2634107073781947
2004-10,354.1947391613929,-0.35802025515780866
2004-12,353.74156640211146,-0.45079610692762767
2005-01,353.39649117452063,-0.43181910863293954
2005-02,352.90913564558826,-0.4015189601435094
2005-03,352.807013887544,-0.3609992056461837
2005-04,353.0455098474099,-0.31167643310178894
2005-05,353.535984504897,-0.2250391858051335
2005-06,354.0281737796546,-0.0964309591097848
2005-07,354.2802696845179,0.03521003373443896
2005-08,354.4541630513184,0.16532092000083043
2005-10,354.4925701932735,0.421807431835581
2005-12,354.404934035949,0.5830145165610985
2006-01,354.3006215671828,0.6438538398042872
2006-02,354.14570116933794,0.6377779139544857
2006-03,354.00845944369576,0.5679438341808958
2006-04,353.97341533268195,0.4025678113100374
2006-05,354.09582816535277,0.1594683525395233
2006-06,354.24014752767573,-0.09551947474668031
2006-07,354.8290818788437,-0.33766150867307687
2006-08,356.04336570824245,-0.5186219509611443
2006-09,357.08104969817487,-0.6110049250387657
2006-10,357.68695654415086,-0.6229289502978587
2006-11,357.9359586146274,-0.5616019185566746
2006-12,358.03571070884595,-0.47859710598164185
2007-01,357.46450649990834,-0.382432221728086
2007-03,356.43951597094104,-0.15819657808631737
2007-04,355.6302766969054,-0.06773891836902313
2007-05,355.0299530550416,0.020026085448664733
2007-07,354.0875485269384,0.2299059127858952
2007-08,353.15240395959404,0.38764647302334704
2007-09,352.56282344042233,0.585753406153459
2007-10,352.0186618075954,0.8196076615068817
2007-11,351.5323286964189,1.05513378632332
2007-12,351.11492847193966,1.2484672430466528
2008-01,350.6462478018383,1.3431891786679095
2008-02,350.3469421424294,1.3177588858624836
2008-05,350.25460739778305,0.859322585360255
2008-06,350.22953416855614,0.7937777248667184
2008-07,350.26400428499335,0.8159295605668426
2008-08,350.42603159243373,0.9147841504140478
2008-09,350.70253316510616,1.0413618816384342
2008-11,350.9663937279906,1.222700230816331
2008-12,351.28621589240316,1.2313098924827477
2009-01,351.8686025488461,1.1688067105466353
2009-03,352.5333672907356,0.8372071406055133
2009-05,353.2676682240527,0.37727202306459096
2009-06,354.32164786252724,0.16236423617516693
2009-07,355.1507401010597,-0.037767515018627365
2009-09,355.7190578949122,-0.41569687937836874
2009-10,356.2916477421901,-0.572962569485984
2009-11,357.1399725893244,-0.6487415328352087
2009-12,357.95098995141785,-0.6293869860281579
2010-01,358.87237517550346,-0.4972369085469447
2010-03,359.87341061142956,0.10899424577345158
2010-04,360.3883986529171,0.47322177960582124
2010-05,360.3204434581613,0.8126840344634755
2010-06,359.87044675230135,1.130988986999458
2010-07,359.32985353979603,1.438915970622749
2010-08,359.0052083877503,1.7007954508442944
2010-09,358.49794914391094,1.9086497519918335
2010-10,357.69499831583994,2.0626518908950864
2010-11,357.1275118656755,2.185895992616259
2010-12,356.8743272613356,2.273134110573227
2011-01,356.28754496781795,2.270494498795764
2011-02,355.3101346988293,2.1656412751445364
2011-03,354.5266090343722,1.9486784177314211
2011-04,354.12113942567714,1.647308468728166
2011-06,353.84543908131224,1.0738639852343177
2011-07,353.57678571034563,0.9211230284445365
2011-08,353.321963794279,0.8515462373764621
2011-09,353.0903919492333,0.8541831839453714
2011-10,352.89081001541655,0.884393006171687
2011-11,352.7320853653045,0.9095573692104303
2011-12,352.6205204962992,0.8902233666612278
2012-01,352.53339896018764,0.8027024233130369
2012-03,352.5230231698401,0.4921688721239596
2012-04,352.5947375065559,0.32783970506493104
2012-05,352.7045839461977,0.20528233607327703
2012-06,352.80910656385555,0.12336877211879173
2012-08,352.9342519052585,0.032400989588293974
