dates,nzd_188_Average_Value
1999-09-13 21:52:41+00:00,353.36855148492145
1999-09-29 21:52:52+00:00,368.3845365802642
1999-10-15 21:52:49+00:00,354.4604300268015
1999-10-22 21:58:52+00:00,352.05582044981736
1999-11-07 21:58:56+00:00,350.1693727733109
1999-11-16 21:52:44+00:00,349.51215187667515
1999-12-02 21:52:40+00:00,359.93726621984825
1999-12-09 21:58:57+00:00,354.5727337801518
2000-01-19 21:52:37+00:00,356.0653983765347
2000-02-04 21:52:37+00:00,369.91746549001977
2000-03-14 21:58:35+00:00,365.0196626899073
2000-03-30 21:58:33+00:00,361.7888835865431
2000-04-24 21:52:10+00:00,360.4957105055247
2000-05-01 21:58:18+00:00,361.43547725648966
2000-07-13 21:51:19+00:00,399.1414035087719
2000-08-05 21:57:08+00:00,339.05191523681
2000-08-14 21:50:56+00:00,353.92104929997186
2000-10-17 21:50:01+00:00,347.0947262561207
2001-01-05 21:50:16+00:00,353.35657983319277
2001-03-26 21:50:01+00:00,390.4066666666666
2001-06-05 21:55:40+00:00,354.76076526661046
2001-06-21 21:55:29+00:00,353.1992208966357
2001-06-30 21:49:12+00:00,347.06558006535954
2001-09-02 21:48:29+00:00,354.69666666666666
2001-09-09 21:54:36+00:00,347.9196509234373
2001-09-18 21:48:17+00:00,334.63138573558075
2001-09-25 21:54:28+00:00,348.9572997765908
2001-10-11 21:54:09+00:00,348.55017747989876
2002-01-24 21:48:42+00:00,353.7642169198764
2002-01-31 21:54:50+00:00,350.0398107536312
2002-02-16 21:54:54+00:00,344.0614734435385
2002-02-25 21:48:47+00:00,356.2033786565459
2002-03-20 21:54:48+00:00,357.88797439677626
2002-03-29 21:48:39+00:00,354.3581657386302
2002-04-05 21:54:49+00:00,350.23276190476196
2002-06-01 21:48:28+00:00,351.4753866100646
2002-08-27 21:54:00+00:00,370.95437086683523
2002-10-07 21:47:33+00:00,355.3266016234655
2002-10-14 21:53:43+00:00,356.35131949657955
2002-10-23 21:47:39+00:00,355.0872091301659
2002-11-08 21:47:44+00:00,375.89034526361155
2002-12-01 21:54:16+00:00,351.4018109735122
2003-01-02 21:54:22+00:00,352.24695070002815
2003-01-18 21:54:30+00:00,351.9183570300816
2003-03-23 21:54:40+00:00,351.9783708668353
2003-04-08 21:54:47+00:00,351.653195293412
2003-05-03 21:48:37+00:00,335.8454201668072
2003-05-26 21:54:43+00:00,345.2961439231563
2003-07-21 21:42:33+00:00,353.2069368632744
2003-08-06 21:42:51+00:00,346.06606504320126
2003-08-15 21:36:48+00:00,346.1624833035329
2003-08-31 21:37:06+00:00,335.9065760202417
2003-09-23 21:43:39+00:00,343.37450282272147
2003-10-10 21:47:55+00:00,349.1290707376068
2003-10-17 21:54:15+00:00,352.1304271700092
2003-10-18 21:37:48+00:00,357.86133333333333
2003-10-25 21:44:04+00:00,348.0239605600225
2003-10-26 21:48:14+00:00,346.5306819650937
2003-11-18 21:54:39+00:00,345.67016019120194
2003-11-19 21:38:14+00:00,356.38126621984827
2003-12-04 21:54:43+00:00,362.48712550607286
2004-01-05 21:54:57+00:00,346.09454279638487
2004-02-06 21:55:08+00:00,363.6461567156614
2004-02-22 21:55:07+00:00,366.4589570079044
2004-03-09 21:55:15+00:00,337.95678533815686
2004-03-17 21:45:08+00:00,353.50145753650094
2004-03-18 21:49:07+00:00,348.65460736116313
2004-03-25 21:55:18+00:00,361.4061089113316
2004-04-02 21:45:18+00:00,367.25446216030275
2004-04-18 21:45:49+00:00,341.5612208966358
2004-05-12 21:55:13+00:00,347.1455188464786
2004-05-20 21:46:44+00:00,348.8311558534345
2004-05-28 21:55:11+00:00,351.804223787908
2004-06-05 21:47:12+00:00,364.2596253202135
2004-06-06 21:48:56+00:00,360.63410192147035
2004-06-29 21:55:03+00:00,348.4366362567601
2004-06-30 21:41:46+00:00,351.04919322312827
2004-07-07 21:48:09+00:00,354.5402584301376
2004-07-23 21:48:33+00:00,357.532641063443
2004-07-24 21:48:45+00:00,358.9116121428329
2004-08-08 21:48:50+00:00,354.59254519741614
2004-08-09 21:48:39+00:00,370.3728179824562
2004-08-16 21:54:50+00:00,350.91298357473283
2004-08-25 21:48:37+00:00,356.1315232273746
2004-09-25 21:50:07+00:00,352.8700314864587
2004-10-11 21:50:27+00:00,346.7636622462751
2004-10-20 21:44:28+00:00,362.9855582067285
2004-10-27 21:50:47+00:00,358.9280394399775
2004-12-23 21:45:40+00:00,358.5210354632181
