Year-Month,nzd_188_Average_Value
2014-10,350.9997549964655
2014-11,355.33768969957146
2014-12,344.33458249129615
2015-01,352.138164869072
2015-02,354.6570749031956
2015-03,343.3362539025398
2015-04,345.9866682556588
2015-05,357.22408748267367
2015-07,361.40252170836845
2015-08,352.39841883728303
2015-09,362.7228647877655
2015-11,353.1913812434555
2015-12,361.8503109624866
2016-01,348.5164653730199
2016-02,343.6995857359015
2016-03,353.33721403622184
2016-05,358.64612913095965
2016-06,350.44004835893384
2016-07,360.89607505146313
2016-08,357.9739273311326
2016-09,349.5509814279746
2016-10,356.3886896447426
2016-11,358.2726050858282
2016-12,365.21213801409
2017-01,361.08947621572247
2017-02,360.19133501016245
2017-03,362.794138452277
2017-04,354.4175659610427
2017-05,363.85318145665826
2017-06,353.6348902979396
2017-07,354.2279033549392
2017-09,359.8626037257757
2017-10,355.19671826625387
2017-11,340.7295431111716
2017-12,356.67021291077424
2018-01,357.8803991744982
2018-03,352.65344505337
2018-04,364.0724825080607
2018-05,365.0158723013122
2018-06,357.53661538414286
2018-07,354.76831493917854
2018-08,353.76149964056697
2018-09,356.289973583921
2018-10,365.41198230367274
2018-11,353.59913025021075
2018-12,363.89022910626244
2019-01,362.24778233820086
2019-02,357.0090946808323
2019-03,363.43818744290337
2019-04,366.1326846665117
2019-05,371.87724410919236
2019-06,368.63316988432445
2019-07,364.1765009977338
2019-08,355.94965001792445
2019-09,370.7461460750292
2019-10,365.7052915028221
2019-11,360.0082464998595
2019-12,365.593431372549
2020-01,366.25432844428815
2020-02,364.33567073541064
2020-04,368.32874306650234
2020-06,353.31540931262293
2020-08,351.3495887945683
2020-09,356.2536196748154
2020-10,354.0232248513441
2020-11,367.5852859477124
2020-12,365.2228067768718
2021-01,357.7510673298222
2021-02,358.22983727701603
2021-03,353.4789336904352
2021-04,367.403369805232
2021-05,376.9757791033643
2021-06,347.89673166587073
2021-07,347.41783190953197
2021-08,347.50060244537025
2021-09,351.47139883645764
2021-11,338.635058187355
2021-12,351.87493169701526
2022-01,345.98147849261164
2022-02,354.37920411360227
2022-03,346.9352709728454
2022-04,350.95410448317875
2022-05,355.50981056840186
2022-06,338.83074074074074
2022-07,354.87307655655235
2022-08,355.247590447335
2022-10,357.53657522094153
2022-12,366.00969195046446
2023-03,351.61965750555186
2023-04,356.24673861060995
2023-05,342.0732261989817
2023-06,344.330434802693
2023-07,356.0594211962787
2023-08,360.6807154519028
2023-09,355.2009802800112
2023-10,360.38710103029064
2023-11,349.1956383576673
2023-12,352.3087061066442
2024-01,350.79915892987464
2024-02,354.80120074098016
2024-03,362.1761058633679
2024-04,358.35473335021817
2024-05,361.194719944658
2024-06,358.94609859994375
2024-07,363.73615256676976
2024-08,357.89786533956817
2024-09,364.887747885299
2024-10,351.2338816800674
