dates,nzd0104-0000,nzd0104-0001,nzd0104-0002,nzd0104-0003,nzd0104-0004,nzd0104-0005,nzd0104-0006,nzd0104-0007,nzd0104-0008,nzd0104-0009,nzd0104-0010,nzd0104-0011,nzd0104-0012,nzd0104-0013,nzd0104-0014,nzd0104-0015,nzd0104-0016,nzd0104-0017,nzd0104-0018,nzd0104-0019,nzd0104-0020,nzd0104-0021,nzd0104-0022,nzd0104-0023,nzd0104-0024,nzd0104-0025,nzd0104-0026,nzd0104-0027,nzd0104-0028,nzd0104-0029,nzd0104-0030,nzd0104-0031,nzd0104-0032,nzd0104-0033,nzd0104-0034,nzd0104-0035,nzd0104-0036,nzd0104-0037,nzd0104-0038,nzd0104-0039,nzd0104-0040,nzd0104-0041,nzd0104-0042,nzd0104-0043,nzd0104-0044,nzd0104-0045,nzd0104-0046,nzd0104-0047,nzd0104-0048,nzd0104-0049,nzd0104-0050,nzd0104-0051,nzd0104-0052,nzd0104-0053,nzd0104-0054,nzd0104-0055,nzd0104-0056,nzd0104-0057,nzd0104-0058,nzd0104-0059,nzd0104-0060,nzd0104-0061,nzd0104-0062,nzd0104-0063,nzd0104-0064,nzd0104-0065,nzd0104-0066,nzd0104-0067,nzd0104-0068,nzd0104-0069,nzd0104-0070,nzd0104-0071,nzd0104-0072,nzd0104-0073,nzd0104-0074,nzd0104-0075,nzd0104-0076,nzd0104-0077,nzd0104-0078,nzd0104-0079,nzd0104-0080,nzd0104-0081,nzd0104-0082,nzd0104-0083,nzd0104-0084,nzd0104-0085,nzd0104-0086,nzd0104-0087,nzd0104-0088,nzd0104-0089,nzd0104-0090,nzd0104-0091,nzd0104-0092,nzd0104-0093,nzd0104-0094,satname,average value
2002-09-19 21:59:35+00:00,,,,,,,,,,,,,,,,,,,,348.9438462,347.9166667,345.4338462,332.5166667,328.4666667,321.8109091,319.4438462,321.3538462,321.9338462,324.9938462,329.4366667,326.7009091,334.2766667,335.5266667,332.5066667,331.1866667,325.5938462,322.1138462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.2055556,313.5528571,314.21,315.1,314.02,319.0655556,325.6209091,329.4514286,342.7866667,343.0455556,332.1055556,336.4455556,338.6866667,,,,,,,,L7,
2002-11-06 21:59:41+00:00,,399.06,397.4,,,363.0171429,370.5266667,362.2371429,361.39,362.4244444,365.3144444,366.5244444,364.2044444,362.3944444,358.44,359.3444444,352.5744444,356.3236364,366.6584615,364.3984615,365.0833333,357.1084615,355.0033333,345.4633333,341.5036364,340.6884615,340.0984615,342.8984615,348.2484615,350.7033333,358.7636364,357.9333333,354.6733333,356.9233333,354.4433333,351.0984615,349.8584615,350.5333333,351.3336364,343.6736364,344.0685714,353.0036364,354.88,358.2836364,357.8336364,352.4836364,355.2233333,363.3336364,350.5736364,348.0536364,352.55,354.0844444,353.8344444,352.92,353.0644444,348.6836364,344.5,352.48,353.5144444,355.2636364,356.5336364,357.0744444,357.2744444,353.1636364,348.0933333,347.06,348.9944444,350.48,348.3336364,338.04,339.8736364,330.8536364,342.4071429,339.4744444,340.64,330.7144444,336.9771429,330.07,324.7,334.04,338.9644444,340.5836364,333.5385714,348.1333333,351.2644444,355.9244444,359.1644444,352.4733333,362.58,356.7444444,,,,,,L7,
2003-08-05 22:00:11+00:00,,,,,,,,,,,,,,,,,,,,346.9292308,347.76,351.9892308,,,,338.4292308,342.2592308,342.3592308,343.3692308,346.99,346.3718182,346.23,345.93,350.19,347.83,345.9392308,,,,333.2218182,323.02,328.2918182,341.57,340.3518182,343.1918182,338.3518182,346.39,339.4818182,344.2818182,347.7118182,,,354.3733333,347.97,337.8433333,337.9818182,337.78,340.97,340.9733333,339.1718182,332.8018182,335.5933333,,,339.03,334.12,333.9833333,346.37,339.6118182,330.38,325.8918182,326.3218182,328.25,332.9133333,,,349.02,339.91,336.76,330.64,333.6633333,337.4818182,346.9,349.78,349.1533333,342.8233333,341.3633333,,,,,,,,,L7,
2003-11-09 22:00:18+00:00,,393.19,,,358.6766667,357.3085714,365.8466667,359.7285714,359.36,367.8144444,366.4444444,368.8344444,373.5444444,373.5144444,370.99,369.9244444,,,,354.4707692,358.7533333,366.6007692,363.0533333,358.6033333,359.3354545,353.3207692,349.3207692,353.9207692,356.5107692,355.6233333,363.8554545,,,362.1333333,362.1333333,359.5207692,355.2007692,349.7333333,346.4854545,338.3254545,333.2942857,333.3454545,342.57,339.0854545,347.1654545,,,345.3454545,343.6354545,346.0154545,349.14,356.4444444,351.1544444,352.03,348.8844444,341.7454545,346.59,,,343.8254545,339.2854545,346.0144444,,,,,,,,,,,,,,,,,,,,,,,333.2244444,349.5044444,365.7844444,,,,,,,,,L7,
2003-12-03 21:50:19+00:00,,383.52,391.24,376.11,372.47,365.34,370.19,362.62,362.07,364.17,365.13,364.98,367.94,373.51,373.77,364.38,363.63,361.3754545,364.7176923,368.5076923,353.29,358.7076923,352.85,350.09,345.9054545,344.4576923,346.7176923,360.3476923,361.5376923,359.67,364.5754545,373.18,376.96,375.58,354.16,352.4176923,354.1876923,351.3,347.4454545,347.3454545,346.82,363.9954545,367.12,363.9154545,371.1354545,371.8754545,371.29,367.6554545,357.0854545,354.8554545,369.45,364.15,364.46,369.64,377.63,368.5654545,370.48,373.31,365.01,369.9254545,353.3654545,350.48,348.73,344.2854545,342.03,343.34,362.71,377.36,373.2654545,370.17,365.0854545,356.1354545,337.39,346.77,356.57,351.4,350.56,357.39,371.77,362.52,362.06,370.2954545,373.81,378.07,355.84,351.87,356.2,345.16,340.87,349.67,366.04,352.4,352.69,377.68,441.94,L5,
2004-04-01 22:01:04+00:00,,,371.83,344.81,351.1,363.4314286,367.42,366.0814286,364.79,367.22,369.99,369.09,367.07,368,365.7,,,360.4118182,363.6823077,365.5023077,362.43,363.9823077,358.81,352.12,347.1118182,346.0423077,352.2423077,354.5123077,358.6723077,,,367.23,366.12,365.68,365.31,371.7023077,366.9623077,364.74,364.5818182,361.3418182,360.4557143,360.0118182,364.3,,,374.2118182,370.68,371.9918182,371.9318182,372.3318182,376.39,372.36,371.7,369.04,362.02,361.1318182,,,363.08,360.0018182,356.8918182,356.53,354.67,354.9218182,358.85,355.06,358,371.86,,,365.2218182,360.5718182,358.6514286,359.38,361.83,359.05,352.4114286,353.39,353.55,350.54,,,,370.07,362.9,362.97,360.92,360.08,349.11,355.76,355.35,,,,,L7,
2004-05-03 22:00:59+00:00,,363.65,354.53,,,,,,,,,,,,,,,,,,,350.9430769,347.69,342.92,344.4,343.5230769,345.7930769,348.1930769,351.1230769,348.76,352.75,355.93,356.53,,,354.9130769,352.5030769,348.71,345.35,338.98,335.3357143,339.74,340.45,342.74,345.24,346.04,,,340.93,351.51,344.98,351.3366667,346.3866667,344.52,338.7566667,344.45,341.76,341.2,339.4066667,,,337.3866667,337.4766667,337.36,334.49,336.51,340.5466667,353.9,350.64,351.29,348.92,,,343.7166667,349.8,348.3066667,344.8514286,347.73,340.9,331.96,335.7566667,339.18,345.7957143,,,341.9366667,346.7266667,341.69,,,,,,,,L7,
2004-07-22 22:00:44+00:00,,,,,,,,,,,,,,,,,,346.2336364,344.2292308,344.2392308,347.77,348.2792308,345.48,341.13,339.3936364,341.6992308,,,,351.54,357.9236364,353.04,356.73,354.81,352.42,348.2792308,348.0392308,344.12,340.9336364,340.5136364,339.6428571,,,348.7436364,346.6836364,349.4736364,347.25,348.5436364,351.0136364,351.1736364,353.58,352.7666667,358.3466667,,,351.3136364,344.86,347.72,350.4966667,340.8136364,,342.0766667,341.2866667,333.5236364,334.57,334.41,,,345.6036364,345.08,344.6936364,339.4736364,354.1457143,347.3766667,347.69,348.7066667,348.0957143,344.28,,,343.0666667,346.8836364,348.3828571,359.93,358.6766667,353.1466667,354.4766667,351.42,356.44,359.0566667,,,370.98,391.81,406.52,L7,
2004-07-30 21:54:28+00:00,,375.04,358.04,355.91,357.12,372.6328571,369.99,,,,,,,,,,,,,,365.67,370.7669231,362.77,355.79,359.5181818,363.4169231,365.5669231,368.0169231,372.4869231,369.35,373.3381818,364.23,367.3,371.74,368.63,362.9469231,363.9369231,355.47,356.1381818,356.5181818,353.4414286,347.8281818,354.39,359.6781818,361.6881818,359.6381818,357.35,359.8181818,355.7881818,357.1381818,358.34,366.02,360.53,363.61,354.33,357.0181818,354.92,347.38,346.48,340.3981818,339.3781818,342.68,344.1,347.4581818,346.85,354.99,357.94,370.46,375.4181818,371.03,352.3081818,341.2181818,345.5828571,365.61,363.75,369.81,366.5428571,353.12,350.39,349.18,349.9,355.2881818,356.5914286,363.07,366.37,351.93,348.95,357.87,361.45,371.53,367.17,363.2028571,380.23,398.87,433.36,L5,
2004-08-07 22:00:37+00:00,,,,,,,,,,353.6333333,,,,,,,,,,,,,,,343.7145455,346.6584615,354.9184615,354.2084615,355.4484615,358.66,358.2445455,357.75,358.75,362.73,356,353.0884615,,,337.0445455,336.7945455,337.1314286,334.2445455,345.36,344.2245455,340.2545455,345.6745455,348.14,341.3445455,344.3645455,,,348.0633333,350.6533333,347.13,343.8333333,341.1045455,339.84,341.8,340.1533333,333.8945455,,336.6033333,,,333.71,337.89,338.9833333,351.18,349.1545455,343.08,343.0745455,341.4845455,339.7428571,345.2933333,,,341.5028571,339.72,334.62,337.17,340.3533333,341.2545455,346.9314286,353.71,354.0733333,347.6133333,,,349.49,348.6733333,346.79,344.9628571,358.58,373.32,409.18,L7,
