Year-Month,Value,Smooth_Value
2011-01,2.3,2.276724024235489
2011-02,2.7,2.1597815738419337
2011-03,2.5,1.927351421540106
2011-04,1.9,1.6146519674501665
2011-05,0.4,1.2926921478460196
2011-06,0.2,1.0503151510359343
2011-07,1.0,0.9205709060878043
2011-08,0.4,0.8833646451297764
2011-09,1.0,0.9235659186595097
2011-10,0.8,0.9958339868540526
2011-11,1.1,1.0596052399742342
2011-12,2.5,1.0620764441025052
2012-01,1.1,0.9529690378229265
2012-02,0.5,0.7718746819631532
2012-03,0.7,0.567574472486907
2012-04,-0.3,0.3718573377352117
2012-05,0.0,0.22478880151866162
2012-06,0.4,0.12444330403939796
2012-07,-0.0,0.05484598540464725
2012-08,-0.2,0.017244279219172647
2012-09,0.2,0.0094577449999481
2012-10,0.3,0.01572817481274768
2012-11,0.3,0.032206251660850164
2012-12,-0.6,0.07280964762173664
2013-01,-0.1,0.1681931440440858
2013-02,-0.2,0.30696091930021746
2013-03,1.5,0.4609550802596963
2013-04,0.2,0.5703326763358232
2013-05,0.8,0.6401910644256683
2013-06,1.2,0.6524818091553127
2013-07,0.8,0.5991445336242335
2013-08,0.2,0.5063387478596997
2013-09,0.3,0.41277742853746735
2013-10,-0.1,0.33802738059206017
2013-11,0.7,0.2946068196744105
2013-12,0.1,0.2676572501484467
