Year-Month,nzd0070_Average_Value,Value,Smooth_Value
2007-01,397.6346383241771,-0.8,-0.3251171629243425
2007-02,400.9660525939727,-0.1,-0.27127646745360723
2007-05,394.508201751075,-0.1,-0.01611316116153752
2007-06,392.4216771704349,0.5,0.0948868859175242
2007-07,391.15366384961067,-0.3,0.22390315642930692
2007-08,391.29975708508556,0.4,0.39724715534907984
2007-10,392.57362612352904,0.7,0.8513606219970336
2007-11,394.93434622655514,0.9,1.0940789081800009
2008-02,397.1459570975563,2.6,1.3855584537087702
2008-03,396.90396346595156,1.4,1.2431098870478103
2008-04,389.630281331454,0.7,1.0472591098937376
2008-08,382.96768281823796,1.0,0.9048625807781062
2008-09,380.0912059733148,1.2,1.024273537101321
2008-10,378.8594482665313,1.3,1.1348594801181024
2008-11,379.47933260884093,1.3,1.2080735324491874
2008-12,380.92182090342794,1.4,1.2256900992079331
2009-01,382.79682441006133,1.1,1.1752289897296215
2009-02,383.8539166741907,1.9,1.0551043821490396
2009-03,385.29561979112805,0.4,0.8590286427428732
2009-04,386.8855169480548,0.8,0.6335201139034912
2009-05,388.8672128276338,-0.1,0.39640784785183536
2009-06,393.11115130709305,0.1,0.175925889689878
2009-07,395.3859419790225,0.2,-0.030717205971148548
2009-08,395.61391812186446,-0.2,-0.2310582526256286
2009-09,397.78220223208416,0.3,-0.4182142383947497
2009-10,399.1233559691483,-1.2,-0.5833610106105986
2009-12,399.84826360004485,-0.7,-0.6713166809489718
2010-01,401.80714025420815,-1.1,-0.5592312409409007
2010-02,403.683450830219,-1.5,-0.31860068172221734
2010-03,404.7070083534131,0.7,0.03470597422504279
2010-04,401.1793994202756,1.2,0.41098224702648256
2010-05,396.08435147007344,0.9,0.7621025334186409
2010-08,393.2002484092561,1.8,1.6678034762774099
2010-09,391.5302081907382,2.2,1.8775157872916097
2010-10,391.6049952026366,1.7,2.031232789839653
2010-11,393.2395213543946,1.3,2.1489598401868872
2010-12,395.4661644613586,2.9,2.230000245233683
2011-01,397.0865022146646,2.3,2.2205973218687327
2011-02,397.16161529656057,2.7,2.10886937165362
2011-03,395.8151199991575,2.5,1.8878973635331349
2011-04,393.24300987325495,1.9,1.5877079307237145
2011-05,389.55588787199247,0.4,1.2765841212209756
2011-07,386.0166363163254,1.0,0.9179520738607723
2011-08,382.61011836465866,0.4,0.8838279731670607
2011-09,379.449280303673,1.0,0.9254522730675506
2012-01,378.40088394276296,1.1,0.9540644776008054
2012-03,377.78470003535034,0.7,0.5680209458166249
2012-04,376.1711212693056,-0.3,0.37218487073592466
2012-06,374.32276540705,0.4,0.12482381936134532
2012-07,374.13298953141253,-0.0,0.05528636405408998
2012-09,376.5937865156961,0.2,0.009631656172533002
2012-10,381.27154381748073,0.3,0.015315364570368323
2012-11,386.3451608247134,0.3,0.030702822046203646
2012-12,390.5224399925591,-0.6,0.06958360432588886
2013-01,392.95384102831935,-0.1,0.16257836075738483
2013-02,395.9504518910588,-0.2,0.29845876541828553
2013-03,396.85510345625704,1.5,0.4495853448388478
2013-04,394.09454204298237,0.2,0.5571649527106878
2013-05,386.7527852092813,0.8,0.6280553586729892
2013-06,378.5542238020908,1.2,0.646791522820522
2013-07,376.28493433103154,0.8,0.6086549453309916
2013-08,376.97588864432134,0.2,0.543502656205822
2013-09,377.112701666342,0.3,0.493150751363251
2013-10,380.0066422658089,-0.1,0.4779464107086502
2013-11,388.22637546137327,0.7,0.5061648921871899
2013-12,393.5387999846618,0.1,0.5499598030747488
2014-01,397.2103313600699,1.4,0.5935994448855075
2014-02,393.00983381274074,0.1,0.5932296314414737
2014-03,384.02255679548335,0.9,0.5553962112593106
2014-04,380.4510041700691,0.8,0.4558181808905904
2014-05,378.9727454845265,0.5,0.2917522736831785
2014-09,377.4977414320409,-0.7,-0.47800529414963183
2014-10,377.98654122120024,-0.6,-0.5419768572748163
2014-12,382.75237313486474,-0.6,-0.45555739146346724
2015-01,391.27136682997775,-0.8,-0.337033385476915
2015-02,399.2309595997805,0.2,-0.21386362961651761
2015-03,391.9562759824388,0.7,-0.1514132771834069
2015-04,384.08457486020944,-0.0,-0.18918100462768112
2015-05,376.6597121095266,-0.7,-0.31345215857547654
2015-06,372.53828209786,0.6,-0.4986882728636996
2015-07,372.74587276139187,-1.1,-0.743510121418288
2015-09,375.0459589459854,-1.6,-1.154002666225749
2015-10,379.1953501243757,-1.7,-1.2505232072257995
2015-11,387.11364316763223,-0.5,-1.2739233879361067
2015-12,395.8806402088177,-0.6,-1.2587868117298138
2016-01,399.0435004510037,-2.2,-1.1913268702340565
2016-02,398.661514729264,-2.0,-1.0165827793428561
2016-03,397.39459841146646,0.1,-0.7426358255606083
2016-04,389.7314277855157,-1.2,-0.43903087168277755
2016-05,381.27708348820624,0.4,-0.12264804140729157
2016-07,375.5131411798702,0.4,0.32335397405358773
2016-08,371.3969078597692,0.7,0.418043277788879
2016-11,370.4074535370658,-0.1,0.31766506887384116
2016-12,374.34506092363233,0.3,0.29087824331106954
