Year-Month,nzd0321_Average_Value,Value,Smooth_Value
2010-01,2.699894400023803,-1.1,-0.6910800161705196
2010-04,6.013189863641576,1.2,0.38061407945952697
2010-07,10.08240600776818,1.8,1.4201525341494383
2010-08,12.561800628557268,1.8,1.6864146011842973
2010-10,12.169132586645448,1.7,2.033495582513128
2010-11,7.770373029975035,1.3,2.163546374489542
2011-01,3.474308284607278,2.3,2.3021264980235796
2011-02,1.0811513898370773,2.7,2.197003210333334
2011-03,0.3610855231154518,2.5,1.945270057497177
2011-07,0.09449106325452325,1.0,0.8039636280995116
2011-08,0.43167018491715603,0.4,0.7993830175691794
2011-11,1.2589825822926008,1.1,1.1410768303628176
2011-12,2.766768285017275,2.5,1.1726982332765472
2012-06,3.834558221959924,0.4,0.09292001926053267
2012-07,4.7586812470140565,-0.0,0.03611247325787745
2013-01,5.459143085731254,-0.1,0.1287759708335999
2013-02,5.707658022324856,-0.2,0.2910506764444273
2013-03,5.11415392111754,1.5,0.48068865623768053
2013-05,2.7838430641602367,0.8,0.6845911558295187
2013-06,-0.6280159734215212,1.2,0.6950081599192421
2013-07,-3.78610216185462,0.8,0.6246597957079081
2013-08,-4.059748176602478,0.2,0.5180551655031975
2013-09,-4.575259105075856,0.3,0.439185616534134
2013-10,-4.7523011016355685,-0.1,0.41670303319605356
2013-11,-4.697064908945655,0.7,0.4637942313804983
2014-01,-4.185695241207744,1.4,0.6160445287537221
2014-02,1.5887921315542552,0.1,0.6367740255034507
2014-03,4.8397397195475325,0.9,0.6190791769672462
2014-04,4.330856435808686,0.8,0.5239745326277794
2014-05,2.696641088517307,0.5,0.3436880667491397
2014-06,-2.6292322362349885,0.2,0.10111724997010557
2014-07,-3.3311527719404594,-0.2,-0.16347245448711323
2014-08,2.9080007394118628,-0.7,-0.39882861117476587
2014-09,2.3824341530622126,-0.7,-0.5577574008131962
2014-10,-6.814617602476988,-0.6,-0.6265284917700005
2014-11,-14.094603539437353,-0.9,-0.6072162856557499
2015-01,-10.498119822623865,-0.8,-0.3333806716857359
2015-03,-6.773668613402047,0.7,-0.053744338346246076
2015-04,-6.905714641682326,-0.0,-0.08987393402343799
2015-05,-8.599614524392223,-0.7,-0.23350742994727156
2015-06,-12.393140241345245,0.6,-0.44637553472814706
2015-07,-12.726381823529156,-1.1,-0.7420414647601024
2015-08,-8.947445615234036,-1.4,-1.0178044881340476
2015-09,-4.703323730101321,-1.6,-1.2107370435231035
2015-10,-3.9608281824662814,-1.7,-1.3003777375854972
2015-12,1.7676114527548459,-0.6,-1.3053462003989913
2016-01,9.413441905054608,-2.2,-1.2651127181548563
2016-03,8.778488595163982,0.1,-0.7758306365188635
2016-04,2.021321110648475,-1.2,-0.433651335838066
2016-05,-5.4782380257761,0.4,-0.067956686706039
2016-06,-7.407377023338156,0.6,0.22929946950288277
2016-07,-12.66928108360799,0.4,0.41815847882614415
2016-08,-8.70902868520465,0.7,0.49985063513420575
2016-10,-9.863944398502598,-0.3,0.3608239474711461
2016-12,-9.118563945613436,0.3,0.21101723323559934
2017-02,-5.1719928963584785,-0.1,0.20200076476660445
2017-04,-0.22925083192396956,-0.2,0.2800148978234491
2017-05,2.734763301766227,0.3,0.351361072066641
2017-06,0.09164719681812716,0.4,0.442452312626867
2017-07,-2.7774755189238265,0.8,0.5328873324375721
2017-08,-7.7078277268568245,0.5,0.5975479208069951
2017-10,-13.472321803653621,0.9,0.6569510437263585
2017-11,-15.573221407704722,0.9,0.6345832059130839
2017-12,-14.600243010355696,-0.1,0.5900642893855013
2018-01,-7.077303519947517,1.1,0.5690577995393928
2018-03,-1.1777467719601311,1.5,0.5325344595767977
2018-05,1.1518974717925616,0.4,0.33491377377024717
2018-06,2.3981269534256477,0.1,0.18977384115669801
2018-09,2.4039873156332643,-0.9,-0.08710632419636016
2018-10,2.4363251798625427,0.4,-0.04343217621100896
2018-11,2.1095077403010123,-0.1,-5.4539852807917316e-05
2018-12,1.569071457040344,1.0,0.012435783633918313
2019-01,1.67713194160758,-0.0,-0.04765705812262103
2019-02,3.5711986200477437,-1.4,-0.1122995601202082
2019-03,2.4682657612279417,0.3,-0.10816298867633259
2019-04,-1.1848531398643192,0.1,-0.10499643676179538
2019-05,-5.816467085140045,-0.4,-0.12719755416113745
2019-06,-10.597846863685085,0.5,-0.17638660879647913
2019-07,-11.595646281361471,-0.4,-0.284495251460924
2019-08,-8.18438644965116,-0.1,-0.4083010653035235
2019-09,-5.452336975867548,-1.2,-0.5174154944221151
2019-10,-6.602179789716284,-0.4,-0.5471943089919223
2019-12,-6.821459095311359,-0.6,-0.3971841433327036
2020-01,-4.5414425388922055,0.2,-0.2394338580254324
2020-02,-0.2770160862545712,-0.1,-0.08531536641946708
2020-03,6.2164090914622845,0.1,0.0642670953991159
2020-04,7.677488266295112,0.2,0.20677766539084902
2020-05,4.004505112078176,0.4,0.34365080424969424
2020-07,-1.1581048963639589,0.4,0.6094713573653429
2020-08,-2.5547219583541314,1.1,0.7439071554524747
2020-09,-4.449656735549312,0.9,0.8541466730545245
2020-10,-6.6127543011507095,0.5,0.9550271618437167
2020-12,-7.44808360543765,1.8,1.1578807425544413
