Year-Month,nzd0275_Average_Value,month,climatology,monthly_anomaly,Value,Smooth_Value
2010-02,-5.66853821181351,2,0.20934195354184545,-5.877880165355355,-1.5,-0.19381528321611902
2010-03,-6.518517659793229,3,0.6563028973243653,-7.174820557117594,0.7,0.05377544749432832
2010-04,-6.954866112016143,4,0.4765221825036626,-7.431388294519806,1.2,0.35672564771543397
2010-05,-7.081020494246661,5,1.8963356249729009,-8.977356119219563,0.9,0.6752677659650166
2010-06,-6.9754119542643584,6,-0.5250059633718778,-6.450405990892481,0.4,0.9930585383243549
2010-07,-6.9985390672873224,7,-0.5754788639569367,-6.423060203330386,1.8,1.2999972629312548
2010-08,-7.363510599489216,8,-1.6124122503181952,-5.751098349171021,1.8,1.5695093896367354
2010-09,-7.794492485729201,9,-2.048628662119791,-5.74586382360941,2.2,1.7889093332103907
2010-10,-7.864373562970444,10,-0.7906734867255355,-7.073700076244909,1.7,1.9519140253763514
2010-12,-7.548484097138865,12,-0.18892813066158204,-7.359555966477283,2.9,2.1222845113200974
2011-01,-7.548758015444398,1,-0.5882972094430238,-6.960460806001374,2.3,2.1047145490955637
2011-02,-8.258237383527792,2,0.20934195354184545,-8.467579337069637,2.7,2.0094786432935936
2011-03,-9.082991644889754,3,0.6563028973243653,-9.73929454221412,2.5,1.8405303366924897
2011-04,-9.222060461615921,4,0.4765221825036626,-9.698582644119584,1.9,1.6210043208679554
2011-05,-8.96075601978725,5,1.8963356249729009,-10.85709164476015,0.4,1.392353889154236
2011-06,-8.778955423697516,6,-0.5250059633718778,-8.253949460325638,0.2,1.2037822148614674
2011-08,-8.787399486527438,8,-1.6124122503181952,-7.174987236209242,0.4,1.0055434492382593
2011-09,-8.696970700691912,9,-2.048628662119791,-6.648342038572121,1.0,0.9812493908191638
2011-10,-8.046147056026221,10,-0.7906734867255355,-7.255473569300686,0.8,0.9788423435776874
2011-11,-7.228898045819224,11,0.6449768902849191,-7.873874936104143,1.1,0.9736405911138795
2012-03,-6.235170797985538,3,0.6563028973243653,-6.891473695309903,0.7,0.5480023178061738
2012-06,-5.27734427348584,6,-0.5250059633718778,-4.752338310113962,0.4,0.1714839787308447
2012-08,-3.9564278351455355,8,-1.6124122503181952,-2.34401558482734,-0.2,0.05517750976395274
2012-09,-1.8516134084929172,9,-2.048628662119791,0.19701525362687367,0.2,0.03912984091774258
2012-12,0.18373362487650835,12,-0.18892813066158204,0.3726617555380904,-0.6,0.11256029571002404
2013-01,1.4847415518406117,1,-0.5882972094430238,2.0730387612836356,-0.1,0.19163325403298223
2013-04,2.442571758282643,4,0.4765221825036626,1.9660495757789804,0.2,0.4944825475055453
2013-05,2.9082174011170676,5,1.8963356249729009,1.0118817761441667,0.8,0.5588906247797535
2013-06,2.6501802096096405,6,-0.5250059633718778,3.175186172981518,1.2,0.5911352323489076
2013-07,2.2733363703995173,7,-0.5754788639569367,2.848815234356454,0.8,0.5893438015280912
2013-08,2.3883323151365863,8,-1.6124122503181952,4.000744565454782,0.2,0.5685566738449183
2013-09,3.272008256990185,9,-2.048628662119791,5.320636919109976,0.3,0.5496657518956664
2013-10,4.217736878175391,10,-0.7906734867255355,5.008410364900926,-0.1,0.5433252528920337
2013-12,5.233397292979884,12,-0.18892813066158204,5.422325423641466,0.1,0.565301607555227
2014-01,6.287500305986674,1,-0.5882972094430238,6.8757975154296975,1.4,0.5693925555386073
2014-02,6.478170313930833,2,0.20934195354184545,6.268828360388987,0.1,0.5425272163600707
2014-03,5.692050428764566,3,0.6563028973243653,5.035747531440201,0.9,0.48477815717152684
2014-06,4.709465714035118,6,-0.5250059633718778,5.2344716774069955,0.2,0.06172348898896588
2014-08,4.038793619223159,8,-1.6124122503181952,5.6512058695413545,-0.7,-0.31585331128448957
2014-09,4.124672898068029,9,-2.048628662119791,6.17330156018782,-0.7,-0.47388715837156903
2014-10,5.42845704273327,10,-0.7906734867255355,6.2191305294588055,-0.6,-0.5953844521945266
2014-11,7.493083366751091,11,0.6449768902849191,6.848106476466172,-0.9,-0.677268651935854
2014-12,7.901228559620848,12,-0.18892813066158204,8.09015669028243,-0.6,-0.716591426439305
