Year-Month,Value,Smooth_Value
2010-01,-1.1,-1.0012710057524834
2010-02,-1.5,-0.6464299918490506
2010-03,0.7,0.01937248295891908
2010-04,1.2,0.5728924176054412
2010-05,0.9,0.8933869297094551
2010-06,0.4,1.1388276179541494
2010-07,1.8,1.4701252233740665
2010-08,1.8,1.7198226568019033
2010-09,2.2,1.8670738409041046
2010-10,1.7,1.9266670731018265
2010-11,1.3,2.061357832636622
2010-12,2.9,2.3331606773714553
2011-01,2.3,2.465708906219679
2011-02,2.7,2.4345644059295575
2011-03,2.5,2.1416406604850495
2011-04,1.9,1.606822529012534
2011-05,0.4,1.00926568820059
2011-06,0.2,0.6584269129544472
2011-07,1.0,0.5929782278679637
2011-08,0.4,0.647846362888574
2011-09,1.0,0.8388566133557314
2011-10,0.8,1.071680335547299
2011-11,1.1,1.3236081686941485
2011-12,2.5,1.451183936228351
2012-01,1.1,1.211570053273469
2012-02,0.5,0.8280694077404619
2012-03,0.7,0.47439819719652754
2012-04,-0.3,0.17846399354643447
2012-05,0.0,0.06844183660760694
2012-06,0.4,0.05985610239905341
2012-07,-0.0,0.0378125728919564
2012-08,-0.2,0.038592095657919705
2012-09,0.2,0.08166993031656722
2012-10,0.3,0.0804804050840018
2012-11,0.3,0.0010489902578526417
2012-12,-0.6,-0.09303457945714175
2013-01,-0.1,-0.005313453915286738
2013-02,-0.2,0.23535125234339538
2013-03,1.5,0.5580155154079006
2013-04,0.2,0.698245865881271
2013-05,0.8,0.8102686052963707
2013-06,1.2,0.8268674281277211
2013-07,0.8,0.6762622042736779
2013-08,0.2,0.4525095022424992
2013-09,0.3,0.3046604664208077
2013-10,-0.1,0.2695397957541155
2013-11,0.7,0.3819008707786878
2013-12,0.1,0.512257162806736
2014-01,1.4,0.6724995339155031
2014-02,0.1,0.6912934404903459
2014-03,0.9,0.7206378793986223
2014-04,0.8,0.6497347628453124
2014-05,0.5,0.4475025010804553
2014-06,0.2,0.14964405420061436
2014-07,-0.2,-0.18480539595562248
2014-08,-0.7,-0.47443024719438875
2014-09,-0.7,-0.6445680546748725
2014-10,-0.6,-0.7208095970254227
2014-11,-0.9,-0.7533820730188889
2014-12,-0.6,-0.7388195271946001
