dates,nzd0286-0000,nzd0286-0001,nzd0286-0002,nzd0286-0003,nzd0286-0004,nzd0286-0005,nzd0286-0006,nzd0286-0007,nzd0286-0008,nzd0286-0009,nzd0286-0010,nzd0286-0011,nzd0286-0012,nzd0286-0013,nzd0286-0014,nzd0286-0015,nzd0286-0016,nzd0286-0017,nzd0286-0019,nzd0286-0020,nzd0286-0021,nzd0286-0022,nzd0286-0023,nzd0286-0024,nzd0286-0025,nzd0286-0026,nzd0286-0029,nzd0286-0030,nzd0286-0031,nzd0286-0032,nzd0286-0033,nzd0286-0034,nzd0286-0035,nzd0286-0036,nzd0286-0037,nzd0286-0038,nzd0286-0039,nzd0286-0040,nzd0286-0041,nzd0286-0042,nzd0286-0043,nzd0286-0044,nzd0286-0045,nzd0286-0046,nzd0286-0047,nzd0286-0048,nzd0286-0049,nzd0286-0050,nzd0286-0051,nzd0286-0052,nzd0286-0053,nzd0286-0054,nzd0286-0055,nzd0286-0056,nzd0286-0057,nzd0286-0058,nzd0286-0059,nzd0286-0060,nzd0286-0061,nzd0286-0062,satname
1999-08-21 21:46:56+00:00,339.3955556,332.81,330.2342857,327.6655556,339.1655556,342.7255556,334.11,337.5955556,336.8955556,334.33,328.81,331.25,332.9455556,333.0655556,331.7255556,331.09,350.18,346.01,347.67,354.74,339.3855556,314.1555556,309.12,313.5255556,317.48,325.7855556,325.2142857,333.77,336.43,332.6694737,347.1545455,358.71,351.3842857,355.1433333,358.1942857,355.0769231,354.6233333,341.5345455,336.96,346.51,350.8942857,358.4755556,366.2355556,366.9072727,359.5872727,350.0066667,360.9466667,355.0655556,344.2442857,352.1642857,358.9642857,357.59,358.6342857,367.87,367.6755556,366.0542857,375.71,370.0866667,370.9266667,344.6566667,L7
2000-05-19 21:46:07+00:00,350.8055556,344.89,330.79,327.1355556,328.4055556,329.8855556,324.49,333.2655556,332.1155556,327.74,320.94,318.83,330.6655556,336.5755556,335.2255556,332.57,340.31,343.36,335.94,334.17,327.6955556,313.5155556,312.68,305.5355556,310.75,324.3955556,322.41,334.14,340.96,344.9173684,351.9754545,356.03,352.81,356.1133333,356.34,354.9838462,355.4933333,346.4454545,337.83,345.85,347.79,358.5655556,368.0455556,368.1927273,,353.0766667,355.2866667,344.5855556,337.23,348.23,348.37,349.4,350.53,357.33,359.4355556,363.7,367.02,351.7666667,,343.7466667,L7
2000-08-07 21:45:08+00:00,337.3544444,335.54,333.2428571,327.5644444,330.5244444,331.0944444,319.93,333.3044444,336.9644444,335.76,336.65,324.37,330.1744444,336.0444444,339.6344444,342.36,350.97,355.1,340.98,334.65,329.0944444,319.5744444,318.61,317.3144444,322.5,326.1844444,338.2928571,349.22,354.41,347.6315789,355.5,358.97,353.7628571,358.7266667,359.0728571,360.4246154,360.7566667,353.91,342.86,355.85,353.4128571,363.9844444,369.7344444,371.3,364.45,355.9833333,359.5233333,354.1344444,342.8928571,348.0228571,354.1328571,359.75,362.4228571,363.1,367.1744444,366.9528571,372.6,367.8633333,369.2433333,362.7233333,L7
2000-11-27 21:44:26+00:00,352.6966667,347.7,338.7314286,331.7166667,342.3766667,346.5566667,336.35,348.9566667,352.5166667,348.74,344.13,336.84,343.9766667,350.2466667,354.0666667,362.04,374.99,372.85,354.45,348.96,348.7866667,342.1466667,335.92,331.5466667,333.56,341.4566667,331.8814286,346.16,354.93,355.2115789,363.9090909,366.5,362.4414286,364.14,364.4314286,365.3407692,367.44,357.8090909,349.05,355.76,356.2114286,365.6166667,372.9766667,377.0445455,371.8245455,366.65,372.5,363.6266667,353.9814286,365.1114286,371.4614286,369.54,365.4714286,372.13,375.3866667,381.6414286,389.43,377.81,376.35,373.13,L7
2001-04-04 21:44:06+00:00,339.9855556,331,329.1185714,323.2855556,323.0555556,325.2555556,327.44,341.0055556,341.4255556,332.31,322.25,316.9,329.1855556,330.8855556,339.6155556,347.99,356.41,354.63,336.56,333.94,330.7355556,319.9455556,315.99,319.9155556,319.42,315.4755556,315.9885714,327.35,343.24,344.9715789,343.1636364,346.69,347.0685714,348.0633333,352.0585714,349.65,346.5233333,331.9436364,329.84,342.35,345.0585714,351.5455556,359.5355556,359.9718182,352.4418182,346.0966667,347.3866667,342.4555556,327.9185714,333.2185714,345.2985714,341.3,349.4185714,360.34,359.7155556,364.4585714,362.27,356.7366667,347.1866667,366.2766667,L7
2001-04-20 21:44:10+00:00,345.9066667,339.29,332.2285714,326.6466667,331.3466667,339.0966667,344.04,340.6666667,337.0866667,340.34,335.38,334.23,330.4966667,339.4166667,352.6766667,359.49,369.23,369.2,346.89,344.74,345.5466667,331.2666667,329,323.1466667,327.48,331.8266667,342.4085714,354.31,350.81,345.5063158,346.4645455,357.36,353.5585714,362.9,358.0785714,363.6476923,357.72,342.8245455,343.41,344.09,356.4985714,365.6666667,370.6666667,372.9672727,362.6472727,360.81,365.29,359.5766667,346.4185714,353.8685714,364.7585714,361.18,369.9385714,367.81,373.0866667,376.3085714,368.69,359.47,332.06,331.46,L7
2001-05-22 21:43:54+00:00,352.2722222,340.19,336.46,335.1322222,340.7622222,338.5122222,335.24,345.5322222,346.2322222,346.24,340.61,344.49,353.7622222,360.9622222,370.2322222,368.64,374.34,376.93,360.79,357.33,362.7422222,358.0122222,343.97,333.0522222,336.73,344.2922222,355.52,361.86,356.77,356.9631579,364.8027273,369.9,369.09,369.7333333,372.24,371.2707692,364.9833333,363.6627273,351.91,357.22,364.01,377.7122222,379.9122222,383.4663636,381.9963636,373.8766667,377.5566667,367.5422222,357.2,360.96,368.95,372.33,,,,,,,,,L7
2001-07-25 21:43:18+00:00,353.5677778,340.69,338.6657143,331.9177778,336.3277778,337.1777778,328.63,338.9977778,342.4577778,329.26,329.09,322.96,338.5577778,342.7277778,348.1977778,345.78,356.52,358.14,353.68,348.87,342.5477778,330.7277778,325.01,321.2277778,320.92,332.8877778,344.4057143,365.6,377.44,372.2847368,378.8181818,380.03,372.5357143,380.3866667,376.7157143,379.2261538,384.5866667,375.5981818,366.89,376.81,369.3457143,376.7677778,383.0277778,383.7890909,375.3790909,368.6533333,369.9333333,364.8077778,356.6757143,364.8557143,367.8357143,380.65,372.1857143,375.46,369.7477778,378.9657143,386.19,391.9933333,399.9633333,,L7
2001-09-27 21:42:29+00:00,342.8611111,344.81,336.9814286,329.0011111,345.2211111,354.5311111,348.12,350.7311111,354.4511111,350.85,340.77,327.25,329.6911111,345.7511111,356.5211111,364.02,373.24,370.18,355.15,354.43,354.1211111,342.3611111,335.51,335.6011111,338.18,337.3811111,348.9114286,365.04,376.35,381.1978947,409.9645455,,,,393.8714286,,,,362.64,376.13,379.5214286,386.1811111,392.6211111,383.5672727,382.0772727,377.3433333,,,,,,,,,,,,400.9133333,414.4533333,,L7
2001-10-13 21:42:15+00:00,341.65,331.46,320.36,320.19,332.53,334.08,329.14,334.94,336,333.56,315.46,304.2,323.32,325.37,337.89,336.1,351.46,345.91,338.84,338.77,339.78,327.94,317.97,307.34,316.04,316.22,316.78,325.1,343.52,330.8436842,337.7209091,350.15,338.8,342.96,345.81,346.2553846,343.79,336.7009091,336.59,342.29,355.7,359.9,361.85,360.7054545,352.0254545,344.33,,,,,,,,,,,,,,,L7
2001-10-29 21:42:21+00:00,339.96,334.02,322.3428571,322.45,338.43,348.58,333.81,347.44,338.72,337.08,319.15,313.53,326.15,332.38,343.76,338.41,353.79,350.8,348.33,345.48,339.18,326.34,316.27,324.08,329.14,327.3,323.3528571,333.39,340.36,333.8926316,344.8963636,353.15,345.4928571,350.67,355.6228571,354.2038462,350.93,340.5063636,336.06,346.22,348.8128571,356.91,363.63,363.6081818,358.3281818,350.92,361.15,357.14,342.1328571,353.4728571,358.4528571,356.89,361.7428571,365.81,368.04,373.8928571,372.04,370.53,376.58,382.26,L7
2002-02-18 21:42:54+00:00,349.9066667,339.74,333.8442857,325.6966667,332.7866667,335.8266667,325.45,343.0666667,342.3866667,327.32,327.22,319.37,335.1766667,338.3866667,340.5766667,343.65,346.68,352.48,352.76,347.16,338.2666667,323.3366667,316.89,316.2966667,320.72,327.9366667,325.7642857,338.4,355.3,353.1105263,362.3245455,365.93,361.2442857,365.14,363.8842857,364.7892308,362.56,357.2345455,349.95,352.25,354.5542857,358.2866667,367.5866667,364.4072727,367.3772727,360.35,362.81,357.3566667,352.3242857,358.0542857,361.2942857,361.81,359.5842857,362.54,360.9366667,367.6042857,371.94,373.95,376.85,375.73,L7
2002-09-14 21:41:55+00:00,354.3777778,345.95,337.3057143,335.4077778,329.1977778,329.4777778,332.74,339.5477778,335.4577778,323.44,318.38,316.62,323.1477778,326.4177778,331.0277778,338.38,340.97,343.92,332.91,339.62,328.6277778,318.7577778,307.36,301.3777778,305.46,312.7177778,314.6457143,329.97,337.6,338.2484211,347.0190909,349.77,347.7857143,351.4966667,351.3757143,349.3615385,347.2766667,336.8890909,330.56,336.39,342.7157143,350.8577778,359.2777778,355.4945455,353.8645455,346.0133333,352.5533333,344.8377778,333.6157143,337.0057143,348.2857143,348.93,346.6657143,349.34,351.6777778,357.1057143,369.05,372.3933333,359.5633333,356.5433333,L7
2002-09-30 21:41:47+00:00,370.48,363.56,351.2014286,345.7,338.38,341.59,345.94,351.15,344.84,339.21,334.68,330.72,340.47,340.46,344.26,352.25,359.89,359.11,349.46,348.81,340.99,339.66,326.7,317.79,319.33,316.66,325.0114286,337.33,342.44,343.7694737,353.8227273,357.16,355.0314286,356.07,357.1514286,359.2492308,355.41,347.2027273,339.06,344.19,348.5314286,359.76,368.59,367.4963636,365.3663636,355.92,361.17,356.84,343.8814286,348.1414286,353.7314286,359.7,352.8714286,359.05,363.88,367.9214286,379.24,381.57,370.19,370.32,L7
2002-11-01 21:41:54+00:00,368.7911111,358.84,342.8385714,339.0711111,332.6511111,340.0511111,333.15,341.4411111,331.2511111,327.3,319.33,311.06,319.2011111,323.5811111,325.6511111,330.84,343.58,348.53,323.25,324.4,324.7811111,319.4011111,306.22,305.3811111,301.07,301.0311111,318.7285714,341.23,345.11,357.4389474,372.9490909,386,,388.0066667,,,,,352.03,360.65,376.4785714,373.0611111,386.5311111,383.5045455,,,426.2433333,,,,,,,,,,,425.9833333,393.1533333,405.5233333,L7
2003-01-20 21:42:33+00:00,374.1055556,367.01,362.0971429,361.6555556,354.4255556,350.1955556,352.08,361.8355556,365.1955556,363.58,350.33,350.5,350.5955556,354.5955556,358.0955556,364.22,375.56,370.72,354.58,352,349.9955556,344.7055556,341.38,335.5155556,333.94,339.0855556,345.9071429,363.55,376.78,368.4147368,378.9690909,381.04,379.1371429,382.2233333,383.2771429,378.45,381.7633333,372.1590909,366.88,376.62,376.7271429,379.2955556,386.6955556,393.4645455,384.5145455,386.8566667,389.0866667,376.0055556,371.3071429,375.9671429,386.8671429,384.84,378.4671429,382,387.7055556,394.9171429,401.66,392.3266667,400.5266667,394.3266667,L7
2003-02-05 21:42:41+00:00,376.3833333,373.53,368.7242857,359.8233333,356.1433333,355.7233333,370.78,368.8833333,363.8233333,358.11,351.94,349.42,347.1333333,355.0433333,355.0233333,363.12,369.81,367.93,352,348.92,348.4433333,339.6933333,334.2,325.5933333,322.29,328.2333333,337.3542857,357.52,369.54,367.5526316,376.4909091,376.65,371.8842857,376.05,376.1242857,377.6607692,374.4,371.0509091,363.76,368.64,365.0442857,372.3233333,380.8833333,378.7254545,376.7454545,366.03,369.87,370.1133333,364.6342857,371.2242857,379.8042857,385.87,378.0842857,381.38,377.3833333,390.2742857,397.72,397.23,399.44,398.69,L7
2003-05-12 21:42:48+00:00,341.87,330.44,323.97,321.65,332.54,336.77,326.04,331.42,329.75,327.77,321.95,311.39,323.19,332.89,334.48,342.42,342.69,339.12,338.95,329.73,326.51,314.07,306.43,309.15,313.4,314.59,324.07,333.89,346.09,343.1436842,348.2409091,356.19,345.83,356.39,354.12,358.4753846,346.57,341.9109091,331.09,341.76,345.34,359.79,362.91,362.2754545,353.6854545,344.25,352.11,349.43,334.34,342.59,353.17,348.93,355.47,355.81,358.07,358.91,366.01,,,,L7
2003-05-28 21:42:46+00:00,345.0244444,339.63,331.0528571,332.3544444,338.3544444,331.5344444,331.99,342.1944444,344.2244444,335.45,328.28,330.36,335.7644444,340.8344444,341.0644444,350.19,347,351.7,362.1,344.7,333.1844444,320.8444444,325.48,326.3544444,329.67,319.5644444,327.1828571,326.63,339.58,335.3652632,348.5909091,348.49,352.2428571,348.3566667,353.9328571,355.77,348.0966667,336.7109091,329.46,333.93,,355.3444444,362.7444444,362.2754545,,349.1633333,357.2833333,345.3944444,332.6328571,348.8828571,353.8428571,348.55,357.1428571,354.81,358.4444444,359.7828571,351.52,,,,L7
2003-08-16 21:42:28+00:00,339.7488889,333.37,331.6314286,331.6688889,334.2288889,331.7488889,318.79,333.7188889,334.0088889,331.49,324.85,315.18,332.0688889,334.7388889,336.1188889,340.31,346.48,350.56,338.56,337.13,331.2788889,320.7688889,315.89,313.0688889,317.25,328.7088889,335.2514286,352.55,362.55,360.1510526,367.6109091,367.19,364.5714286,369.8933333,368.8714286,368.8261538,364.2633333,361.4509091,353.68,359.82,356.0014286,359.0288889,363.8388889,365.7554545,362.4854545,355.5366667,360.4366667,344.5688889,335.5514286,341.8514286,351.5314286,356.62,351.6814286,351.66,350.5288889,356.5614286,369.65,367.9766667,369.7166667,366.1166667,L7
2003-09-25 21:31:42+00:00,337.3011111,331.68,327.2914286,323.6311111,326.8011111,323.0911111,335.33,347.7811111,345.6111111,337.03,340.72,328.38,338.9711111,335.3011111,342.8311111,341.43,343.71,342.47,330.87,338.69,331.9311111,324.6711111,320.97,337.6511111,346.8,367.8111111,349.1314286,353.01,351.63,347.4078947,357.9045455,360.44,355.8814286,359.9566667,360.7914286,356.5923077,355.9566667,347.7245455,339.32,347.5,353.2614286,360.7911111,367.5111111,366.8972727,362.6972727,358.7433333,371.6133333,362.4711111,346.9014286,356.1914286,364.9214286,361.97,362.6214286,368.91,371.9911111,376.8014286,379.25,377.7333333,376.4333333,369.2533333,L5
2003-10-19 21:42:20+00:00,335.5611111,335.77,331.6185714,328.0411111,327.6311111,325.6711111,331.84,339.7411111,341.8511111,335.39,332.66,327.64,336.0411111,338.4111111,,,344.91,347.42,334.3,332.03,331.2111111,331.8811111,335.04,336.5311111,342.21,355.0811111,,353.55,360.19,343.1852632,350.0481818,353.44,352.6585714,355.4666667,356.6685714,357.9384615,356.0566667,349.2681818,,351.24,348.3585714,358.6511111,363.2411111,362.9990909,358.6790909,351.4033333,358.1733333,355.1311111,343.0085714,344.8285714,358.4985714,359.31,,359.93,364.3111111,367.9385714,376.49,369.7933333,370.5633333,362.9733333,L7
2003-11-04 21:42:27+00:00,327.4577778,320.99,320.8671429,315.1277778,309.3177778,310.1077778,314.69,325.1477778,,314.43,323.44,315.89,325.2377778,323.2177778,326.6877778,327.92,337.25,332.09,319.44,326.79,328.1577778,,,327.7677778,334.21,338.0077778,333.6271429,341.35,354.03,359.6915789,364.3027273,,353.0071429,,353.8871429,,352.8466667,340.9727273,349.29,360.17,366.0971429,367.4377778,365.0177778,358.8263636,354.5963636,349.3033333,,,,,,,,,,,436.83,370.6933333,379.1133333,,L7
