Year-Month,nzd0240_Average_Value,Value,Smooth_Value
1999-09,362.90689435428817,-0.1,0.7077718494755738
1999-10,364.2906434252651,1.0,0.7845872851259668
2000-01,364.7637802677583,0.7,1.0319387027861178
2000-02,364.726806457344,1.7,1.039226865494095
2000-03,364.3327102414224,1.3,0.9775358432556669
2000-05,363.3484445354283,0.4,0.7345097751348801
2000-06,361.5267467774966,0.2,0.6480743522686624
2000-07,359.6390865282069,-0.2,0.6413981197458704
2000-08,358.1789649665866,0.7,0.7235303024737123
2000-09,357.2277634628406,0.9,0.8509327428752782
2000-11,356.48093243116756,1.8,1.0645798943438145
2000-12,356.56020088252234,0.8,1.0745281196215262
2001-01,358.6776321536809,1.0,1.020050684027663
2001-03,360.8140366281764,0.9,0.6943711074699997
2001-04,362.9962643909066,0.2,0.45984041920029095
2001-05,364.39504359571794,-0.5,0.24833194898204317
2001-06,365.6528045699176,0.3,0.09993073559505446
2001-07,365.70298296718266,-0.2,0.007951071007744129
2001-08,363.53509619607826,-0.4,-0.02178842378615825
2001-09,360.36365862413936,0.2,0.0035339302690917587
2001-10,359.1204747113045,-0.0,0.053101588715874205
2002-01,359.2375161614757,0.4,0.18560327120364387
2002-02,360.7648421552083,1.1,0.17857516805023316
2002-03,363.13671337629205,0.2,0.09572094044025953
2002-04,364.87087352897214,-0.1,-0.036069418820469115
2002-05,365.7553233434934,-0.8,-0.1833884757036599
2002-06,365.25151006572867,0.2,-0.31682445750474114
2002-08,363.4704974084179,-1.0,-0.5462514575223238
2002-09,360.8632716323275,-0.6,-0.5992983254419024
2002-10,358.6948290582453,-0.4,-0.6132346301844251
2002-11,355.9550225879651,-0.5,-0.5966944410478028
2003-01,355.2332742012531,-0.2,-0.4473687982171666
2003-02,356.8302872498564,-0.7,-0.32779880778097953
2003-03,357.9539116946246,0.3,-0.1947661026582162
2003-04,360.6872390780504,-0.1,-0.080024668385924
2003-05,364.7242451793386,-0.3,0.015594390914987752
2003-07,366.14148035458146,0.3,0.12142248578332823
2003-08,364.5671002818721,0.1,0.1198973782366981
2003-10,361.59406244462826,0.0,0.10171998892079187
2003-11,357.1822424919693,-0.3,0.1121261518812646
2003-12,353.8813656422113,1.1,0.13859921070124942
2004-01,354.5222376553488,-1.3,0.1560946491467018
2004-02,356.8851284509053,1.2,0.19965550031474852
2004-03,359.3813945712596,0.4,0.2133188817308482
2004-04,361.97719392399574,-0.9,0.20364344215078697
2004-05,363.45513390705923,1.0,0.18885540022217331
2004-06,367.5444194414936,0.8,0.11820325945819153
2004-07,368.8015584616827,-0.5,-0.008367939141860112
2004-08,368.8189475058405,-0.3,-0.14830085829482
2004-09,365.69294724076195,-0.3,-0.2897651645211605
2004-10,362.48862719347176,-0.1,-0.43041172069792755
2004-12,361.04495185893217,-0.8,-0.681763010737014
2005-01,360.1188096881837,0.3,-0.7559641680185644
2005-02,361.81379101145035,-3.1,-0.78438096646156
2005-03,364.2870778515875,0.3,-0.694262073262156
2005-04,366.03447048189673,-0.6,-0.5575823452126587
2005-05,366.76398739700244,-0.8,-0.3841752595264905
2005-06,367.69154863930464,0.4,-0.18652539684128217
2005-07,366.4348020322444,0.2,-0.0031063840742593524
2005-08,366.346349298016,-0.3,0.1642659891599329
2005-10,365.34590976860113,1.2,0.4653676302673141
2005-11,363.2785668993533,-0.2,0.5674159881347979
2005-12,361.0250806136243,-0.0,0.6649870338888294
2006-01,359.775607346843,1.7,0.7424891463060715
2006-02,359.68372238400025,0.1,0.7427690145451347
2006-03,360.55736302807105,1.8,0.6685177561205009
2006-04,361.45371577898817,1.1,0.48225342513757985
2006-06,363.5125697338726,0.2,-0.054762516182705334
2006-07,362.7982953537419,-0.6,-0.306650148213024
2006-08,363.6574131734368,-1.0,-0.49550939985502124
2006-09,368.56868646756783,-0.6,-0.5967328565537
2006-10,369.6992287511332,-1.3,-0.6172437662631225
2006-11,368.9604484272894,0.1,-0.5641695734027465
2006-12,365.3258196036586,-0.3,-0.4873099870005835
2007-01,360.6964394131248,-0.8,-0.3949541177469731
2007-02,361.2710869858869,-0.1,-0.28368420214471973
2007-04,363.60278752463137,-0.1,-0.08051238583470963
2007-06,364.8148606240007,0.5,0.12001795241784949
2007-07,364.5095661611583,-0.3,0.24219085309973812
2007-08,363.4781549639357,0.4,0.40898575020041655
2007-10,361.9867117689987,0.7,0.8541316151147199
2007-12,360.1718187778313,1.7,1.2946530455838818
2008-01,358.39641134334056,1.8,1.4007145399684418
2008-02,360.57179164356876,2.6,1.3843419026004073
2008-04,361.9403745837284,0.7,1.0465244597951875
2008-06,362.36382076751573,0.6,0.8033720401193886
2008-07,361.23769050117266,0.3,0.8160464676194671
2008-08,358.009729917078,1.0,0.9048447676667374
2008-09,353.3804298840549,1.2,1.0243039336495192
2008-11,351.9282352687197,1.3,1.2081226492051247
2008-12,351.960040315954,1.4,1.2257308378290002
2009-01,353.0446479947524,1.1,1.175258500768263
2009-02,356.2516480835516,1.9,1.0551232345782764
2009-03,360.8610831690405,0.4,0.859038979516386
2009-04,363.58615128918507,0.8,0.6335244736787964
2009-05,364.51750465760296,-0.1,0.39640851894193646
2009-06,364.9004794975733,0.1,0.17592463757731147
2009-08,363.3368771719301,-0.2,-0.23106023553327942
