dates,nzd0315-0100,nzd0315-0101,nzd0315-0102,nzd0315-0103,nzd0315-0104,nzd0315-0105,nzd0315-0106,nzd0315-0107,nzd0315-0108,nzd0315-0109,nzd0315-0110,nzd0315-0111,nzd0315-0112,nzd0315-0113,nzd0315-0114,nzd0315-0115,nzd0315-0116,nzd0315-0117,nzd0315-0118,nzd0315-0119,nzd0315-0120,nzd0315-0121,nzd0315-0122,nzd0315-0123,nzd0315-0124,nzd0315-0125,nzd0315-0126,nzd0315-0127,nzd0315-0128,nzd0315-0129,nzd0315-0130,nzd0315-0131,nzd0315-0132,nzd0315-0133,nzd0315-0134,nzd0315-0135,nzd0315-0136,nzd0315-0137,nzd0315-0138,nzd0315-0139,nzd0315-0140,nzd0315-0141,nzd0315-0142,nzd0315-0143,nzd0315-0144,nzd0315-0145,nzd0315-0146,nzd0315-0147,nzd0315-0148,nzd0315-0149,nzd0315-0150,nzd0315-0151,nzd0315-0152,nzd0315-0153,nzd0315-0154,nzd0315-0155,nzd0315-0156,nzd0315-0157,nzd0315-0158,nzd0315-0159,nzd0315-0160,nzd0315-0161,nzd0315-0162,nzd0315-0163,nzd0315-0164,nzd0315-0165,nzd0315-0166,nzd0315-0167,nzd0315-0168,nzd0315-0169,nzd0315-0170,nzd0315-0171,nzd0315-0172,nzd0315-0173,nzd0315-0174,nzd0315-0175,nzd0315-0176,nzd0315-0177,nzd0315-0178,nzd0315-0179,nzd0315-0180,nzd0315-0181,nzd0315-0182,nzd0315-0183,nzd0315-0184,nzd0315-0185,nzd0315-0186,nzd0315-0187,nzd0315-0188,nzd0315-0189,nzd0315-0190,nzd0315-0191,nzd0315-0192,nzd0315-0193,nzd0315-0194,nzd0315-0195,nzd0315-0196,nzd0315-0197,nzd0315-0198,nzd0315-0199,nzd0315-0200,nzd0315-0201,nzd0315-0202,nzd0315-0203,nzd0315-0204,nzd0315-0205,nzd0315-0206,nzd0315-0207,nzd0315-0208,nzd0315-0209,nzd0315-0210,nzd0315-0211,nzd0315-0212,nzd0315-0213,nzd0315-0214,nzd0315-0215,nzd0315-0216,nzd0315-0217,nzd0315-0218,nzd0315-0219,nzd0315-0220,nzd0315-0221,nzd0315-0222,nzd0315-0223,nzd0315-0224,nzd0315-0225,nzd0315-0226,nzd0315-0227,nzd0315-0228,nzd0315-0229,nzd0315-0230,satname
2000-11-25 21:57:10+00:00,355.42,355.0414286,348.7266667,348.69,351.69,354.75,349.99,350,364.4,345.25,345.94,343.88,331.7414286,340.07,336.2414286,333.9014286,345.49,347.85,358.21,354.8714286,354.9,360.16,360.67,354.48,361.26,350.8114286,353.26,340.4866667,343.4014286,338.71,339.42,336.56,343.11,347.94,349.03,336.18,333.58,326.59,334.63,331.56,342.5914286,356.79,355.84,364.4,362.55,370.53,367.89,368.32,365.16,366.86,370.8314286,369.6414286,359.42,363.83,366.98,356.11,357.16,353.26,352.49,341.4,342.9,336.26,333.03,338.66,349.39,351.34,348.81,338.1,353.23,348.77,345.5614286,352.42,345.66,346.4266667,342.8590909,351.2566667,353.5466667,356.1866667,360.0166667,357.8790909,371.22,366.6214286,370.9914286,367.1714286,375.73,367.49,366.6,365.1,362.63,364.4,353.04,362.56,375.5,357.99,372.67,373.49,357.16,373.94,,365.94,365.67,371.5,368.06,351.1414286,360.48,355.4814286,342.98,348.56,350.62,347.9914286,352.91,344.1314286,355.82,365.03,361.3,359.88,344.34,357.23,353.2,354.18,353.27,350.37,352.99,345.24,344.42,342.68,335.77,346.81,332.86,355.17,333.48,L7
2000-12-04 21:50:58+00:00,380.32,373.0014286,372.8711111,375.48,359.1966667,350.45,348.78,352.64,356.03,364.1566667,364.4666667,359.6266667,352.4714286,343.8266667,341.8914286,353.4614286,359.3966667,363.8566667,367.09,379.6514286,368.8566667,354.92,353.81,362.1966667,365.5166667,364.6514286,367.1266667,366.3911111,352.7914286,339.9666667,346.8166667,355.1966667,352.23,347.88,347.32,347.43,333.6,336.8566667,347.0566667,355.81,356.8314286,359.66,372.4166667,374.87,382.55,382.09,369.96,370.64,372.7666667,378.6666667,386.8514286,395.7814286,394.9,385.3666667,399.0866667,390.9566667,373.6966667,358.89,361.08,372.07,368.94,350.19,336.13,339.98,349.88,367,359.81,359.5966667,352.21,362.61,370.8314286,370.7866667,373.14,371.4811111,377.5872727,386.7811111,391.4511111,388.4011111,389.3111111,395.3072727,400.1066667,402.5614286,388.4214286,384.9914286,380.6866667,380.3666667,386.6966667,379.07,361.57,351.28,360.74,359.22,346.5833333,352.18,347.0533333,344.7733333,343.15,334.2733333,333.7733333,354.94,370.39,374.39,372.77,373.2014286,370.4466667,368.4914286,371.18,363.93,364.0066667,374.8714286,374.3066667,386.0914286,378.41,350.82,351.31,340.12,345.22,348.48,351.32,356.87,354.34,349.6,337.17,331.62,333.03,345.82,357.34,348.62,341.59,317.5633333,329.89,L7
2001-02-06 21:51:02+00:00,357.45,358.83,348.5822222,344.91,357.3933333,358.56,362.19,357.74,372.33,353.7333333,357.3433333,353.9933333,344.63,350.3833333,345.7,350.43,348.2033333,355.9533333,365.03,353.99,357.3933333,366.81,369.28,363.1233333,364.6933333,356.7,358.0033333,344.0922222,349.75,351.0233333,342.6033333,342.2533333,344.25,352.45,351.49,341.98,341.83,336.9333333,343.3633333,346.21,350.4,364.94,362.0833333,369.92,374.83,375.4,372.22,378.33,373.1233333,384.1533333,379.56,380.64,371.01,378.8733333,374.4133333,372.6733333,367.2533333,360.27,357.4,348.37,349.41,348.18,350.18,351.37,353.44,356.81,353.04,352.8733333,359.22,366.24,353.32,362.0333333,354.08,355.2922222,354.0854545,361.2422222,360.8722222,361.8122222,365.3622222,359.9654545,376.3033333,373.59,382.1,381.56,383.5733333,375.5533333,372.8933333,371.88,372.09,375.87,365.59,370.9,384.8966667,370.21,379.3566667,381.2966667,363.2,,,369.41,370.7,371.59,371.02,365.68,365.1133333,361.72,352.87,355.05,364.5133333,355.84,360.5933333,347.35,357.58,365.98,364.83,368.8,351.93,360.97,353.83,355.08,355.49,354.01,353.4,353.75,349.47,347.86,334.82,349.88,345,366.7866667,345,L7
2001-02-13 21:57:15+00:00,362.65,364.8085714,360.4522222,356.29,347.6833333,342.1,345.42,347.98,346.92,353.9933333,350.1133333,344.3233333,338.8385714,339.7033333,357.6985714,355.0385714,352.7633333,347.5633333,342.88,350.4385714,357.5633333,356.56,356.12,359.2833333,358.4333333,361.8385714,353.3633333,353.3822222,348.2385714,341.1633333,331.2433333,324.3533333,322.68,318.97,317.81,326.85,327.2,329.8633333,344.4433333,349.76,351.1185714,346.93,353.4233333,357.39,360.82,360.23,365.31,368.21,380.8433333,382.5433333,384.5085714,386.5385714,390.8,375.0233333,368.9333333,369.3433333,355.9833333,351.56,350.25,345.27,340.82,341.4,344.18,338.83,334.78,338.32,342.72,343.2833333,348.67,353.31,364.8885714,367.2633333,368.36,373.9722222,382.6,379.9222222,378.2622222,377.1222222,381.2222222,382.06,372.8033333,386.5485714,390.0985714,390.5185714,388.7233333,379.1133333,374.6733333,366.14,365.75,358.06,354.37,347.03,,339.94,,,343.82,337.7866667,335.2366667,342.23,347.3,347.34,357.13,365.4085714,362.4033333,369.5085714,370.54,373.52,364.3933333,369.7285714,368.5433333,362.3785714,350.36,350.52,345.87,337.51,338.35,332.48,331.72,328.24,326.85,324.68,333.75,336.71,323.95,317.11,322.74,324.46,345.65,327.6766667,327.47,L7
2001-03-10 21:50:58+00:00,374.76,371.1142857,357.32,362.2,363.43,375.44,370.04,375.4,378.87,367.51,364.11,356.62,356.1942857,355.55,361.0842857,359.5942857,359.36,363.84,364.94,362.4142857,369.29,376.08,374.86,373.24,369.52,359.8742857,367.56,351.36,360.4442857,356.65,355.26,350.81,354.35,363.72,357.31,351.37,348.5,344.37,348.04,353.75,354.7642857,374.43,367.55,379.8,383.54,379.82,387.92,387.45,382.74,390.54,384.8142857,390.5742857,378.57,387.44,380.05,379.73,370.64,376.82,364.89,364.15,355.33,361.84,360.78,365.73,362.4,370.37,363.78,357.27,370.95,371.33,368.1342857,370.84,370.27,361.64,368.5436364,367.79,373.89,368.82,375.1,367.2736364,385.14,390.7942857,388.7742857,395.3742857,389.38,390.97,382.58,384.14,379.32,388.54,371.65,381.05,388.09,376.56,390.53,390.35,376.28,,,378.32,386.46,381.36,378.37,371.3942857,380.89,368.6942857,364.91,361.59,368.83,367.5242857,365.37,364.3642857,366.15,378.16,372.04,373.47,361.73,367.04,368.24,362.14,363.68,363.21,362.77,364.96,363,359.37,354.26,359.96,351.97,,355.55,L7
2001-03-17 21:57:04+00:00,381.06,385.5142857,380.7055556,373.64,361.1433333,364.48,367.99,367.83,367.88,369.9833333,371.1533333,364.6933333,357.7142857,363.0333333,374.4242857,374.5142857,365.5633333,360.7033333,356.39,364.8642857,374.0433333,370.54,370.28,373.4733333,372.1533333,378.0842857,372.8233333,374.0055556,369.9442857,359.1633333,352.1333333,347.9133333,342.69,346.4,344.34,341.25,348.45,360.6633333,368.0033333,369.31,364.6542857,365.05,375.2033333,374.14,371.48,379.09,395,390.97,403.7333333,408.1533333,413.0842857,415.6242857,412.44,400.7533333,398.6133333,393.1233333,384.0533333,372.11,377.33,376.01,376.83,373.43,365.32,361.21,362.13,358.85,365.64,369.5333333,375.47,384.19,391.8542857,391.0333333,389.49,393.5955556,387.8972727,393.6355556,388.9755556,394.0955556,404.5055556,397.2472727,395.7533333,400.6742857,409.8442857,416.2942857,407.0233333,404.7933333,392.2433333,386.05,382.37,378.13,375.96,369.87,362.2366667,367.68,359.6366667,355.4566667,360.6,361.1866667,356.4766667,363.06,364.11,366.72,377.66,380.5642857,385.6633333,388.1342857,388.67,390.52,387.2433333,385.2442857,380.9633333,374.7142857,367.63,358.73,362.95,355.1,357.93,350.34,355.55,357.83,359.13,352.14,351.32,357.4,354.06,346.49,348.12,355.03,364.79,350.5366667,350.27,L7
2001-04-27 21:50:43+00:00,371.11,361.6857143,360.4722222,360.3,362.6133333,361.03,357.71,354.62,353,354.2233333,353.2533333,355.9333333,356.4957143,355.3633333,358.4057143,355.8857143,352.3133333,356.2933333,354.31,358.1857143,360.1233333,365.82,365.97,364.6633333,366.7933333,359.5057143,358.2533333,354.2522222,350.3957143,350.3933333,345.7033333,348.1233333,338.49,341.89,340.84,343.67,339.37,344.6733333,349.4633333,351.87,357.1257143,360.17,363.2933333,363.57,371.92,379.67,383.9,384.85,393.6433333,387.0133333,389.3357143,391.7657143,392.83,383.5533333,386.8733333,378.8133333,370.6033333,370.64,355.18,350.54,346.71,348.34,353.31,353.19,364.23,363.07,371.48,365.1033333,363.76,361.4,367.4957143,370.7533333,376.14,371.7422222,369.8318182,370.4222222,376.1222222,380.9222222,378.2022222,377.7118182,384.3133333,387.4557143,390.3457143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-05-20 21:56:40+00:00,322.9,,,,,,319.49,,321.01,,,307.34,304.8642857,,,,,,316.69,,,,,,324.25,,,,,,306.18,,303.55,309.72,309.3,,298.03,292.39,302.5,299.02,310.1042857,321.23,,326.38,,,,,,,334.1242857,335.6842857,329.73,,324.71,,,,,299.84,,292.54,278.45,,,,,,,307.61,,313.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.78,,,L7
2001-05-29 21:50:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.0742857,,328.9242857,,,,,,,,,,,,,,,,,,,,L7
2001-06-14 21:50:14+00:00,330.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.1357143,349.7557143,362.41,,337.7233333,,,,,326.62,,325.47,316.11,,,,,,,329.39,,348.5233333,,355.4988889,363.3454545,,,,,357.4554545,,,,,,,,358.71,345.48,344.32,328.84,322.23,,318.38,,318.3966667,311.52,,307.0066667,315.49,318.22,335.8,325.98,340.0757143,341.5233333,334.6657143,337.01,346.87,333.5633333,354.0757143,340.5933333,350.0957143,332.75,335.8,323.39,315.81,321.26,322.26,332.63,325.66,325.17,321.21,325.2,326,320.6,316.71,325,311.07,325.1,,,L7
