Year-Month,monthly_anomaly,Value,Smooth_Value
2000-05,-8.054925193420488,0.4,0.7052965307330857
2000-08,-5.1955357533363085,0.7,0.6953137205770475
2000-11,2.1184223466945147,1.8,1.0866514544031807
2001-04,-0.04946980168075377,0.2,0.4533422017162376
2001-05,3.133372376901684,-0.5,0.22925382366260705
2001-07,3.251030973744692,-0.2,-0.015433783977974048
2001-09,5.153451475349607,0.2,-0.006870112245616438
2001-10,6.030331385673669,-0.0,0.0508568996238251
2002-02,0.6104452230082825,1.1,0.20071278544683566
2002-09,-8.436127647567197,-0.6,-0.6105062045001022
2002-11,-3.573523564222859,-0.5,-0.6064813094131212
2003-01,2.456922697703922,-0.2,-0.45249899873151095
2003-02,4.9293929024702345,-0.7,-0.3279610222680055
2003-05,5.686798439800439,-0.3,0.026697666257798364
2003-08,-6.99652019588963,0.1,0.12182375246661391
2003-09,-4.690265318894494,-0.1,0.1017104665741795
2003-10,-4.209813979999003,0.0,0.09269217135815833
2003-11,-1.6106027315782308,-0.3,0.10232425246318513
2003-12,1.4072328554668798,1.1,0.13114373855990422
2004-02,3.344233372417178,1.2,0.20000089995091794
2004-03,3.7672467069486912,0.4,0.217173930956258
2004-05,4.831301674817946,1.0,0.20223054161656162
2004-06,3.1179186383232183,0.8,0.13258027181395865
2004-07,0.6592331057857389,-0.5,0.0008209385774929912
2004-08,-0.05778829856943383,-0.3,-0.14290392219614906
2004-09,-1.7057091738240804,-0.3,-0.28637134627759137
2004-11,-3.5357225346530288,-0.7,-0.5722532111509072
2005-02,0.46126800611413127,-3.1,-0.806632513415865
2005-05,1.337496339205664,-0.8,-0.3863888771202395
2005-06,2.7735776106445087,0.4,-0.1825643346238268
2005-07,1.5818067273177807,0.2,0.0016709763127542854
2005-08,1.426360198759557,-0.3,0.16676715550807633
2005-09,1.473388951936368,0.4,0.32819114688032336
2005-10,0.40959920273882683,1.2,0.46606776703434305
2005-11,0.4432697710015987,-0.2,0.565958970983785
2006-01,2.6330364861007745,1.7,0.758321044061758
2006-02,2.59303394761642,0.1,0.7664115126886586
2006-03,1.2880661480187479,1.8,0.6970526872227794
2006-04,0.9730288706477052,1.1,0.5035695520823653
2006-05,0.3411661964512621,-0.5,0.22279876102247764
2006-06,-0.8490396983845032,0.2,-0.06326321198930013
2006-07,-2.5506921909325606,-0.6,-0.32734792072369495
2006-09,-2.350252053023812,-0.6,-0.6214222915363693
2006-10,-2.4679412796951827,-1.3,-0.6344703027433165
2006-11,-1.777569305879056,0.1,-0.5693913700794899
2006-12,-1.1676530466481827,-0.3,-0.48457116178780735
2007-01,-0.526522160925094,-0.8,-0.38771115647910515
2007-03,-0.9578175550545794,0.2,-0.16399430184143654
2007-05,-2.0449654891661537,-0.1,0.013244605348805238
2007-06,-4.988983446295802,0.5,0.11133041893670033
2007-09,-4.1638893835731725,0.2,0.6001513743682013
2007-10,-2.430853735945322,0.7,0.8510776163803396
2008-01,3.5968494870903704,1.8,1.439964863408059
2008-02,1.6447362918654815,2.6,1.4192191009040003
2008-07,-10.490070553713734,0.3,0.7832625283428559
2008-09,-4.004217531090951,1.2,1.0202046662842792
2008-11,-2.057079750916807,1.3,1.2252894710550624
2009-01,0.2101026554500132,1.1,1.197336671520412
2009-03,1.279031093562864,0.4,0.8689652381344863
2009-04,1.357850504678378,0.8,0.6364591312785919
2009-05,0.7246261983423825,-0.1,0.39510483651138695
2009-07,-4.304699331798741,0.2,-0.02751724413396711
2009-09,-3.609917652424851,0.3,-0.41884814715838053
2009-12,-7.71441687699941,-0.7,-0.6989706470141258
2010-02,2.4273240777779086,-1.5,-0.3410227813426449
2010-03,3.7944867095327477,0.7,0.02933595641607628
2010-04,3.31189732383167,1.2,0.41818033978076175
2010-05,0.5119865762170304,0.9,0.7725242339369671
2010-06,0.8535936524163111,0.4,1.0985784069402929
2010-07,-0.11595500868819479,1.8,1.4122056871946334
2010-08,-1.1981128301057562,1.8,1.676374763691785
2010-09,-0.47532516502198896,2.2,1.8834168797781592
2010-10,0.8975170135604452,1.7,2.035023789258517
2010-11,1.7289306207143087,1.3,2.1568579148420213
2011-01,1.7869746970848996,2.3,2.2475111925420204
2011-02,3.259848697427512,2.7,2.1364395857394176
2011-03,0.7809795831506019,2.5,1.904666524391727
2011-04,-1.3571851327180071,1.9,1.5835296174929798
2011-05,-2.2897050406457096,0.4,1.2494432349886826
2011-07,-3.7197547438071035,1.0,0.8796109087076333
2011-08,-5.110722089034192,0.4,0.8551994327592396
2011-09,-4.955067393787287,1.0,0.9139400419804333
2011-10,-3.9045268025064397,0.8,1.0057570705426957
2011-11,-4.394665758053185,1.1,1.0870910394507427
2012-08,6.3370448638543335,-0.2,0.01320432503503938
2012-09,4.689252259490788,0.2,0.008156842801592155
2012-12,4.166489179356274,-0.6,0.05798560791638447
2013-04,7.38394923018515,0.2,0.5731013050027585
2013-05,5.693368823048897,0.8,0.6463914528190591
2013-07,5.837274948065412,0.8,0.6135490120842552
2013-08,3.274278849661518,0.2,0.5354053189964578
2013-09,1.6336860167349136,0.3,0.4760472284974868
2014-01,-2.5721624141888433,1.4,0.6013805247048787
2014-02,-0.6473394043909436,0.1,0.6084854039016595
2014-03,-0.13263379432775815,0.9,0.5770939345100171
2014-05,2.691488112830507,0.5,0.3087243777634481
2014-08,2.547648660471575,-0.7,-0.3607959028795338
2014-09,4.677668435083553,-0.7,-0.5058129678924674
2014-10,2.3346946497760017,-0.6,-0.5712395257477489
2014-11,3.534396964070522,-0.9,-0.5581245655021254
