Year-Month,nzd0125_Average_Value,Value,Smooth_Value
2010-06,364.16610825180726,0.4,1.3492499615956572
2010-07,361.2525136607627,1.8,1.4566032356250354
2010-08,357.8840834887115,1.8,1.6119816610840618
2010-09,357.0457023573592,2.2,1.777519413146444
2010-10,362.1908761536388,1.7,1.927101813168135
2010-11,369.4862293354466,1.3,2.061019219183435
2010-12,371.16942563660473,2.9,2.165368125903635
2011-01,370.0094147240479,2.3,2.178681326841063
2011-02,366.4075411854484,2.7,2.0854061076390686
2011-03,363.1881995438614,2.5,1.877572171013436
2011-04,361.0166572281121,1.9,1.5856213379525053
2011-05,359.9378465881518,0.4,1.278897168756279
2011-07,360.3610014542994,1.0,0.9221666556225542
2011-08,361.26861772995744,0.4,0.8873831258150408
2011-09,361.28146923561565,1.0,0.9280675452030598
2012-04,358.8565129972575,-0.3,0.37179004844394864
2012-05,357.5152371051051,0.0,0.22462532684692582
2012-06,359.029219545476,0.4,0.12426133628276635
2012-07,362.0730143341276,-0.0,0.054686794075880577
2012-08,362.92783469694496,-0.2,0.01712408403300626
2012-10,362.9590614504407,0.3,0.01568174189520928
2012-11,362.1082031737774,0.3,0.032184413566955006
2012-12,361.91819476464104,-0.6,0.07280367131966108
2013-01,363.39302965259566,-0.1,0.16819598027867821
2013-02,366.3468972457417,-0.2,0.3069675761118788
2013-03,370.7091870047975,1.5,0.4609624457197173
2013-04,373.8603921879527,0.2,0.570339102495656
2013-05,374.9399365716154,0.8,0.640195906975675
2013-06,372.9842741386136,1.2,0.6524850257897755
2013-07,368.8882439625269,0.8,0.5991463813819793
2013-08,364.8139236347309,0.2,0.5063395820844474
2013-09,363.1789118611991,0.3,0.4127775873929674
2013-10,363.74862668668726,-0.1,0.3380271329230477
2013-11,367.80169113062226,0.7,0.2946063550781375
2013-12,373.4547363245527,0.1,0.2676566944539951
