Year-Month,Value,Smooth_Value
1999-09,-0.1,0.6274096506596983
1999-10,1.0,0.7428852870730931
1999-11,1.0,0.8930132653821374
1999-12,1.4,1.0255385925054108
2000-01,0.7,1.1000936903190317
2000-02,1.7,1.1179178037540736
2000-03,1.3,1.0357953232617174
2000-04,1.2,0.8751864388760255
2000-05,0.4,0.6869074158242008
2000-06,0.2,0.55786491501389
2000-07,-0.2,0.5430869955944934
2000-08,0.7,0.6578389483805368
2000-09,0.9,0.834820842453822
2000-10,1.1,1.0114173081872042
2000-11,1.8,1.1322551045697804
2000-12,0.8,1.15180351190318
2001-01,1.0,1.0987256877590568
2001-02,1.7,0.9625955106087107
2001-03,0.9,0.7220173380613266
2001-04,0.2,0.43752935988067443
2001-05,-0.5,0.18944561715704455
2001-06,0.3,0.03168799988287435
2001-07,-0.2,-0.05842667052240362
2001-08,-0.4,-0.07376912818189862
2001-09,0.2,-0.022940477160674648
2001-10,-0.0,0.049210303829748385
2001-11,0.7,0.12260540020681404
2001-12,-0.8,0.1716991858513284
2002-01,0.4,0.23510099017667166
2002-02,1.1,0.24345356639052262
2002-03,0.2,0.1457217799031526
2002-04,-0.1,-0.0139576779185598
2002-05,-0.8,-0.1854172023636419
2002-06,0.2,-0.32804944673016956
2002-07,-0.5,-0.46953404183136815
2002-08,-1.0,-0.5788784577326681
2002-09,-0.6,-0.6284752709626812
2002-10,-0.4,-0.6375083405241669
2002-11,-0.5,-0.6219976064240297
2002-12,-1.1,-0.5715731930553796
2003-01,-0.2,-0.4623099352086559
2003-02,-0.7,-0.32899675733481193
2003-03,0.3,-0.17727703552828197
2003-04,-0.1,-0.05401672840185664
2003-05,-0.3,0.046948987157040024
2003-06,0.6,0.12667568186118844
2003-07,0.3,0.14766903896147793
2003-08,0.1,0.12502633261310825
2003-09,-0.1,0.09077049930889343
2003-10,0.0,0.07414377191796874
2003-11,-0.3,0.08319166116403671
2003-12,1.1,0.11772148089102612
2004-01,-1.3,0.13496369370241668
2004-02,1.2,0.2012908198804635
2004-03,0.4,0.22363496929604165
2004-04,-0.9,0.21989593849997568
2004-05,1.0,0.2275696385657509
2004-06,0.8,0.15971909851130045
2004-07,-0.5,0.015232943069474258
2004-08,-0.3,-0.1358578806392446
2004-09,-0.3,-0.28077053027987076
2004-10,-0.1,-0.42496017677972336
2004-11,-0.7,-0.5760185988128048
2004-12,-0.8,-0.7054308887442565
2005-01,0.3,-0.7984578501822438
2005-02,-3.1,-0.8508679657633463
2005-03,0.3,-0.736378845881673
2005-04,-0.6,-0.57861166029096
2005-05,-0.8,-0.38603437364698157
2005-06,0.4,-0.16949143279540327
2005-07,0.2,0.014176534712217137
2005-08,-0.3,0.1714057271904787
2005-09,0.4,0.3292793946526224
2005-10,1.2,0.4625023729796142
2005-11,-0.2,0.5536373430910175
2005-12,-0.0,0.6671911666864389
2006-01,1.7,0.7839332228998156
2006-02,0.1,0.8105005390110365
2006-03,1.8,0.7553153397555679
2006-04,1.1,0.5478553455343137
2006-05,-0.5,0.23367435010867332
2006-06,0.2,-0.08032444670821337
2006-07,-0.6,-0.36875721733750183
2006-08,-1.0,-0.5750929734549918
2006-09,-0.6,-0.6684943692545365
2006-10,-1.3,-0.6653359507683259
2006-11,0.1,-0.5743817785558214
2006-12,-0.3,-0.47491414086889416
2007-01,-0.8,-0.37128401723098925
2007-02,-0.1,-0.2484074826245651
2007-03,0.2,-0.13883572122863527
2007-04,-0.1,-0.05863019693059604
2007-05,-0.1,0.013796039852005237
2007-06,0.5,0.09543329391613106
2007-07,-0.3,0.1906278656307441
2007-08,0.4,0.34867791159634787
2007-09,0.2,0.5643673811211403
2007-10,0.7,0.838182677780393
2007-11,0.9,1.130124940580361
2007-12,1.7,1.3848416776628119
2008-01,1.8,1.5214109593272505
2008-02,2.6,1.4939284472439804
2008-03,1.4,1.2874441409358335
2008-04,0.7,1.0099048791207532
2008-05,-0.1,0.78176370707937
2008-06,0.6,0.6890397946344514
2008-07,0.3,0.719778566377724
2008-08,1.0,0.8521321363859761
2008-09,1.2,1.0176105558051372
2008-10,1.3,1.164153638404916
2008-11,1.3,1.2599666917544534
2008-12,1.4,1.2883490636001202
2009-01,1.1,1.2370482470489026
2009-02,1.9,1.1062173948077751
2009-03,0.4,0.880782076578278
2009-04,0.8,0.6338659293055329
2009-05,-0.1,0.38517235920373993
2009-06,0.1,0.1728641136753752
2009-07,0.2,-0.018804099788612832
2009-08,-0.2,-0.21367358632787226
2009-09,0.3,-0.4112740844388726
2009-10,-1.2,-0.6096160452483187
2009-11,-0.6,-0.7276794660563756
2009-12,-0.7,-0.7500425613578372
2010-01,-1.1,-0.6470969383079035
2010-02,-1.5,-0.3836739194664558
2010-03,0.7,0.02507261019638915
2010-04,1.2,0.4399525345401233
2010-05,0.9,0.796767669624637
2010-06,0.4,1.1157695498942535
2010-07,1.8,1.4286799687238907
2010-08,1.8,1.687690769500217
2010-09,2.2,1.8862515768628014
2010-10,1.7,2.030290818840078
2010-11,1.3,2.160597859364613
2010-12,2.9,2.2812630824978544
2011-01,2.3,2.3007548879274036
2011-02,2.7,2.1962902217299893
2011-03,2.5,1.945002153545963
2011-04,1.9,1.5799915061567869
2011-05,0.4,1.196025529727705
2011-06,0.2,0.9234279737398758
2011-07,1.0,0.8040753065935997
2011-08,0.4,0.7994631107180804
2011-09,1.0,0.8928563789210108
2011-10,0.8,1.0231353139302968
2011-11,1.1,1.141084965260399
2011-12,2.5,1.1726975697668562
2012-01,1.1,1.0394003681651625
2012-02,0.5,0.810098648974494
