Year-Month,SOI,coastline_change
2010/01,-1.7880910037621631,1.3692942260186158
2010/02,-2.2043294527465656,1.575157622626945
2010/03,0.08498201666764875,1.2198445168582996
2010/04,0.6052800778981521,1.194693377779985
2010/05,0.29310124115985015,0.8837437209145228
2010/06,-0.22719682007065314,-0.23350866503160392
2010/07,1.229637751374756,-1.0064506020170791
2010/08,1.229637751374756,-0.5391889255542828
2010/09,1.6458762003591587,0.11560683669719703
2010/10,1.1255781391286552,0.6849915540529025
2010/11,0.7093396901442528,0.933407327490364
2010/12,2.374293486081863,0.5994056501018922
2011/01,1.749935812605259,1.3925184283244232
2011/02,2.166174261589662,1.4058562778598782
2011/03,1.9580550370974605,1.5589991225175106
2011/04,1.3336973636208567,1.0892935351756057
2011/05,-0.22719682007065314,0.6916641920998866
2011/06,-0.43531604456285444,1.0049707153330096
2011/07,0.39716085340595075,0.5352253856878724
2011/08,-0.22719682007065314,0.18807235909611128
2011/09,0.39716085340595075,0.3059108479509184
2011/10,0.1890416289137495,0.20321474370553144
2011/11,0.5012204656520515,0.4513147470437162
2011/12,1.9580550370974605,0.6738826127717131
2012/01,0.5012204656520515,0.5103763955517494
2012/02,-0.12313720782455251,0.3839092499650179
2012/03,0.08498201666764875,-0.3658718569262306
2012/04,-0.9556141057933578,-0.6512364384097333
2012/05,-0.6434352690550558,-1.3251744733112818
2012/06,-0.22719682007065314,-1.3139364772636875
2012/07,-0.6434352690550558,-1.8053136682189648
2012/08,-0.8515544935472571,-1.6896608060631018
2012/09,-0.43531604456285444,-1.7621313088319386
2012/10,-0.33125643231675383,-1.9190475083467724
2012/11,-0.33125643231675383,-1.9733472528923417
2012/12,-1.2677929425316596,-1.4177477795312439
2013/01,-0.7474948813011564,-2.1624965541147305
2013/02,-0.8515544935472571,-1.7839177592529765
2013/03,0.917458914636454,-1.8781968017548063
2013/04,-0.43531604456285444,-0.9257935394664331
2013/05,0.1890416289137495,-0.32069195281672835
2013/06,0.6052800778981521,-0.0969100281031736
2013/07,0.1890416289137495,0.0039017443864537054
2013/08,-0.43531604456285444,0.044485215048343074
2013/09,-0.33125643231675383,0.0791794015534012
2013/10,-0.7474948813011564,0.17548120713294668
2013/11,0.08498201666764875,0.1699257745726851
2013/12,-0.5393756568089552,0.3494599258998534
2014/01,0.8133993023903533,0.6983899536176871
2014/02,-0.5393756568089552,0.8213735751196951
2014/03,0.29310124115985015,0.7455065556893314
2014/04,0.1890416289137495,0.5385737670559525
2014/05,-0.12313720782455251,0.6326728876379958
2014/06,-0.43531604456285444,0.45149280651576346
2014/07,-0.8515544935472571,0.19209007002126824
2014/08,-1.3718525547777602,0.11847586923853848
2014/09,-1.3718525547777602,-0.23166840333412173
2014/10,-1.2677929425316596,0.05515424352738107
2014/11,-1.579971779269962,-0.24365797760088337
2014/12,-1.2677929425316596,-0.4015676637988479
