Year-Month,nzd0075_Average_Value,month,climatology,monthly_anomaly
1999-08,-3.664674158376536,8,0.5933306399037883,-4.258004798280324
1999-09,-2.833144590653529,9,-1.0264507096321076,-1.8066938810214215
1999-11,-3.1752484737677826,11,-2.1696977481105906,-1.005550725657192
2000-01,-4.95212866411274,1,0.04630563481672233,-4.998434298929462
2000-05,-4.926318143754136,5,-0.46845701998871975,-4.457861123765416
2000-07,-4.786055341875301,7,0.7309201405502498,-5.516975482425551
2000-08,-4.9339826296326725,8,0.5933306399037883,-5.527313269536461
2000-09,-5.224543132892303,9,-1.0264507096321076,-4.198092423260196
2000-10,-5.189874483902574,10,2.55450098129418,-7.744375465196754
2001-01,-5.295896675566092,1,0.04630563481672233,-5.342202310382814
2001-06,-6.070820204142515,6,-1.468502094761024,-4.602318109381491
2001-08,-6.009828012547387,8,0.5933306399037883,-6.603158652451175
2001-12,-4.609616349495339,12,-0.47734686051006936,-4.13226948898527
2002-01,-0.6358863703288802,1,0.04630563481672233,-0.6821920051456025
2002-02,1.9782101500622016,2,0.10687191041123681,1.8713382396509648
2002-03,3.8088748094839486,3,0.25137358065073195,3.5575012288332166
2002-06,5.6351333608928424,6,-1.468502094761024,7.103635455653866
2002-07,1.8118827295719164,7,0.7309201405502498,1.0809625890216665
2002-08,-3.4440486308953604,8,0.5933306399037883,-4.037379270799149
2003-02,-2.1928724161504953,2,0.10687191041123681,-2.2997443265617323
2003-07,0.7135295766999645,7,0.7309201405502498,-0.017390563850285257
2003-08,3.3799021630542683,8,0.5933306399037883,2.7865715231504797
2003-09,4.206295290375518,9,-1.0264507096321076,5.232746000007626
2003-11,1.2730310857923284,11,-2.1696977481105906,3.442728833902919
2003-12,-3.4866086255800086,12,-0.47734686051006936,-3.0092617650699394
2004-05,-7.092523738244136,5,-0.46845701998871975,-6.624066718255416
2004-06,-5.560375120303787,6,-1.468502094761024,-4.091873025542763
2004-07,3.918417380523454,7,0.7309201405502498,3.187497239973204
2004-08,3.328634087646505,8,0.5933306399037883,2.7353034477427167
2004-09,2.9760121171359475,9,-1.0264507096321076,4.002462826768055
2004-11,4.971176972048089,11,-2.1696977481105906,7.1408747201586795
2005-01,7.560330286523288,1,0.04630563481672233,7.514024651706566
2005-02,7.16692446824576,2,0.10687191041123681,7.060052557834523
2005-03,2.709431720806357,3,0.25137358065073195,2.458058140155625
2005-04,-4.250132300939074,4,-0.5124242993987339,-3.7377080015403403
2005-05,-3.359702957175915,5,-0.46845701998871975,-2.891245937187195
2005-06,0.8373718080014001,6,-1.468502094761024,2.305873902762424
2005-07,8.04791061885098,7,0.7309201405502498,7.316990478300729
2005-08,10.319010053716728,8,0.5933306399037883,9.725679413812939
2005-10,8.9002917384435,10,2.55450098129418,6.345790757149319
2005-11,6.147815611203616,11,-2.1696977481105906,8.317513359314207
2006-01,3.5587584456441146,1,0.04630563481672233,3.5124528108273925
2006-03,2.49618529675527,3,0.25137358065073195,2.244811716104538
2006-04,5.268226362076028,4,-0.5124242993987339,5.780650661474762
2006-05,5.575044803305833,5,-0.46845701998871975,6.0435018232945525
2006-06,3.7012411411513106,6,-1.468502094761024,5.1697432359123345
2006-07,4.750716342794295,7,0.7309201405502498,4.019796202244045
2006-08,4.139011003587143,8,0.5933306399037883,3.5456803636833545
2006-09,2.4606760438716124,9,-1.0264507096321076,3.48712675350372
2006-12,0.40041574392229773,12,-0.47734686051006936,0.8777626044323671
2007-03,-2.1255487286008132,3,0.25137358065073195,-2.3769223092515452
2007-04,-5.807088188461767,4,-0.5124242993987339,-5.294663889063034
2007-05,-12.963100236749398,5,-0.46845701998871975,-12.494643216760679
2007-06,-17.96317779790697,6,-1.468502094761024,-16.494675703145944
2007-09,-16.139446450420433,9,-1.0264507096321076,-15.112995740788325
2007-11,-11.915390616018437,11,-2.1696977481105906,-9.745692867907845
2008-02,-5.342753429871172,2,0.10687191041123681,-5.449625340282409
2008-04,2.289354506830987,4,-0.5124242993987339,2.801778806229721
2008-08,7.918460177838167,8,0.5933306399037883,7.325129537934378
2008-09,9.614832457136126,9,-1.0264507096321076,10.641283166768234
2009-01,6.780831342717193,1,0.04630563481672233,6.734525707900471
2009-02,0.9126860699356292,2,0.10687191041123681,0.8058141595243924
2009-03,-4.180376650888197,3,0.25137358065073195,-4.431750231538929
2009-06,-10.255593946675265,6,-1.468502094761024,-8.78709185191424
2009-07,-9.90111213366539,7,0.7309201405502498,-10.63203227421564
2009-09,-8.034530258883812,9,-1.0264507096321076,-7.008079549251705
2009-11,-4.297269330554655,11,-2.1696977481105906,-2.127571582444064
2009-12,0.6611626043494849,12,-0.47734686051006936,1.1385094648595544
2010-01,0.8028699291889664,1,0.04630563481672233,0.756564294372244
2010-03,-0.7297893334395181,3,0.25137358065073195,-0.98116291409025
2010-05,-2.071387853111914,5,-0.46845701998871975,-1.6029308331231944
2010-06,-3.109124972106109,6,-1.468502094761024,-1.640622877345085
2010-07,-1.924064760292765,7,0.7309201405502498,-2.6549849008430146
2010-09,-0.2721286111975728,9,-1.0264507096321076,0.7543220984345348
2010-10,-0.7994140784117413,10,2.55450098129418,-3.3539150597059213
2011-01,1.1473829303876217,1,0.04630563481672233,1.1010772955708994
2011-03,4.578222000655575,3,0.25137358065073195,4.326848420004843
2011-04,6.393709307691076,4,-0.5124242993987339,6.906133607089809
2011-05,6.002012165672767,5,-0.46845701998871975,6.470469185661487
2011-06,5.553255227797795,6,-1.468502094761024,7.021757322558819
2011-07,3.244936493581477,7,0.7309201405502498,2.514016353031227
2011-08,1.3255199952047247,8,0.5933306399037883,0.7321893553009364
2011-09,0.14699150656689514,9,-1.0264507096321076,1.1734422161990028
2012-01,-0.7053714467163039,1,0.04630563481672233,-0.7516770815330263
2012-04,0.0007679268114811899,4,-0.5124242993987339,0.5131922262102151
2012-06,1.8477082257796877,6,-1.468502094761024,3.3162103205407116
2012-07,1.003771048086935,7,0.7309201405502498,0.2728509075366853
2012-11,-0.1984089612804787,11,-2.1696977481105906,1.9712887868301119
2013-02,-1.7021726504352077,2,0.10687191041123681,-1.8090445608464445
2013-03,-0.9098395938347206,3,0.25137358065073195,-1.1612131744854526
2013-05,2.4666306702625644,5,-0.46845701998871975,2.9350876902512844
2013-06,1.827546939651564,6,-1.468502094761024,3.296049034412588
2013-07,1.4977247712876736,7,0.7309201405502498,0.7668046307374238
2013-08,3.0719091826499936,8,0.5933306399037883,2.478578542746205
2013-09,4.156609068377331,9,-1.0264507096321076,5.183059778009438
2013-10,2.4756562767402057,10,2.55450098129418,-0.07884470455397441
2013-11,1.0279208549187502,11,-2.1696977481105906,3.1976186030293405
2013-12,0.8141181289972511,12,-0.47734686051006936,1.2914649895073205
2014-01,-0.6377019973211366,1,0.04630563481672233,-0.684007632137859
2014-02,-2.824227036731193,2,0.10687191041123681,-2.93109894714243
2014-03,-3.0094700760935114,3,0.25137358065073195,-3.2608436567442434
2014-04,-2.0470944418826034,4,-0.5124242993987339,-1.5346701424838693
2014-05,2.5161018801473345,5,-0.46845701998871975,2.9845589001360544
2014-06,4.969778509579435,6,-1.468502094761024,6.438280604340459
2014-07,5.849689078576889,7,0.7309201405502498,5.118768938026639
2014-08,3.7874159387259887,8,0.5933306399037883,3.1940852988222
2014-09,1.1367931600811547,9,-1.0264507096321076,2.1632438697132623
2014-10,0.959578082289002,10,2.55450098129418,-1.5949228990051783
2014-12,1.8452151942652186,12,-0.47734686051006936,2.322562054775288
2015-01,0.6138376546427664,1,0.04630563481672233,0.5675320198260441
2015-02,-0.2824065983516517,2,0.10687191041123681,-0.3892785087628885
2015-03,-2.14023217198215,3,0.25137358065073195,-2.391605752632882
2015-04,-3.2338127056477854,4,-0.5124242993987339,-2.7213884062490514
2015-05,0.21372781097034155,5,-0.46845701998871975,0.6821848309590612
2015-06,3.558594964881852,6,-1.468502094761024,5.027097059642876
2015-07,2.18994541973285,7,0.7309201405502498,1.4590252791826002
2015-08,1.0400120236751733,8,0.5933306399037883,0.446681383771385
2015-09,2.0272088707344533,9,-1.0264507096321076,3.0536595803665607
2015-12,0.90050614659938,12,-0.47734686051006936,1.3778530071094495
2016-02,-1.6747290177428686,2,0.10687191041123681,-1.7816009281541054
2016-03,-2.946581037732374,3,0.25137358065073195,-3.197954618383106
2016-04,-6.663735629231261,4,-0.5124242993987339,-6.151311329832527
2016-05,-4.724699129289927,5,-0.46845701998871975,-4.2562421093012075
2016-06,0.03516155904906715,6,-1.468502094761024,1.503663653810091
2016-08,-1.8704450287191228,8,0.5933306399037883,-2.463775668622911
2016-09,-2.222317993459433,9,-1.0264507096321076,-1.1958672838273252
2016-10,-1.4523860540141609,10,2.55450098129418,-4.006887035308341
2016-11,-0.013005541359733197,11,-2.1696977481105906,2.1566922067508574
2016-12,-1.0061142470395112,12,-0.47734686051006936,-0.5287673865294419
2017-01,-5.579613678796399,1,0.04630563481672233,-5.625919313613121
2017-04,-10.16869531384981,4,-0.5124242993987339,-9.656271014451075
2017-06,-10.178627075242895,6,-1.468502094761024,-8.710124980481872
2017-07,-2.0406415557521758,7,0.7309201405502498,-2.7715616963024257
2017-08,-0.6261390597311702,8,0.5933306399037883,-1.2194696996349585
2017-09,-0.7810773635876705,9,-1.0264507096321076,0.24537334604443706
2018-01,-1.841776050811173,1,0.04630563481672233,-1.8880816856278952
2018-02,-3.4380358536951476,2,0.10687191041123681,-3.5449077641063846
2018-04,-2.3032685099053114,4,-0.5124242993987339,-1.7908442105065774
2018-05,-1.5312192192008007,5,-0.46845701998871975,-1.062762199212081
2018-06,-3.2725238889721044,6,-1.468502094761024,-1.8040217942110806
2018-07,-2.2670270300446065,7,0.7309201405502498,-2.9979471705948564
2018-08,-2.3116685611772465,8,0.5933306399037883,-2.9049992010810346
2018-09,-2.637824048855221,9,-1.0264507096321076,-1.6113733392231133
2019-01,-1.8444105921809042,1,0.04630563481672233,-1.8907162269976265
2019-02,-0.07757349502291067,2,0.10687191041123681,-0.18444540543414747
2019-03,1.1817142197260608,3,0.25137358065073195,0.9303406390753288
2019-04,1.0242730485857408,4,-0.5124242993987339,1.5366973479844748
2019-05,-0.20641848815267663,5,-0.46845701998871975,0.2620385318360431
2019-06,0.5998926129016726,6,-1.468502094761024,2.0683947076626965
2019-07,-0.012721639154569253,7,0.7309201405502498,-0.743641779704819
2019-08,-3.344430921541122,8,0.5933306399037883,-3.93776156144491
2019-09,-4.810686548100968,9,-1.0264507096321076,-3.7842358384688604
2019-11,-4.744870789643203,11,-2.1696977481105906,-2.5751730415326124
2019-12,-5.263767483473401,12,-0.47734686051006936,-4.786420622963332
2020-01,-2.8463792749551944,1,0.04630563481672233,-2.8926849097719165
