dates,nzd0330-0000,nzd0330-0001,nzd0330-0002,nzd0330-0003,nzd0330-0004,nzd0330-0005,nzd0330-0006,nzd0330-0007,nzd0330-0008,nzd0330-0009,nzd0330-0010,nzd0330-0011,nzd0330-0012,nzd0330-0013,nzd0330-0014,nzd0330-0015,nzd0330-0016,nzd0330-0017,nzd0330-0018,nzd0330-0019,nzd0330-0020,nzd0330-0021,nzd0330-0022,nzd0330-0023,nzd0330-0024,nzd0330-0025,nzd0330-0026,nzd0330-0027,nzd0330-0041,nzd0330-0042,nzd0330-0043,nzd0330-0044,nzd0330-0045,nzd0330-0046,nzd0330-0047,nzd0330-0048,nzd0330-0049,nzd0330-0050,nzd0330-0051,nzd0330-0052,nzd0330-0053,nzd0330-0054,nzd0330-0055,nzd0330-0056,nzd0330-0057,nzd0330-0058,nzd0330-0059,nzd0330-0060,nzd0330-0061,nzd0330-0062,satname
2000-06-20 21:46:40+00:00,,334.8781818,338.2830769,,345.7081818,353.3781818,346.4181818,,341.7330769,345.7833333,346.3133333,341.0233333,328.45,323.63,324.7111111,320.2911111,329.3511111,340.54,347.6081818,345.4581818,343.8281818,341.0833333,336.0233333,321.5330769,328.8933333,334.1881818,336.9581818,342.36,331.99,344.6228571,329.2,339.6928571,331.71,339.67,327.41,335.4828571,359.42,350.2828571,358.44,354.4666667,375.44,375.19,354.7666667,351.2366667,340.9028571,350.7466667,366.7266667,364.5628571,357.69,358.92,L7
2000-07-13 21:52:07+00:00,339.8555556,342.0281818,343.3546154,,348.3881818,355.5781818,353.7381818,334.65,338.6846154,338.8866667,339.6066667,333.5366667,329.57,321.02,319.8955556,327.8955556,342.1355556,341.92,344.0181818,351.2281818,348.2481818,327.8066667,325.9866667,323.7446154,335.7566667,349.6881818,368.7281818,,324.63,332.93,321.34,328.36,322.51,325.07,315.8,323,348.47,338.74,340.42,334.7633333,355.52,359.33,348.0833333,346.4733333,339.44,350.3333333,345.8233333,353.93,344.13,345.77,L7
2000-07-29 21:51:50+00:00,335.49,340.0027273,337.0684615,338.63,339.9327273,347.3127273,347.9627273,337.65,339.4084615,331.24,332.68,328.62,321.51,316.94,319.39,328.05,336.88,349.56,346.1227273,347.4427273,345.4027273,344.75,339.3,336.1084615,336.72,341.2527273,353.5427273,361.34,333.69,344.6871429,330.82,336.7971429,330.6,333.62,329.57,332.2071429,368.23,352.3471429,352.22,349.09,371.15,376.86,366.17,368.36,350.9771429,357.37,365.74,367.0371429,361.33,373.04,L7
2000-08-07 21:45:32+00:00,352.2322222,347.6609091,347.2076923,,351.6709091,355.6109091,359.2109091,,350.4976923,344.8066667,340.0566667,335.2466667,328.48,334.46,328.3822222,340.6122222,351.5522222,349.08,352.6409091,358.7209091,363.8409091,352.7266667,338.7066667,329.6676923,333.8566667,341.1409091,345.4609091,353.94,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-14 21:51:44+00:00,335.2866667,336.7036364,339.0884615,336.23,341.3336364,340.9336364,340.1736364,,344.0084615,340.23,337.18,330.61,331.15,326.19,322.9266667,327.4166667,332.8966667,332.09,343.8336364,349.2036364,342.9136364,341.46,327.44,321.7684615,326.96,336.2036364,343.7836364,345.08,321.8,330.17,317.36,324.84,320.11,317.23,310.84,316.35,349.4,340.4,341.12,334.84,358.76,361.38,350.27,342.58,333.47,341.93,346.58,346.35,342.16,346.72,L7
2000-09-15 21:51:13+00:00,334.6255556,330.9063636,337.0123077,338.3,338.1163636,338.0563636,339.2563636,,332.1223077,334.2666667,326.6566667,326.0566667,318.94,314.88,329.4655556,337.2255556,328.4755556,325.73,336.6763636,332.4963636,335.6063636,333.2966667,323.9666667,319.2023077,324.4166667,332.5663636,340.1863636,338.44,325.86,334.9885714,322.89,328.2985714,323.95,323.11,314.88,320.9685714,341.27,342.7785714,341.81,340.4233333,364.86,364.61,351.2833333,345.9433333,339.8685714,344.4633333,352.2233333,350.3585714,343.38,342.89,L7
2000-10-26 21:45:10+00:00,,,,,,,,,,,,,,,330.5344444,331.0244444,334.2744444,342.91,342.9490909,346.9590909,347.2390909,351.0133333,343.9033333,332.1953846,331.6433333,338.8090909,338.4690909,339.41,327.31,338.6514286,328.95,336.0014286,331.59,342.41,321.11,335.1814286,,346.2314286,347.92,341.9466667,374.7,381.49,364.1866667,358.9266667,343.9014286,353.3066667,363.6166667,360.5814286,355.88,365.18,L7
2000-12-04 21:50:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.88,326.81,329.4185714,355.08,344.9185714,352.66,354.8,372.58,374.26,355.33,354.66,340.6785714,348.81,362.19,359.7685714,348.39,350.45,L7
2001-01-05 21:51:04+00:00,354.3255556,354.9936364,354.5430769,356.93,351.3936364,353.0036364,350.9936364,352.29,354.4930769,353.0766667,350.0466667,348.4466667,342.75,331.8,331.5155556,338.3255556,344.2755556,354.41,353.8536364,354.2536364,351.9736364,353.1066667,354.5366667,343.5730769,341.2866667,340.2336364,346.1336364,351.33,337.44,348.0357143,334.08,345.2457143,336.23,339.35,327.69,339.7857143,367.06,354.9157143,353.66,351.6533333,374.47,384.74,366.3333333,357.5533333,346.2557143,360.8633333,364.8533333,362.8157143,353.46,354.69,L7
2001-02-06 21:51:02+00:00,338.9866667,346.8381818,355.93,352.97,349.7181818,352.6181818,346.7681818,340.2,344.76,343.14,347.01,347.26,339.45,335.66,329.7966667,332.0366667,337.3166667,339.4,339.3881818,335.8381818,335.3681818,335.56,334.68,333.3,329.81,329.9181818,334.0881818,338.04,329.66,339.0842857,333.36,337.1842857,336.44,339.89,325.95,343.3742857,354.96,359.1342857,352.02,,382.83,375.57,366.69,373.22,346.0942857,359.11,366.55,362.3842857,361.68,371.89,L7
2001-04-04 21:44:54+00:00,,,,,,,,,,,,,,,,326.92,328.27,324.44,325.2754545,327.2554545,331.4954545,333.72,334.54,338.3876923,334.61,335.8954545,345.4954545,347.07,329.09,341.23,322.76,329.07,322.94,328.33,316.71,325.24,344.12,338.06,346.56,330.5,359.63,367.08,359.39,347.98,336.48,346.72,346.81,352.17,346.08,349.23,L7
