date,coastal,SOI
2000-12-01,5.52234507515751,0.8
2001-01-01,4.598397597942118,1.0
2001-02-01,3.6744501207267257,1.7
2001-03-01,2.83991691549992,0.9
2001-04-01,2.9652543424084516,0.2
2001-05-01,3.086548626513482,-0.5
2001-06-01,3.2118860534220137,0.3
2001-07-01,3.3331803375270446,-0.2
2001-08-01,3.458517764435576,-0.4
2001-09-01,3.5838551913441075,0.2
2001-10-01,3.7051494754491383,0.0
2001-11-01,3.83048690235767,0.7
2001-12-01,4.404386219113808,-0.8
2002-01-01,4.99741551309515,0.4
2002-02-01,4.490687771897628,1.1
2002-03-01,4.032998199203092,0.2
2002-04-01,3.52627045800557,-0.1
2002-05-01,4.707146221187497,-0.8
2002-06-01,5.92738450980882,0.2
2002-07-01,4.239341137296204,-0.5
2002-08-01,2.4950296523665,-1.0
2002-09-01,-1.73691998386915,-0.6
2002-10-01,-2.2962252452233907,-0.4
2002-11-01,-2.8741740152894395,-0.5
2002-12-01,-3.43347927664368,-1.1
2003-01-01,-5.52175991260418,-0.2
2003-02-01,-5.44738568414399,-0.7
2003-03-01,-4.433084525864811,0.3
2003-04-01,-3.3101082434842914,-0.1
2003-05-01,-2.2233570024708853,-0.3
2003-06-01,-1.1003807200903655,0.6
2003-07-01,-0.013629479076959328,0.3
2003-08-01,1.10934680330356,0.1
2003-09-01,0.5194263790137629,-0.1
2003-10-01,-0.05146435416991202,0.0
2003-11-01,-0.641384778459709,-0.3
2003-12-01,-0.5645580033628013,1.1
2004-01-01,-0.4851703357626632,-1.3
2004-02-01,-0.4057826681625253,1.2
2004-03-01,-0.3315167855688478,0.4
2004-04-01,-0.2521291179687098,-0.9
2004-05-01,-0.175302342871802,1.0
2004-06-01,1.46467564216199,0.8
2004-07-01,6.11915974665168,-0.5
2004-08-01,7.314605818356661,-0.3
2004-09-01,8.510051890061641,-0.3
2004-10-01,9.66693518526001,-0.1
2004-11-01,7.365901253244084,-0.7
2004-12-01,5.139094222260931,-0.8
2005-01-01,2.8380602902450054,0.3
