Year-Month,monthly_anomaly
1999-12,0.009371331962776301
2000-03,-2.151923319329181
2000-04,2.160348235510719
2000-05,-1.0238731299264747
2000-08,-8.571019211259621
2000-10,-9.826865418861226
2001-04,-9.73966466125041
2001-05,-6.473821677839077
2001-06,-9.556939440280585
2002-01,-14.949220667691325
2002-03,-6.424027621145767
2002-04,-5.0061061294400915
2002-07,-3.0892271160718785
2002-11,1.2505090401534782
2003-01,-1.3063764215953029
2003-03,-4.325404740486923
2003-04,-5.532418899932739
2003-05,-8.210147345092839
2003-08,-16.263007712140272
2004-01,-21.880610683793616
2004-04,-8.922431796693873
2004-05,-10.881913781715424
2004-06,-9.691979742659086
2004-07,-9.096818870537778
2004-08,-8.646138371342898
2004-10,-5.660945324797329
2004-12,-1.805752278251769
2005-01,3.3049603953673774
2005-04,10.962944623826422
2005-06,4.555539535004059
2005-08,-7.994333379394041
2005-09,-7.100145800476248
2005-11,-9.82881697651073
2006-01,-5.464857842753038
2006-05,-0.7388234248912934
2006-06,0.6976035344421317
2006-07,-1.446292862562175
2006-08,-5.864029754352139
2006-09,-2.6749039130630656
2006-12,0.0239570853266986
2007-03,13.491165290442732
2007-04,18.819865416711192
2007-05,19.92207262270257
2007-07,15.427394366945176
2007-09,13.148366048053534
2007-10,11.44985896833063
2007-11,-1.4485194136952326
2007-12,2.9558949982875258
2008-01,3.726673632850332
2008-03,2.172645313958699
2008-06,4.320174264192672
2008-08,8.451795882166811
2008-11,14.935980236894324
2009-03,10.066268194617534
2009-06,11.140161367431562
2009-10,14.874961872505434
2010-01,14.958594425735113
2010-02,8.855606973085782
2010-03,6.1548589008520995
2010-06,6.325212819518962
2010-07,5.94683443749309
2010-08,5.9062488494758485
2010-11,8.003388482428432
2010-12,5.755522892941426
2011-01,2.9156515906384715
2011-02,0.22584886049895472
2011-03,0.1473375574611249
2011-05,-3.798444301291959
2011-08,-8.678447525482245
2011-10,-3.766761558659581
2011-11,2.6140492503274846
2012-01,5.988560185583018
2012-02,5.0194031689943435
2012-03,6.899531866691384
2012-06,-6.137289246208865
2012-11,-3.6295029005808024
2012-12,3.642768654259084
2013-01,4.586468780527559
2013-05,4.775522825462888
2013-06,5.377934877538014
2013-07,0.7132802208569698
2013-08,-4.3950981611688835
2013-10,-2.421723003333304
2013-12,-4.287569210934907
2014-02,-5.423676038120884
2014-03,-1.8242616261381284
2014-04,-5.280950817151057
2014-05,-7.6601078337397315
2014-07,-8.476343358622742
2015-01,-7.655246204007613
2015-06,-3.5489527786566373
2015-07,-2.1759669381024573
2015-08,-2.0594096689768433
2015-10,3.165197789551463
2015-12,11.996851581949862
2016-08,8.705641783110554
2016-10,13.178756321361789
2016-12,14.806220922747244
2017-03,23.296153349708447
2017-06,24.183292982661015
2017-08,22.845693235197956
2017-09,19.715886281743526
2018-02,9.093543929674537
2018-04,-12.8604843892171
2018-06,-13.491623390827321
2018-08,-9.742762392437552
2018-11,-0.8774406481949405
2019-01,16.423498858489165
2019-02,18.970023953190523
2019-04,21.85605998314741
2019-05,21.87472793499161
2019-11,25.95972148661106
2019-12,19.439168073018074
2020-01,17.939296770715107
2020-02,18.98864683384934
2020-03,19.781664848827788
2020-09,8.368086971875801
2020-10,1.5253263522914342
2021-01,8.959348222802516
2021-04,30.143955681330823
2021-05,27.80259145875078
2021-07,13.942134568430564
2021-11,-22.952350640781273
2021-12,-14.763975482945673
2022-01,-7.621378959672888
2022-03,-16.745796595845935
2022-05,-21.51323385909255
2022-06,-25.11731526465957
2022-07,-31.335249630633506
2022-08,-27.189828138927844
2022-09,-22.872556584087942
2022-11,-18.7197670142696
2022-12,-13.338924030858276
2023-01,-12.639184650442642
2023-02,-12.68619880988845
2023-03,-10.330875453550712
2023-04,-8.766330731775781
2023-05,-7.860487748364453
2023-06,-11.424807249169568
2023-07,-10.168087495827512
2023-10,-7.138610347091374
2023-11,-6.686013823818593
2023-12,-1.2635476103379895
2024-01,-2.2888082299223598
2024-02,1.210606182060394
2024-04,0.8262207203116266
2024-05,-0.8915398992727417
2024-06,2.7139459412814464
2024-07,2.5008603532642053
2024-08,0.9385212253855069
2024-11,0.9741025144823748
2024-12,2.0426074447451006
2025-01,2.1577361424421313
2025-03,3.335635109801537
2025-05,2.893186584381784
2025-06,2.4864973933688543
2025-07,-1.4485042187262944
2025-10,-7.678702101557284
2025-12,-4.279937626440286
