Year-Month,dates,monthly_anomaly,nzd0100_Average_Value,Value,Smooth_Value
1999-11,1999-11-14 22:04:42.000000000,380.88431928431925,382.44048647944817,1.0,1.134534485034553
2000-05,2000-05-24 22:03:46.000000000,392.46218990533276,378.78121997978496,0.4,0.6682251425375931
2000-08,2000-08-12 22:02:54.000000000,366.8973495630053,373.92856399476454,0.7,0.6533876947298695
2000-09,2000-09-13 22:02:26.000000000,360.2403267453267,369.7691529814998,0.9,0.8331702708866523
2000-12,2000-12-18 22:02:14.000000000,360.58719613719614,367.4083753491304,0.8,1.1526164932394691
2001-01,2001-01-03 22:02:12.000000000,367.6122961197961,366.8928610361102,1.0,1.099432606924579
2001-06,2001-06-28 22:01:09.000000000,368.2260148560149,367.51133117956704,0.3,0.03168281082958975
2001-08,2001-08-15 22:00:38.000000000,366.65677549723006,368.63244414814915,-0.4,-0.07380105577313285
2002-01,2002-01-22 22:00:40.000000000,389.13345965762636,369.70426760788826,0.4,0.23509956236746107
2002-03,2002-03-27 22:00:37.000000000,361.0813661413662,369.9553504858244,0.2,0.14572296533286758
2002-07,2002-07-17 22:00:08.000000000,370.7627482502483,370.7730408256355,-0.5,-0.4695336673613069
2003-08,2003-08-05 22:00:11.000000000,364.4232024532844,372.5586884105049,0.1,0.1250263344373116
2003-11,2003-11-09 22:00:18.000000000,373.21054528804535,375.7124994041275,-0.3,0.0831916616081652
2003-12,2003-12-19 21:50:27.000000000,373.31489049763024,379.7307370860628,1.1,0.11772148105890402
2004-01,2004-01-28 22:00:52.000000000,399.74262581862575,383.8316698340835,-1.3,0.13496369371252057
2004-04,2004-04-01 22:01:04.000000000,395.13929541219017,386.52069418280314,-0.9,0.21989593843084967
2004-05,2004-05-03 22:00:59.000000000,375.3111916971917,388.07109066511737,1.0,0.2275696385160732
2004-07,2004-07-20 05:58:40.000000000,390.0466719888388,391.3652573128227,-0.5,0.015232943054413549
2004-09,2004-09-16 21:55:41.000000000,401.81002783674654,394.83725852221215,-0.3,-0.28077053027950555
2004-10,2004-10-14 21:58:21.500000000,400.9667771234556,395.9518432980385,-0.1,-0.4249601767770454
2004-11,2004-11-15 21:58:48.750000000,392.39361163974644,394.7423169778282,-0.7,-0.5760185988097057
2005-01,2005-01-14 22:01:13.000000000,397.8474233017454,393.9024741474996,0.3,-0.7984578501804348
2005-02,2005-02-19 21:59:58.000000000,386.0344716018506,391.7781057271818,-3.1,-0.8508679657622821
2005-03,2005-03-07 22:00:07.000000000,395.4048287743984,388.7691419062192,0.3,-0.7363788458811699
2005-07,2005-07-17 21:59:35.000000000,371.0433869144038,385.62889630065337,0.2,0.01417653471209615
2005-09,2005-09-16 09:56:51.000000000,392.1841330403831,383.15912356349884,0.4,0.3292793946525564
2005-11,2005-11-30 22:01:24.000000000,373.3250202957962,381.07104957859974,-0.2,0.5536373430910003
2006-02,2006-02-18 22:01:53.000000000,364.01293157768157,381.65878407666963,0.1,0.8105005390110417
2006-05,2006-05-13 22:02:54.500000000,396.35751385518336,386.09934525152505,-0.5,0.2336743501086755
2006-06,2006-06-10 22:01:49.000000000,392.3570544803596,390.411655601793,0.2,-0.08032444670821177
2006-07,2006-07-16 22:03:05.500000000,383.1797985532899,394.77364217926475,-0.6,-0.36875721733750166
2006-10,2006-10-16 22:01:19.000000000,403.16136321020247,400.26031970149114,-1.3,-0.6653359507683264
2007-01,2007-01-05 10:01:14.500000000,421.54918201601873,402.33727092104016,-0.8,-0.37128401723098936
2007-02,2007-02-13 22:06:47.000000000,380.6180443909211,397.8770479437959,-0.1,-0.24840748262456488
2007-05,2007-05-20 22:02:07.500000000,394.1178281768821,390.3592352720024,-0.1,0.013796039852005094
2007-11,2007-11-20 22:01:58.000000000,368.5034835340099,383.9530915684812,0.9,1.1301249405803613
2008-01,2008-01-23 22:02:09.000000000,364.8252064396508,382.78165683807015,1.8,1.5214109593272513
2008-05,2008-05-14 22:01:48.000000000,388.39639911812327,384.5276872846936,-0.1,0.7817637070793704
2008-08,2008-08-18 22:00:56.000000000,386.22488283584033,387.32707262844855,1.0,0.8521321363859762
2008-10,2008-10-29 21:55:24.000000000,404.2036326436327,389.7455594598137,1.3,1.1641536384049163
2009-02,2009-02-02 21:57:22.000000000,393.92320509070504,390.22642883675536,1.9,1.1062173948077745
2009-06,2009-06-10 22:02:14.000000000,391.3787268209932,387.40220853673907,0.1,0.17286411367537502
2009-07,2009-07-20 22:02:06.000000000,376.66072328055094,382.5952418013408,0.2,-0.018804099788613193
2009-08,2009-08-13 22:02:00.000000000,375.51595879926526,379.43059987988767,-0.2,-0.2136735863278726
2009-09,2009-09-06 22:01:59.000000000,365.9128481687804,380.2449892235739,0.3,-0.4112740844388729
2009-11,2009-11-25 22:02:33.000000000,387.44601634924214,383.9433706347963,-0.6,-0.7276794660563757
2010-01,2010-01-20 22:02:37.000000000,390.0285661260661,388.1844409328849,-1.1,-0.6470969383079039
2010-02,2010-02-14 10:00:05.500000000,402.21929631179637,392.2627976382576,-1.5,-0.38367391946645646
2010-03,2010-03-22 10:00:53.000000000,394.3772191003441,392.1374593964909,0.7,0.025072610196389122
2010-06,2010-06-21 22:03:58.000000000,382.8283652049226,389.7766638427017,0.4,1.115769549894253
2010-07,2010-07-15 22:04:01.500000000,380.781413787362,388.6080491238756,1.8,1.4286799687238907
2010-11,2010-11-28 22:04:41.000000000,390.80486851190244,389.58170221428156,1.3,2.1605978593646133
2011-01,2011-01-07 22:01:44.000000000,398.226851054351,390.254631065804,2.3,2.3007548879274045
2011-03,2011-03-12 22:01:43.000000000,396.7346072724839,389.85066961921586,2.5,1.9450021535459638
2011-05,2011-05-15 22:05:24.000000000,386.18931376258547,387.56632628632644,0.4,1.1960255297277054
2011-07,2011-07-18 22:05:19.000000000,385.62230782096697,383.3077379565135,1.0,0.8040753065935997
2011-08,2011-08-19 22:05:12.000000000,376.2468342070117,378.76116950977604,0.4,0.7994631107180805
2011-09,2011-09-12 22:05:05.000000000,378.82382236043526,376.0440635536755,1.0,0.8928563789210106
2012-01,2012-01-18 22:05:49.000000000,374.7648987678988,374.48579313306914,1.1,1.0394003681651622
2012-04,2012-04-15 22:05:58.000000000,365.9677962402724,374.6707356394119,-0.3,0.3315805761657042
2012-05,2012-05-06 10:03:17.000000000,380.3676553336203,379.43407953760874,0.0,0.18023824098377791
2012-06,2012-06-18 22:06:14.500000000,389.59742089920667,384.5980870833421,0.4,0.0929192109529097
2012-07,2012-07-12 22:06:34.000000000,396.36129816420146,385.7712327102211,-0.0,0.03611223821124772
2013-01,2013-01-04 22:07:58.000000000,387.07781045002366,384.565017772664,-0.1,0.12877603064538562
2013-02,2013-02-05 22:08:01.000000000,372.94522920582244,383.2642101224336,-0.2,0.2910507030836552
2013-03,2013-03-09 22:07:57.000000000,367.70732137307135,383.50065677691657,1.5,0.48068866250295716
2013-04,2013-04-11 10:07:50.500000000,391.3710035383191,387.2656618011505,0.2,0.6050098815616316
2013-05,2013-05-20 22:09:42.000000000,395.9528190643271,392.67066389301164,0.8,0.6845911481954685
2013-06,2013-06-19 06:11:38.333333248,391.3953318568072,393.4854070216679,1.2,0.6950081523889651
2013-07,2013-07-11 22:10:29.500000000,393.06968925473166,391.3610957383092,0.8,0.6246597898826778
2013-08,2013-08-12 22:10:28.000000000,385.3596538317554,387.93213936004594,0.2,0.518055161707278
2013-09,2013-09-13 22:10:39.000000000,380.2022983161444,385.93002536915486,0.3,0.4391856144620286
2013-10,2013-10-23 22:10:41.000000000,395.98984131397776,388.1216685615728,-0.1,0.41670303233427236
2013-12,2013-12-14 22:13:21.000000000,394.4460262948619,390.01978144663644,0.1,0.5362345790492358
2014-02,2014-02-09 10:07:34.000000000,387.0998659750243,390.78934907612427,0.1,0.6367740257912965
2014-03,2014-03-12 22:08:38.000000000,389.8455138850221,391.51944908682043,0.9,0.6190791771821652
2014-04,2014-04-05 22:11:58.000000000,380.19253867897703,391.5948391725725,0.8,0.5239745327634476
2014-05,2014-05-23 22:09:10.000000000,401.68564230366684,389.97967173036693,0.5,0.34368806682025876
2014-06,2014-06-16 22:09:12.000000000,382.4043421393422,385.08775459770914,0.2,0.10111724999733016
2014-07,2014-07-26 22:11:43.000000000,381.06817937317936,381.2109720966235,-0.2,-0.16347245448507966
