Year-Month,nzd0053_Average_Value,Value,Smooth_Value
2015-01,370.16792911445054,-0.8,-0.026328534672692017
2015-02,369.3718564120071,0.2,-0.015985566434730415
2015-03,369.20277829966227,0.7,-0.043654096541763956
2015-04,370.20880323216534,-0.0,-0.14418949367457895
2015-05,372.5395688142857,-0.7,-0.3059687454801011
2015-06,374.7387556510541,0.6,-0.508356996250595
2015-07,376.8528773892919,-1.1,-0.7553463436858198
2015-08,379.9275952348533,-1.4,-0.9816565732198712
2015-09,381.67225705734364,-1.6,-1.1435483238064816
2015-10,383.3179844543566,-1.7,-1.2234286985731415
2015-11,382.59129992366775,-0.5,-1.2322330304094364
2015-12,379.2069951303148,-0.6,-1.2106823585441302
2016-01,376.2012179978643,-2.2,-1.153733157805397
2016-02,375.5859025251898,-2.0,-1.0181742556124038
2016-03,374.13499515593537,0.1,-0.8261861570214784
2016-04,373.16309400428025,-1.2,-0.6613134761131747
2016-05,374.9788929101154,0.4,-0.549214192154204
