dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,satname
2001-09-25 21:54:28+00:00,371.67,375.56,365.82,366.0457143,363.83,357.2057143,355.2057143,353.1157143,352.7066667,339.8966667,330.95,322.52,329.54,326.61,329.54,321.14,332.29,332.86,334.1757143,338.2,335.7457143,365.9145455,366.4545455,366.06,362.9645455,367.95,381.3466667,390.21,395.4,394.1,386.21,380.5166667,374.3166667,373.63,365.6657143,368.2566667,361.9757143,364.63,372.61,370.8166667,362.7657143,364.8357143,360.81,362.75,375.52,373.0166667,394.53,404.5466667,L7
2002-02-16 21:54:54+00:00,383.95,379.1866667,375.1766667,375.6571429,380.24,382.2171429,376.0471429,370.1571429,350.7177778,327.4777778,330.94,334.72,334.88,333.51,337.9,347.37,350.19,350.98,352.3871429,350.2266667,341.7871429,373.6709091,374.1609091,375.9233333,387.1609091,390.38,399.5577778,399.57,393.76,393.54,393.19,393.5477778,389.2977778,385.39,393.5671429,393.5277778,389.7271429,377.24,377.64,371.5577778,365.9671429,374.4471429,376.87,378.79,374.91,385.7677778,399.43,407.4577778,L7
2002-03-20 21:54:48+00:00,359.28,362.37,363.82,372.0528571,376.98,373.7728571,361.9828571,346.2728571,337.96,324.73,318.27,316.66,318.91,318.68,320.96,317.27,315.94,305.36,292.3628571,,,353.9581818,329.0681818,355.93,369.3781818,372.21,380.84,383.6,385.24,376.01,369.69,350.57,339.64,356.31,,,335.7628571,,342.86,356.27,331.2528571,339.8928571,,306.12,386.47,367.04,360.7,,L7
2002-08-27 21:54:00+00:00,342.84,347.4166667,,,321.08,315.2485714,319.7785714,323.4385714,303.8011111,293.6711111,294.16,291.95,297.53,304.21,298.99,304.7,318.4,322.99,321.8585714,319.9366667,310.9485714,330.6990909,340.1690909,342.9433333,355.7290909,352.3,360.1511111,358.79,358.31,355,353.64,350.3911111,356.3711111,359.84,362.5285714,360.0711111,359.3885714,356.18,341.77,334.1411111,343.8185714,330.6085714,,345.29,,354.2511111,358.42,366.9611111,L7
2002-10-14 21:53:43+00:00,373.55,370.3766667,365.6966667,356.2871429,347.13,333.0171429,334.5871429,338.4771429,331.6211111,321.4911111,313.95,308.85,319.82,335.48,336.58,325.02,329.52,330.47,351.0471429,354.2366667,359.0471429,349.0181818,352.4081818,358.1333333,357.2981818,351.83,361.1911111,363.55,368.93,371.53,382.1,383.2211111,371.4011111,360.27,353.3871429,359.3311111,362.3971429,370.55,376.92,362.7111111,359.8471429,364.2771429,385.06,377.88,387.72,375.2011111,362.51,360.7611111,L7
2003-01-18 21:54:30+00:00,368.96,350.2266667,357.7666667,349.97,348.74,349.98,339.77,342.35,321.3211111,317.1911111,324.24,320.33,311.37,309.41,305.26,308.08,318.11,312.74,309.79,318.5466667,321.71,347.4945455,355.5845455,353.7933333,358.6145455,362.04,364.1111111,367.64,365.49,365.95,372.06,371.3211111,368.9511111,368.05,368.18,359.2311111,370.3,353.47,356.77,352.1011111,361.55,345.18,355.1,369.04,353.47,364.8111111,361.22,370.1711111,L7
2003-04-08 21:54:47+00:00,361.12,363.54,355.23,353.23,347.69,337.96,339.76,332.56,334.6166667,324.1966667,309.95,306.6,307.7,315.82,319.81,313.66,316.39,316.48,322.99,332.25,323.89,354.3336364,346.8936364,351.69,349.6036364,359.25,370.4266667,375.59,378.75,385.63,375.39,362.8766667,352.3466667,348.25,361.01,372.5466667,365.58,364.53,359.49,350.7366667,358.67,365.91,366.8,362.51,375.9,368.7866667,365.19,372.3966667,L7
2003-04-24 21:54:46+00:00,356.03,358.5466667,354.9766667,348.0957143,343.62,343.5657143,342.5057143,336.0857143,334.4277778,329.4477778,316.42,310.68,315,317.02,314.36,308.28,313.28,310.67,321.0157143,334.3866667,327.2557143,352.83,356,350.1733333,355.43,368.92,377.6977778,380.05,379.24,381.02,377.52,368.4677778,364.6977778,346.11,354.5657143,364.7077778,363.4657143,363.37,360.1,351.6777778,351.1657143,349.1557143,352.43,355.1,375.46,368.5977778,372.3,355.4577778,L7
2003-07-29 21:54:29+00:00,347.77,,,,338.01,329.45,323.97,332.29,315.56,310.44,314.96,314.11,310.62,316.88,,,,,,,,,,344.06,349.6090909,352.59,364.18,377.46,374.75,367.77,356.12,358.36,348.42,344.73,353.92,,,336.8,340.5,338.26,329.07,303.1,320.05,347.94,,,,,L7
2003-10-25 21:44:04+00:00,360.85,363.96,376.13,353.1142857,345.2,342.8742857,340.7742857,338.8242857,323.2866667,318.9366667,327.9,324.32,309.16,313.22,317.42,312.51,304.48,298.11,315.6342857,328,319.1942857,348.0563636,349.7963636,351.14,354.4363636,360.99,363.5366667,368.29,369.76,378.99,377.2,371.9166667,366.3866667,362.28,370.8642857,357.6766667,359.8442857,337.51,346.59,342.9166667,349.3142857,331.6542857,339.14,363.67,353.35,362.2966667,370.39,381.4966667,L5
