Year-Month,dates,monthly_anomaly,nzd0273_Average_Value,Value,Smooth_Value
2010-01,2010-01-16 13:57:26.000000000,330.19198651040534,329.2031132374843,-1.1,-0.6910800161779608
2010-05,2010-05-13 21:58:33.000000000,330.24215448000683,327.85550264995953,0.9,0.7583413254352038
2010-06,2010-06-22 21:58:35.500000000,324.4239151426854,325.8896857468916,0.4,1.094954924022491
2010-07,2010-07-16 21:58:39.000000000,309.19292537875793,325.1956944154757,1.8,1.4201525342331704
2010-08,2010-08-01 21:58:39.000000000,337.31151515151515,326.2951674928324,1.8,1.6864146012833843
2010-10,2010-10-16 21:57:27.500000000,328.4210635142799,327.6014437989405,1.7,2.0334955825207492
2010-12,2010-12-19 21:57:52.000000000,326.4630162118684,328.7424398582473,2.9,2.2834497135944654
2011-01,2011-01-16 21:58:36.000000000,333.1674333572042,329.4227595273567,2.3,2.3021264970408923
2011-02,2011-02-17 21:59:53.500000000,325.20996857990843,328.4415330951985,2.7,2.197003208727833
2011-03,2011-03-29 22:00:02.000000000,324.3723660139962,327.99190030347535,2.5,1.9452700552764968
2011-04,2011-04-30 22:00:03.000000000,334.86625165855816,327.7449526099642,1.9,1.5800057756716674
2011-08,2011-08-20 21:59:49.000000000,326.1078485754051,327.1779460888409,0.4,0.7993830321028083
2011-09,2011-09-17 21:57:19.000000000,324.69817842273187,326.685593269699,1.0,0.8928077747632154
2011-11,2011-11-24 22:00:07.000000000,327.7424283787099,326.7886144668515,1.1,1.1410768888873497
2012-03,2012-03-15 22:00:33.000000000,334.45916912067383,326.9707082345467,0.7,0.5604350166805043
2012-04,2012-04-16 22:00:29.000000000,317.44724471690853,327.17201895843186,-0.3,0.33158306905820245
2012-05,2012-05-10 22:01:01.500000000,327.70693017902136,328.97358586468414,0.0,0.18023917908531195
2012-06,2012-06-03 22:00:47.000000000,337.3017207080819,331.2991259696331,0.4,0.09291883329941641
2012-08,2012-08-22 22:01:38.000000000,325.0021391180902,332.2669040496536,-0.2,0.010424548256646942
2012-09,2012-09-23 22:01:57.000000000,348.0140686080405,332.7629047893224,0.2,0.012456363457869529
2013-01,2013-01-29 22:02:38.000000000,333.91271803733315,332.08545040100637,-0.1,0.1287974824620308
2013-03,2013-03-18 22:02:32.000000000,313.13624570685977,331.22743685470743,1.5,0.4807283411996926
2013-04,2013-04-19 22:08:25.000000000,334.6630597132288,331.56404631284215,0.2,0.6050472846773428
2013-05,2013-05-13 22:08:23.000000000,334.903420349723,331.77962395676917,0.8,0.6846044722582668
2013-06,2013-06-06 22:02:07.000000000,330.7690497865538,331.3682164265853,1.2,0.6949596777458135
2013-07,2013-07-24 22:01:44.000000000,333.8299756893353,330.7306316675824,0.8,0.6244944002479694
2013-08,2013-08-17 22:08:27.000000000,316.90781568294705,330.02184709889286,0.2,0.517705730234298
2013-09,2013-09-02 22:08:28.000000000,337.78103758747625,329.74121169762213,0.3,0.43859138036903006
2013-11,2013-11-21 22:08:01.000000000,334.37541258747626,328.93095983910354,0.7,0.46277490270661464
2013-12,2013-12-23 22:02:48.500000000,326.58036228900625,326.7976896416988,0.1,0.5353523504790034
2014-01,2014-01-16 22:06:06.000000000,323.15067740317266,325.3981259298242,1.4,0.6159206559458059
2014-02,2014-02-13 22:05:13.000000000,328.2920561472363,326.2735264602164,0.1,0.6384472217254057
2014-03,2014-03-13 22:03:16.500000000,325.59581666662524,325.75009723372074,0.9,0.6240193775533182
2014-04,2014-04-20 06:04:23.333333248,326.2707613371594,325.2474467432243,0.8,0.5338969840844583
2014-06,2014-06-01 22:06:02.000000000,326.03956383947553,324.92828333357875,0.2,0.123833048065226
2014-07,2014-07-15 22:05:08.000000000,319.48122559042406,325.2018013098525,-0.2,-0.13757067749248011
2014-08,2014-08-20 22:04:52.666666752,329.5717032751916,326.94479796385446,-0.7,-0.3786973254706007
2014-09,2014-09-29 22:04:16.000000000,328.06124080224487,327.4974318339883,-0.7,-0.5609740516352697
2014-10,2014-10-27 22:05:37.000000000,322.3480324941703,327.6958083175169,-0.6,-0.6815283089225554
2014-11,2014-11-08 22:06:40.000000000,335.36373776242885,328.72536158499514,-0.9,-0.7529348778646072
2014-12,2014-12-02 22:04:48.000000000,334.5101571724402,329.3199964656446,-0.6,-0.7787098380021786
