Year-Month,nzd0240_Average_Value,Value,Smooth_Value
2015-01,360.3345601224767,-0.8,-0.026328534672692017
2015-02,358.8152508670642,0.2,-0.015985566434730415
2015-03,355.56557172238706,0.7,-0.043654096541763956
2015-04,357.06923719793554,-0.0,-0.14418949367457895
2015-05,362.9196917703391,-0.7,-0.3059687454801011
2015-06,363.7113681162958,0.6,-0.508356996250595
2015-07,359.3406154016089,-1.1,-0.7553463436858198
2015-08,354.75051238872646,-1.4,-0.9816565732198712
2015-09,353.4136116205596,-1.6,-1.1435483238064816
2015-10,355.07357811207595,-1.7,-1.2234286985731415
2015-11,356.04772646504205,-0.5,-1.2322330304094364
2016-01,355.4805359199204,-2.2,-1.153733157805397
2016-02,355.923610291859,-2.0,-1.0181742556124038
2016-03,357.89316592794177,0.1,-0.8261861570214784
2016-04,366.5141249979151,-1.2,-0.6613134761131747
2016-05,369.97692487377583,0.4,-0.549214192154204
