Year-Month,nzd0263_Average_Value,month,climatology,monthly_anomaly,Value,Smooth_Value
2005-08,-0.0008495723677061498,8,-0.0008495723677041971,-1.9526481126463935e-15,-0.3,0.1667690999959745
2005-09,-0.0008495723677061485,9,-0.0008495723677050704,-1.078022220102337e-15,0.4,0.32819214322177775
2005-10,-0.0008495723677061469,10,-0.0008495723677044652,-1.681705989742266e-15,1.2,0.4660675649153985
2005-11,-0.0008495723677061451,11,-0.0008495723677044195,-1.7256161777279289e-15,-0.2,0.5659564819930971
2006-01,-0.0008495723677061438,1,-0.0008495723677044302,-1.7135815336133398e-15,1.7,0.7583329094636976
2006-02,-0.0008495723677061422,2,-0.0008495723677042161,-1.9260851594204986e-15,0.1,0.7664300629751312
2006-03,-0.0008495723677061406,3,-0.0008495723677046583,-1.4823212102221817e-15,1.8,0.6970757425135222
2006-04,-0.000849572367706137,4,-0.0008495723677042728,-1.8641772153715763e-15,1.1,0.50358688964573
2006-05,-0.0008495723677061319,5,-0.0008495723677043391,-1.7927282922047816e-15,-0.5,0.22280322793490243
2006-06,-0.0008495723677061271,6,-0.0008495723677043518,-1.775272637227765e-15,0.2,-0.06327005836554545
2006-07,-0.0008495723677061219,7,-0.0008495723677044277,-1.6941743147258492e-15,-0.6,-0.32736457769057653
2006-09,-0.0008495723677061163,9,-0.0008495723677050704,-1.0458214155795176e-15,-0.6,-0.6214418467528897
2006-11,-0.0008495723677061117,11,-0.0008495723677044195,-1.6922227508153753e-15,0.1,-0.5693948110481701
2006-12,-0.0008495723677061084,12,-0.0008495723677043641,-1.744372875311928e-15,-0.3,-0.4845683132921783
2007-02,-0.000849572367706105,2,-0.0008495723677042161,-1.888897024904246e-15,-0.1,-0.2725283426248459
2007-03,-0.0008495723677060998,3,-0.0008495723677046583,-1.4414467883194781e-15,0.2,-0.1639847168382392
2007-06,-0.0008495723677060921,6,-0.0008495723677043518,-1.7402529070564832e-15,0.5,0.11132354173611797
2007-07,-0.0008495723677060862,7,-0.0008495723677044277,-1.6585040632510761e-15,-0.3,0.22541796629521554
2007-09,-0.0008495723677060798,9,-0.0008495723677050704,-1.0093922225840046e-15,0.2,0.6001385573389421
2007-10,-0.0008495723677060733,10,-0.0008495723677044652,-1.6080886622305002e-15,0.7,0.851074227710182
2008-01,-0.0008495723677060688,1,-0.0008495723677044302,-1.6385547432773429e-15,1.8,1.4399968592260781
2008-02,-0.0008495723677060616,2,-0.0008495723677042161,-1.8455289380048256e-15,2.6,1.4192478257287622
2008-04,-0.0008495723677060542,4,-0.0008495723677042728,-1.7814525896109323e-15,0.7,1.0349357136197102
2008-06,-0.000849572367706049,6,-0.0008495723677043518,-1.6972100808088086e-15,0.6,0.7656046442495692
2008-07,-0.0008495723677060438,7,-0.0008495723677044277,-1.616111758306893e-15,0.3,0.7832363812793087
2008-08,-0.0008495723677060381,8,-0.0008495723677041971,-1.8409752888803865e-15,1.0,0.8855563493193676
2008-09,-0.0008495723677060324,9,-0.0008495723677050704,-9.62012587646388e-16,1.2,1.0202020800342926
2009-01,-0.0008495723677060239,1,-0.0008495723677044302,-1.593668773336443e-15,1.1,1.1973538200178127
2009-02,-0.0008495723677060147,2,-0.0008495723677042161,-1.7985829839362033e-15,1.9,1.073990609528184
2009-03,-0.0008495723677060052,3,-0.0008495723677046583,-1.3469043588787422e-15,0.4,0.8689720839438021
2009-04,-0.0008495723677059956,4,-0.0008495723677042728,-1.7227972520794665e-15,0.8,0.6364603026259624
2009-05,-0.0008495723677059853,5,-0.0008495723677043391,-1.6461441584847414e-15,-0.1,0.3951027799763181
2009-09,-0.0008495723677059748,9,-0.0008495723677050704,-9.043330320701592e-16,0.3,-0.4188474337336694
2009-12,-0.000849572367705964,12,-0.0008495723677043641,-1.5999571459368589e-15,-0.7,-0.6989922168300522
2010-01,-0.000849572367705949,1,-0.0008495723677044302,-1.5187504032176946e-15,-1.1,-0.5891528566101902
2010-02,-0.0008495723677059374,2,-0.0008495723677042161,-1.7212793690379868e-15,-1.5,-0.3410404009925704
2010-03,-0.0008495723677059291,3,-0.0008495723677046583,-1.2707933663702597e-15,0.7,0.029332542422886965
2010-04,-0.0008495723677059209,4,-0.0008495723677042728,-1.6480957223952153e-15,1.2,0.41818711257566077
2010-06,-0.0008495723677059126,6,-0.0008495723677043518,-1.5608174475101322e-15,0.4,1.0985857129406258
2010-07,-0.0008495723677058996,7,-0.0008495723677044277,-1.4719128693663208e-15,1.8,1.4122131669377134
2010-08,-0.0008495723677058863,8,-0.0008495723677041971,-1.689186984732416e-15,1.8,1.676380753507111
2010-09,-0.0008495723677058724,9,-0.0008495723677050704,-8.019843469875276e-16,2.2,1.8834202949093874
2010-10,-0.0008495723677058534,10,-0.0008495723677044652,-1.3882124616504399e-15,1.7,2.035025111536364
2010-12,-0.0008495723677058388,12,-0.0008495723677043641,-1.4747317950147831e-15,2.9,2.2492293127682896
2011-01,-0.0008495723677058236,1,-0.0008495723677044302,-1.3934166320783703e-15,2.3,2.2475327452339346
2011-02,-0.000849572367705808,2,-0.0008495723677042161,-1.5919340498604662e-15,2.7,2.1364623700289
2011-03,-0.0008495723677057976,3,-0.0008495723677046583,-1.139279642847768e-15,2.5,1.9046809005342833
2011-04,-0.0008495723677057868,4,-0.0008495723677042728,-1.5139799136587584e-15,1.9,1.583526900530967
2011-05,-0.0008495723677057757,5,-0.0008495723677043391,-1.4365678785432934e-15,0.4,1.2494215467040182
2011-06,-0.0008495723677057646,6,-0.0008495723677043518,-1.4128238509658608e-15,0.2,1.0027520437909498
2011-08,-0.0008495723677057475,8,-0.0008495723677041971,-1.5504091066542713e-15,0.4,0.8551765902788592
2011-09,-0.00084957236770573,9,-0.0008495723677050704,-6.595201815229323e-16,1.0,0.9139310561159575
2011-10,-0.000849572367705718,10,-0.0008495723677044652,-1.2527956103070004e-15,0.8,1.005763567912414
2011-11,-0.0008495723677057061,11,-0.0008495723677044195,-1.2866227180885481e-15,1.1,1.0871119761972177
2012-06,-0.0008495723677056874,6,-0.0008495723677043518,-1.335628656284893e-15,0.4,0.11366841539281221
2012-08,-0.000849572367705662,8,-0.0008495723677041971,-1.464865555245165e-15,-0.2,0.013201569156069397
2012-09,-0.0008495723677056425,9,-0.0008495723677050704,-5.720250662033521e-16,0.2,0.008156630034019929
2012-10,-0.000849572367705629,10,-0.0008495723677044652,-1.1637826119459405e-15,0.3,0.013295335889367344
2012-11,-0.0008495723677056156,11,-0.0008495723677044195,-1.1960918366860085e-15,0.3,0.024152828126578516
2012-12,-0.000849572367705595,12,-0.0008495723677043641,-1.2308947264227932e-15,-0.6,0.05797595772154997
2013-04,-0.0008495723677055741,4,-0.0008495723677042728,-1.301367867634351e-15,0.2,0.5731141560396485
