Year-Month,nzd0191_Average_Value,month,climatology,monthly_anomaly,Value
2010-01,12.369422364336861,1,5.34512187462507,7.024300489711791,-1.1
2010-03,12.407586620157327,3,-1.0569669881006356,13.464553608257962,0.7
2010-04,5.564316359024524,4,-1.2194571213475918,6.7837734803721155,1.2
2010-05,8.704562326365794,5,-0.2846905026223312,8.989252828988125,0.9
2010-06,7.257548969708478,6,-1.6598457161127227,8.9173946858212,0.4
2010-07,-6.653076922183422,7,-4.0975650207088465,-2.555511901474575,1.8
2010-08,-3.435795349098616,8,-5.553204426754796,2.11740907765618,1.8
2010-10,5.315385573232717,10,2.3991180439487105,2.916267529284007,1.7
2010-11,3.168386906197139,11,1.2575678654696307,1.9108190407275083,1.3
2010-12,11.67914442744911,12,5.604582755105342,6.074561672343767,2.9
2011-01,10.306823649273467,1,5.34512187462507,4.961701774648397,2.3
2011-02,0.6775952761696796,2,0.9257462404841884,-0.24815096431450878,2.7
2011-03,-1.4953124382949312,3,-1.0569669881006356,-0.4383454501942956,2.5
2011-04,-3.9585207495082972,4,-1.2194571213475918,-2.7390636281607055,1.9
2011-06,5.145989605841103,6,-1.6598457161127227,6.8058353219538255,0.2
2011-08,-1.0327917369561694,8,-5.553204426754796,4.5204126897986265,0.4
2011-09,10.803307301001713,9,-1.4687866433268602,12.272093944328573,1.0
2011-10,14.11631280690808,10,2.3991180439487105,11.71719476295937,0.8
2011-11,3.906265788843163,11,1.2575678654696307,2.6486979233735326,1.1
2012-01,16.764074832365722,1,5.34512187462507,11.418952957740652,1.1
2012-03,8.9438072512171,3,-1.0569669881006356,10.000774239317735,0.7
2012-04,-7.86097834167643,4,-1.2194571213475918,-6.641521220328838,-0.3
2012-05,7.026075864034864,5,-0.2846905026223312,7.3107663666571945,0.0
2012-06,7.617059292897394,6,-1.6598457161127227,9.276905009010116,0.4
2012-08,3.4880015587297195,8,-5.553204426754796,9.041205985484515,-0.2
2012-10,0.19403040065302246,10,2.3991180439487105,-2.205087643295688,0.3
2012-11,10.943717146917539,11,1.2575678654696307,9.686149281447909,0.3
2012-12,12.592287421625207,12,5.604582755105342,6.987704666519864,-0.6
2013-01,-2.811655101714083,1,5.34512187462507,-8.156776976339152,-0.1
2013-02,10.175975766362832,2,0.9257462404841884,9.250229525878643,-0.2
2013-03,-1.4766398370287077,3,-1.0569669881006356,-0.4196728489280721,1.5
2013-05,15.618692676991559,5,-0.2846905026223312,15.90338317961389,0.8
2013-06,4.938777920194649,6,-1.6598457161127227,6.598623636307372,1.2
2013-07,9.38558979515336,7,-4.0975650207088465,13.483154815862207,0.8
2013-08,-7.030899807721478,8,-5.553204426754796,-1.477695380966682,0.2
2013-09,-4.511867657732433,9,-1.4687866433268602,-3.0430810144055727,0.3
2013-10,4.521154412958485,10,2.3991180439487105,2.1220363690097748,-0.1
2013-11,5.8594236870223515,11,1.2575678654696307,4.6018558215527205,0.7
2013-12,1.878513015563909,12,5.604582755105342,-3.7260697395414333,0.1
2014-01,12.793806473596348,1,5.34512187462507,7.448684598971278,1.4
2014-02,-2.289735811436364,2,0.9257462404841884,-3.2154820519205525,0.1
2014-03,2.3015435812029508,3,-1.0569669881006356,3.3585105693035864,0.9
2014-04,-7.73536068913054,4,-1.2194571213475918,-6.515903567782948,0.8
2014-05,0.9395720567379193,5,-0.2846905026223312,1.2242625593602505,0.5
2014-06,-1.639113221870744,6,-1.6598457161127227,0.02073249424197865,0.2
2014-07,-17.520760022447273,7,-4.0975650207088465,-13.423195001738428,-0.2
2014-08,-7.600695245511408,8,-5.553204426754796,-2.0474908187566117,-0.7
2014-09,-14.965954696635748,9,-1.4687866433268602,-13.497168053308888,-0.7
2014-10,-13.959713598355304,10,2.3991180439487105,-16.358831642304015,-0.6
2014-11,-2.02369255183325,11,1.2575678654696307,-3.2812604173028808,-0.9
2014-12,-7.740414270808684,12,5.604582755105342,-13.344997025914026,-0.6
