Year-Month,monthly_anomaly,Value
2000-04,12.465726416084308,1.2
2000-05,11.013925076441257,0.4
2000-06,2.2561880181772356,0.2
2000-08,-0.6251828803077966,0.7
2001-01,5.555499462520715,1.0
2001-04,13.384025436007903,0.2
2001-05,9.317415199797217,-0.5
2001-07,5.863030602682051,-0.2
2001-08,1.382995967804958,-0.4
2001-09,4.93960490967647,0.2
2001-10,5.766282603566502,-0.0
2002-02,11.21295874424953,1.1
2002-08,1.7354557672694404,-1.0
2002-09,4.682338940611527,-0.6
2002-10,2.536995957122433,-0.4
2002-11,4.691858711953229,-0.5
2003-01,6.214939609394883,-0.2
2003-02,8.083090035458559,-0.7
2003-04,10.20093133630673,-0.1
2003-05,9.75069096310975,-0.3
2003-07,8.603087446780219,0.3
2003-08,2.5629499427431806,0.1
2003-09,-0.2203726222346246,-0.1
2003-11,0.8667498888331102,-0.3
2003-12,2.261458210490072,1.1
2004-01,2.7692487239278574,-1.3
2004-02,3.9274673842743826,1.2
2004-03,7.52623398982639,0.4
2004-05,2.1955995868620906,1.0
2004-06,-0.005000181225111949,0.8
2004-08,-3.9953949875959247,-0.3
2004-09,-6.480035851573541,-0.3
2004-11,-5.18753701647879,-0.7
2004-12,-3.3326229565019396,-0.8
2005-02,-2.464855791850049,-3.1
2005-03,1.8845500831083444,0.3
2005-04,-0.20842975724819815,-0.6
2005-05,-0.22442329623488164,-0.8
2005-06,-3.201649884512447,0.4
2005-07,-5.252084278491732,0.2
2005-08,-6.61545250556999,-0.3
2005-10,-8.463432604794365,1.2
2005-11,-6.781087167402118,-0.2
2006-01,-1.22319456140789,1.7
2006-03,1.1671815037512936,1.8
2006-04,1.4638417507688612,1.1
2006-06,-3.096099238996033,0.2
2006-07,-7.679087819912965,-0.6
2006-09,-9.357607658642259,-0.6
2006-10,-9.442342927211417,-1.3
2006-11,-9.965905088782705,0.1
2006-12,-9.436207088968406,-0.3
2007-04,-2.5496745418808744,-0.1
2007-06,10.124029758799377,0.5
2007-07,9.813997822511052,-0.3
2007-09,5.765460114609988,0.2
2007-10,0.7399113928010075,0.7
2008-03,-2.3986787951556954,1.4
2008-06,-6.877352505321267,0.6
2008-11,-7.107218107698232,1.3
2009-01,-1.4974931157723077,1.1
2009-03,0.29178680010808455,0.4
2009-04,0.1768206583816743,0.8
2009-05,0.3394569975134588,-0.1
2009-06,-2.9394817469526715,0.1
2009-07,-5.434893482460284,0.2
2009-09,-7.313079061136715,0.3
2009-11,-12.578388445220051,-0.6
2009-12,-9.67766965543961,-0.7
2010-02,-2.8702390546277146,-1.5
2010-03,0.373459057773604,0.7
2010-04,2.4177733496632547,1.2
2010-06,6.266882162100846,0.4
2010-07,3.1009571162648495,1.8
2010-09,2.3583192239260633,2.2
2010-10,0.3581129678705063,1.7
2010-11,0.43723527945042867,1.3
2010-12,-1.2852656522732193,2.9
2011-01,-0.07608808781710259,2.3
2011-02,0.4222675588307899,2.7
2011-03,-0.6323032286561825,2.5
2011-05,-1.0964323656453654,0.4
2011-08,-1.3867078914551039,0.4
2011-09,0.030209657896235614,1.0
2011-10,1.793154086772189,0.8
2011-11,1.322605623831042,1.1
2012-05,-15.577465716865813,0.0
2012-06,-15.185388229504936,0.4
2012-07,-11.857398000318627,-0.0
2012-08,-9.705823434456375,-0.2
2012-09,-11.30342643305024,0.2
2012-10,-7.433563937087277,0.3
2012-12,-3.7285308554171834,-0.6
2013-05,0.13812757952554644,0.8
2013-06,-2.253020133767139,1.2
2013-07,-3.902609692598692,0.8
2013-08,-4.930418429512442,0.2
2013-09,-6.141514837659066,0.3
2013-10,-7.669083460243671,-0.1
2013-11,-7.669940271796821,0.7
2014-01,-4.531362475427906,1.4
2014-02,-3.3696334763918228,0.1
2014-03,-1.9772708509949408,0.9
2014-05,3.3759985967619706,0.5
2014-06,2.458977401647182,0.2
2014-07,-3.9979922294537182,-0.2
2014-08,-4.205954881805633,-0.7
2014-09,-3.782616423162371,-0.7
2014-10,-6.068969615907108,-0.6
2014-11,-5.526281712761432,-0.9
2015-01,-5.427618235237205,-0.8
2015-02,-2.532276287219448,0.2
2015-03,-1.6950165309825156,0.7
2015-04,1.2629052394217644,-0.0
2015-05,-0.799606866417573,-0.7
2015-06,-1.7162681489064744,0.6
2015-07,-3.6585630577561714,-1.1
2015-08,-4.528888939529911,-1.4
2015-09,-6.037211418218436,-1.6
2015-10,-5.937263241100158,-1.7
2015-11,-4.178633621849528,-0.5
2016-01,-1.013617469316232,-2.2
2016-02,-0.5001761415130211,-2.0
2016-03,0.5481852344697496,0.1
2016-04,2.311415094618194,-1.2
2016-06,2.865592400206477,0.6
2016-07,1.944564744078366,0.4
2016-08,-1.2410524708812978,0.7
2016-09,-1.2017720372652432,1.2
2016-11,-1.0544101884718615,-0.1
2016-12,2.212609971171593,0.3
2017-01,5.072403973983869,0.2
2017-02,5.682677687718774,-0.1
2017-04,12.663327207745029,-0.2
2017-05,11.559593942730952,0.3
2017-06,8.457744109926788,0.4
2017-08,4.9091585995696105,0.5
2017-09,1.857160235505049,0.6
2017-10,-0.4816412637918813,0.9
2017-12,-3.2009573677563696,-0.1
2018-01,-3.552019917629402,1.1
2018-02,-2.25304757375751,-0.5
2018-04,7.798583940296396,0.5
2018-05,5.982413137085654,0.4
2018-06,5.323354335454946,0.1
2018-07,4.639912231048232,0.2
2018-08,3.7506366638742765,-0.3
2018-10,2.4305101870605994,0.4
2018-12,5.849892713233106,1.0
2019-02,10.250405246957987,-1.4
2019-05,9.608965596454437,-0.4
2019-06,10.845540421184523,0.5
2019-08,8.3110875897865,-0.1
2019-10,9.521702733803497,-0.4
2019-11,8.177866599629471,-0.8
2019-12,2.387866081893804,-0.6
2020-01,5.59933829633178,0.2
2020-02,8.773824209399896,-0.1
2020-03,9.44800151498817,0.1
2020-10,15.901647550263386,0.5
2020-11,8.86207310387034,0.7
2020-12,12.53964120871927,1.8
2021-01,12.66875002115687,1.9
2021-03,11.964365941777366,0.4
2021-04,12.397379122671834,0.3
2021-05,14.237241618634794,0.5
2021-06,10.657583307784718,0.4
2021-07,7.2464186653552405,1.4
2021-08,1.778164593528123,0.6
2021-09,-1.5881029180613018,0.8
2021-10,-4.880295216618888,0.7
2021-12,-6.599680072601892,1.5
2022-01,-4.749029517104296,0.5
2022-03,-0.10728410666708227,1.8
2022-04,-0.7380377901924541,1.7
2022-05,-0.08226795413378998,1.4
2022-06,-2.1300253859014817,1.7
2022-07,-2.8207446934175935,0.8
2022-08,-2.7693454632823347,1.0
2022-09,-4.743091684016846,1.6
2022-10,-3.6428697931636655,1.7
2022-11,-4.471226475282889,0.3
2022-12,-3.3669804176760936,2.1
2023-02,-5.813813580211291,1.4
2023-03,-6.169652944891972,0.2
2023-04,-6.767380232934606,0.2
2023-05,-8.532633302984184,-1.0
2023-06,-8.032907793322591,0.3
2023-07,-9.36276003866569,-0.3
2023-08,-8.740064696013606,-0.8
2023-09,-5.755375099954255,-1.3
2023-10,-5.053457809470742,-0.5
2023-11,-4.5412665463844935,-0.8
2023-12,-5.05068474290542,-0.2
2024-01,-5.192500458568156,0.5
2024-02,-3.650702966381386,-1.4
2024-03,-2.039025272491353,0.4
2024-04,-1.387570504925843,-0.2
2024-05,-1.1562524647938655,0.5
2024-06,0.15266857393197342,0.0
2024-07,2.3196884747075908,-0.7
2024-09,3.1725300344235996,-0.1
2024-10,2.1311252776649745,0.5
2024-12,2.3619974651479154,1.2
