Year-Month,monthly_anomaly,Value,Smooth_Value
2010-01,-4.75735167977942e-05,-1.1,-0.9897872364304615
2010-02,2.424589324979966,-1.5,-0.639891240792322
2010-03,2.802438522975652,0.7,0.01359964068467534
2010-04,2.360640891397751,1.2,0.56304692846665
2010-06,1.9445575455341504,0.4,1.1402902916886717
2010-07,1.5102658726023395,1.8,1.4692567370828828
2010-08,-3.9758154870459097,1.8,1.717931296752732
2010-09,-2.9704643028348565,2.2,1.8671198933612125
2010-10,-2.4619008191248817,1.7,1.9321060537712973
2010-12,-3.4773167566236345,2.9,2.332476411773989
2011-01,-1.847838963311454,2.3,2.4604497365213556
2011-02,0.748734809794158,2.7,2.4253285725820106
2011-03,1.2387308373634285,2.5,2.1330970884837077
2011-04,2.1312228925019765,1.9,1.6051307332893405
2011-05,1.539786376211948,0.4,1.0169432921454769
2011-06,1.3712070027790646,0.2,0.6679250764032887
2011-08,-1.5477354721570564,0.4,0.6516513470284173
2011-09,-2.781670002231725,1.0,0.8404190813216383
2011-10,-4.927396205238192,0.8,1.0712605588084962
2011-11,-6.754904150099645,1.1,1.3178896869862748
2012-06,-9.027320258187363,0.4,0.05943381364569758
2012-08,-3.007112552349508,-0.2,0.0376923205491466
2012-09,-2.0303327967098794,0.2,0.07841439070791689
2012-10,-2.0831978844284857,0.3,0.07657435479577653
2012-11,-2.950709801720663,0.3,0.0005691139132383422
2012-12,-1.1780371889381855,-0.6,-0.08734184182925653
2013-04,4.995323888758856,0.2,0.6957604779802276
2013-05,4.521866211232163,0.8,0.8064724511421395
2013-06,2.552095699537019,1.2,0.8216744786762366
2013-07,-0.72243406863288,0.8,0.6740416633019274
2013-08,-1.8304201901858952,0.2,0.4551861576351097
2013-09,-1.946856706475921,0.3,0.3096360433429728
2013-10,-2.0793586926912857,-0.1,0.27471401207029705
2013-11,-4.4147257666252475,0.7,0.38369459001891676
2013-12,-7.142946010985621,0.1,0.5124324723812641
2014-01,-4.672061098704221,1.4,0.6696643459024141
2014-02,-3.007248277066031,0.1,0.6908612920560041
2014-03,-2.023506552963383,0.9,0.7183132235971011
2014-05,-1.1210224426862938,0.5,0.4445705855486947
2014-06,0.8755767553093927,0.2,0.14882258161675058
2014-07,-0.6847863461938425,-0.2,-0.1828188571475681
2014-08,-1.2787198831608209,-0.7,-0.47051392722209645
2014-09,-1.958194099951923,-0.7,-0.6416407366579129
2014-10,-2.136593908848561,-0.6,-0.719986008161615
2014-11,-1.617316139424296,-0.9,-0.7538535763630698
