dates,nzd0170-0000,nzd0170-0001,nzd0170-0002,nzd0170-0003,nzd0170-0004,nzd0170-0005,satname
2005-04-21 21:52:46+00:00,343.64,340.9173684,354.6629412,365.43,349.9528571,352.78,L5
2005-05-23 21:53:00+00:00,342.97,338.5868421,356.4482353,348.38,348.5857143,353.02,L5
2005-05-31 21:55:35+00:00,,,,,368.5014286,358.7133333,L7
2005-06-08 21:53:09+00:00,341.5566667,343.84,356.0405882,356.61,367.2785714,370.7266667,L5
2005-08-03 21:55:25+00:00,322.6933333,320.57,334.3794118,345.84,342.0714286,347.7233333,L7
2005-08-19 21:55:20+00:00,323.6833333,319.2731579,334.5311765,346.61,345.3457143,350.9133333,L7
2005-10-30 21:53:39+00:00,344.65,341.0489474,352.8188235,363.85,353.87,362.5,L5
2006-01-10 21:55:28+00:00,318.1033333,324.1210526,335.7247059,341.55,330.6085714,351.0233333,L7
2006-02-11 21:55:41+00:00,319.6966667,,,338.69,328.6628571,341.0066667,L7
2006-02-19 21:56:39+00:00,308.36,308.4684211,331.39,318.41,329.6257143,337.52,L5
2006-04-08 21:57:12+00:00,322.6233333,329.0468421,347.2076471,349.95,340.7671429,348.8033333,L5
2006-05-02 21:56:05+00:00,315.78,315.0057895,330.6988235,334.24,,,L7
2006-06-19 21:55:36+00:00,,,,,332.2557143,346.25,L7
2006-06-27 21:58:48+00:00,321.82,315.3852632,336.6082353,337.15,339.4514286,342.39,L5
2006-07-05 21:55:30+00:00,325.2966667,337.2436842,354.8411765,352.87,383.4471429,,L7
2006-07-13 21:58:38+00:00,331.19,337.5973684,342.3647059,356.12,346.0585714,361.12,L5
2006-07-21 21:55:21+00:00,,324.37,335.2588235,348.22,337.7428571,341.4466667,L7
2006-08-22 21:55:41+00:00,,323.3763158,335.7276471,344.55,332.3157143,337.71,L7
2006-09-23 21:55:30+00:00,327.3766667,330.8326316,340.8317647,350.7,343.0428571,341.4166667,L7
2006-11-26 21:56:05+00:00,335.97,324.9631579,342.4176471,354.46,350.1971429,346.87,L7
2007-01-29 21:56:21+00:00,,327.4705263,338.9394118,347.59,,,L7
