dates,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0024,satname
2001-03-10 21:50:10+00:00,378.89,375.73,372.47,369.4442105,369.6929412,368.64,364.97,361.8576923,356.4542857,351.9042857,354.23,349.99,352.97,346.6529412,347.22,344.7342857,331.1242857,329.9742857,334.36,333.02,343.6929412,338.9142857,325.7281818,L7
2001-04-04 21:43:43+00:00,373.62,366.84,366.86,362.8010526,357.8694118,354.93,353.57,349.5830769,342.7342857,339.1042857,338.62,340.06,341.77,339.7394118,334.74,331.2542857,324.5642857,322.5042857,325.35,329.7,339.7794118,339.6942857,314.1590909,L7
2001-04-20 21:43:46+00:00,368.96,364.12,359.6411111,357.0284211,356.1835294,351.07,348.4133333,344.0607692,337.8642857,334.7342857,334.2633333,335.51,335.3,335.5635294,330.78,323.5742857,316.3042857,308.9042857,315.5,317.8611111,327.8635294,323.9042857,301.62,L7
2001-07-25 21:42:54+00:00,379.58,379.09,376.6011111,372.5768421,368.7294118,364.17,363.0433333,360.6861538,358.2128571,354.2528571,350.8633333,348.02,350.02,348.2894118,348.66,344.5328571,330.4128571,323.5728571,325.28,,328.2694118,336.2928571,,L7
2001-08-10 21:42:36+00:00,376.68,373.555,368.3166667,367.6236842,364.6123529,359.535,,,,,,,340.955,341.2623529,338.435,337.3542857,319.4242857,312.3542857,322.575,,325.9823529,329.0442857,,L7
2001-08-26 21:42:25+00:00,370.47,366.085,365.5244444,362.3289474,356.2741176,354.695,350.7433333,346.6415385,347.9542857,340.6642857,342.4533333,343.755,339.615,340.2441176,338.965,335.5342857,323.7242857,320.3442857,320.235,323.9744444,331.7041176,328.8942857,302.6781818,L7
2001-09-18 21:48:17+00:00,375.1,370.97,366.7866667,364.0010526,363.7611765,357.8,356.95,353.1615385,349.2,344.29,348.97,345.8,345.13,341.7911765,339.97,336.66,327.61,324.54,325.4,323.5866667,331.1411765,335.08,317.7763636,L7
2001-09-27 21:42:05+00:00,370.6,363.81,364.1477778,361.0052632,358.6817647,357.02,351.3333333,343.9346154,342.78,338.67,340.3133333,339.72,337.56,338.0617647,335.55,331.32,321.41,317.12,322.86,324.8377778,334.8017647,330.89,346.8681818,L7
2001-10-04 21:48:06+00:00,372.78,368.28,364.3577778,362.6536842,364.1676471,361.29,358.5733333,352.72,350.9485714,345.3285714,347.0333333,342.62,344.51,345.0576471,343.37,337.4685714,325.8985714,320.4985714,325.4,326.0577778,335.3676471,335.5985714,313.3045455,L7
2001-10-13 21:41:51+00:00,373.12,364.125,362.8422222,360.2942105,355.1458824,352.295,348.6666667,346.1161538,342.3742857,338.4142857,336.4866667,338.335,338.575,337.4858824,333.595,330.1342857,322.9442857,312.4542857,321.005,322.0922222,334.5858824,328.6642857,347.1363636,L7
2001-10-20 21:48:09+00:00,378.8,376.91,371.7822222,366.3942105,367.8735294,361.35,362.1466667,358.5038462,353.4728571,352.1228571,349.3466667,346.18,345.78,341.9435294,339.96,339.0828571,328.9328571,330.8928571,334.8,329.1022222,347.5735294,345.9628571,348.9972727,L7
2001-10-29 21:41:57+00:00,373.65,367.56,362.7855556,362.8394737,358.2841176,352.55,352.9366667,343.6061538,343.2357143,339.0157143,341.7866667,342.45,341.32,339.5141176,337.55,332.1557143,325.9257143,319.3357143,323.82,330.7555556,338.3741176,341.0457143,354.8772727,L7
2002-02-02 21:42:30+00:00,374.44,374.065,369.0022222,366.5568421,365.3847059,359.255,355.2866667,355.9192308,351.5371429,349.0071429,348.7866667,345.115,343.485,345.1147059,344.285,341.3271429,333.6971429,327.5971429,332.205,328.0622222,343.2847059,344.4971429,375.6709091,L7
2002-02-09 21:48:45+00:00,364.91,,,,,348.32,346.69,341.9415385,342.3171429,335.0071429,336.35,334.34,330.55,335.0847059,334.7,330.9971429,,,,,337.6247059,334.5371429,369.0845455,L7
2002-02-18 21:42:30+00:00,372.71,371.96,367.0988889,364.6015789,362.7564706,355.74,355.1766667,349.0592308,351.3557143,344.2157143,345.1566667,341.92,341.04,342.5964706,340.65,340.8157143,331.7457143,329.7957143,330.04,334.7388889,344.7664706,345.6557143,375.42,L7
2002-02-25 21:48:47+00:00,368.08,365.875,364.69,360.2831579,358.3858824,352.085,346.73,342.6869231,342.7814286,337.6614286,340.38,337.955,337.305,338.3258824,339.935,335.9114286,327.5814286,319.9514286,326.075,328.29,339.3858824,337.6014286,369.5081818,L7
2002-03-22 21:42:28+00:00,370.97,368.605,366.6977778,363.3721053,360.6758824,357.435,351.8833333,349.3376923,348.2985714,344.9085714,345.4133333,342.295,342.325,341.8358824,345.105,342.3985714,334.8585714,330.7085714,332.805,331.5377778,340.7858824,340.1285714,361.07,L7
2002-04-07 21:42:28+00:00,366.28,361.005,359.2933333,356.4215789,354.48,350.105,346.45,341.9138462,341.9942857,336.5142857,338.79,336.065,334.205,336.7,334.805,331.0142857,326.0142857,314.2342857,319.585,322.0933333,334.45,326.1242857,289.0772727,L7
2002-04-14 21:48:38+00:00,373.95,370.215,365.9366667,364.9084211,364.48,359.415,356.53,354.1661538,348.9057143,346.9857143,348.16,344.595,346.375,345.8,345.425,345.0557143,331.5657143,328.8557143,330.925,335.8766667,344.65,342.2757143,327.0027273,L7
2002-05-16 21:48:34+00:00,382.58,379.78,379.1988889,375.8363158,371.8341176,368.84,366.2066667,366.6384615,359.5371429,360.0371429,357.4766667,355.28,353.81,351.0941176,350.99,349.0871429,341.3571429,335.7071429,339.22,338.7088889,351.5641176,348.0871429,,L7
2002-06-01 21:48:28+00:00,372.77,370.595,369.4477778,366.2715789,364.2611765,357.645,356.2733333,355.0261538,352.0714286,350.3614286,348.8833333,347.735,346.065,345.5311765,346.955,345.9214286,340.1814286,337.1614286,340.195,,343.2411765,338.3914286,,L7
