dates,nzd0295-0000,nzd0295-0001,nzd0295-0002,nzd0295-0003,nzd0295-0004,nzd0295-0005,nzd0295-0006,nzd0295-0007,nzd0295-0008,nzd0295-0009,nzd0295-0010,nzd0295-0011,nzd0295-0012,nzd0295-0013,nzd0295-0014,nzd0295-0015,nzd0295-0016,nzd0295-0017,nzd0295-0018,nzd0295-0019,nzd0295-0020,nzd0295-0021,nzd0295-0022,nzd0295-0023,nzd0295-0024,nzd0295-0025,nzd0295-0026,nzd0295-0027,nzd0295-0028,nzd0295-0029,nzd0295-0030,nzd0295-0031,nzd0295-0032,nzd0295-0033,nzd0295-0034,nzd0295-0035,nzd0295-0036,nzd0295-0037,nzd0295-0038,nzd0295-0039,nzd0295-0040,nzd0295-0041,nzd0295-0042,nzd0295-0043,nzd0295-0044,nzd0295-0045,nzd0295-0046,nzd0295-0047,nzd0295-0048,nzd0295-0049,nzd0295-0050,nzd0295-0051,nzd0295-0052,nzd0295-0053,nzd0295-0054,nzd0295-0055,nzd0295-0056,nzd0295-0057,nzd0295-0058,nzd0295-0059,nzd0295-0060,nzd0295-0061,nzd0295-0062,nzd0295-0063,nzd0295-0064,nzd0295-0065,nzd0295-0066,nzd0295-0067,nzd0295-0068,nzd0295-0069,nzd0295-0070,nzd0295-0071,nzd0295-0072,nzd0295-0073,nzd0295-0074,nzd0295-0075,nzd0295-0076,nzd0295-0077,nzd0295-0078,nzd0295-0079,nzd0295-0080,nzd0295-0081,satname
2000-05-03 21:46:43+00:00,367.31,377.3014286,387.88,367.22,360.8,351.42,348.31,347.76,350.32,356.92,357.09,359.36,362.91,372.24,373.95,377.15,379.59,377.09,373.51,374.24,367.52,367.77,374.31,377.53,383.37,381.29,385.99,389.91,379.7414286,369.8,367.43,358.62,365.7,358.85,363.74,373.5914286,370.97,372.56,376.25,367.18,368.26,375.88,375.29,394.72,385.7,381.72,383.93,395.12,394.07,387.17,382.73,389.22,384.69,380.9,382.53,385.18,384.57,390.83,387.2,383.02,378.2,367.9,369.97,359.8614286,357.5014286,361.2514286,375.6,357.93,352.7214286,356.2014286,354.1514286,360.02,349.88,343.48,342.25,331.29,328.22,324.96,325.56,330.22,335.4,324.09,L7
2000-05-19 21:46:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,395.99,389.81,372.83,371.34,364.79,366.96,367.76,374.11,374.97,373.15,379.11,374.52,374.5,369.86,371.69,375.69,383.2,387.45,391.94,391.02,391.47,393.69,390.61,395.36,395.44,391.83,384.93,383.45,387.05,389.13,388.94,389.81,388.41,381.2,375.97,373.62,363.25,360.2,361.38,358.8,355.98,353.34,354.49,360.88,364.52,362.49,367.05,357.34,352.34,334.85,330.72,330.36,333.46,331.12,337.88,350.8,L7
2000-07-13 21:52:07+00:00,346.9611111,357.9385714,358.83,349.4611111,344.8411111,317.3711111,310.0911111,310.8,318.9411111,324.03,327.2611111,326.83,334.33,339.2111111,349.0811111,344.78,348.73,345.91,342.7911111,340.9,337.4911111,338.01,344.0511111,345.25,351.7311111,348.93,355.7911111,367.3311111,352.9585714,353.5411111,352.3511111,350.71,352.22,347.0211111,351.35,346.9285714,351.16,361.0411111,361.2811111,362.51,363.18,356.3711111,354.89,367.21,373.9411111,375.56,376.9111111,360.92,353.0866667,360.24,365.2711111,363.76,350.46,347.66,353.91,353.6411111,348.8911111,353.5111111,345.72,346.2711111,345.0211111,342.71,337.39,319.9585714,324.2285714,314.2085714,323.79,324.14,,,,,323.02,318.2911111,312.5511111,308.23,304.16,298.36,310.4211111,310.32,306.39,,L7
2000-07-29 21:51:50+00:00,364.45,375.4571429,362.68,354.56,348.09,329.33,322.94,320.02,329.82,336.75,339.64,337.49,352.71,346.86,355.88,354.07,357.35,350.14,354.99,358.85,355.32,348.64,359.31,369.3,372.94,366.98,373.37,374.76,366.2071429,366.09,381.23,372.72,360.12,360.17,361.04,363.0971429,364.23,383.91,392,371.89,390.12,387.68,377.96,383.24,386.15,382.45,384.71,387.65,385.34,398.44,374.85,377.02,366.75,372.9,375.51,363.1,366.96,356.46,361.62,359,362.41,353.62,345.96,343.3371429,347.2871429,342.6471429,343.27,339.14,334.9671429,334.2271429,334.4471429,347.13,344.64,342.93,335.02,341.78,339.2,322.08,319.84,327.2,332.15,332.36,L7
2000-08-07 21:45:32+00:00,363.5144444,367.4942857,367.24,359.6644444,353.3344444,346.1244444,328.7144444,327.45,328.4044444,334.61,338.4144444,342.94,349.56,354.5944444,359.7044444,357.29,357.6,356.8,357.8744444,354.93,351.3844444,354.46,359.1644444,362.73,369.6444444,372.13,372.2444444,374.9344444,372.1042857,371.4944444,369.1144444,366.94,366.53,367.0144444,370.71,367.9942857,374.35,376.2844444,378.5144444,377.59,392.47,392.8744444,387.55,386.15,391.7244444,383.63,384.8244444,390.71,383.2466667,385.43,382.7444444,380.81,367.44,370.55,371.15,373.7944444,369.4144444,364.4844444,362.34,358.0744444,360.7844444,362.1,360.19,353.4842857,348.5642857,350.2942857,345.48,347.6,344.4142857,341.1242857,342.4142857,345.56,341.78,333.7844444,331.1344444,329.21,329.55,327.18,331.2244444,332.76,332.62,332.48,L7
2000-08-14 21:51:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,352.38,358.97,354,352.39,353.63,352.7942857,348.96,,,332.73,344.35,348.21,350.0442857,,,359.26,364.92,364.44,359.03,361.67,354.73,359.4,347.5,350.07,349.78,,352.74,360.14,352.78,343.2,,,,340.81,346.1,343.79,347.25,348.06,351.47,345.71,336.1642857,333.3242857,331.3642857,334.55,332.42,327.2242857,328.0042857,329.6942857,331.33,326.46,321.79,319.92,312.86,312.38,311.1,318.86,320.42,318.2,327.74,L7
2000-09-15 21:51:13+00:00,361.7077778,373.9457143,363.6,355.2577778,353.7677778,341.8477778,325.7677778,323.03,323.6377778,332.4,344.1677778,344.85,348.2,348.3777778,355.5977778,353.76,353.34,360.15,357.2477778,358.83,358.9377778,354.61,356.7177778,360.94,367.7877778,367.87,369.4977778,375.7677778,369.0457143,365.6377778,359.5377778,360.17,358.67,363.5177778,368.69,371.0957143,370.58,376.4677778,377.9177778,372.02,371.51,374.8577778,373.02,377.92,383.9877778,388,388.3277778,386.66,380.8766667,388.64,389.9377778,381.17,367.58,369.02,372.79,374.9877778,371.3377778,366.8877778,366.46,358.9777778,354.9277778,352.13,341.34,337.6557143,334.8557143,330.3657143,338.86,341.61,339.7357143,337.4957143,336.4357143,342.63,336,329.2677778,326.5477778,323.14,316.24,310.77,319.0777778,324.13,327.07,327.76,L7
2000-10-26 21:44:46+00:00,364.9888889,373.3642857,363.41,351.8488889,343.9588889,335.1088889,336.3988889,328.91,331.2288889,344.02,353.3388889,346.99,354.58,360.7188889,365.6088889,372.33,363.65,361.43,355.1888889,355.09,361.0188889,362.59,363.5488889,367.96,366.2988889,357.28,367.0288889,381.1388889,365.0742857,363.7688889,361.3488889,362.02,365.32,362.6288889,366.8,372.9742857,375.04,376.6788889,378.4088889,378.24,376.22,369.9888889,373.06,376.94,377.4288889,386.03,393.2588889,395.22,382.6633333,381.09,385.8488889,387.43,373.9,362.32,368.48,377.5288889,381.9388889,372.3888889,361.43,365.1588889,360.8088889,357.07,347.86,335.8542857,343.0142857,340.0142857,350.31,345.35,341.9242857,350.8742857,342.7742857,350.74,347.45,335.5988889,328.7888889,325.56,323.15,326.98,330.8788889,325.81,332.7,342.84,L7
2000-11-27 21:44:50+00:00,371.3444444,386.8042857,374.58,361.5744444,358.4344444,351.4144444,342.9844444,341.85,349.6444444,355.52,356.8144444,358.21,359.23,368.1544444,379.2444444,379.88,371.83,368.54,363.8744444,365.41,371.7144444,372.63,375.7744444,380.59,379.0444444,379.86,381.7844444,387.3444444,385.7542857,381.7444444,378.3344444,373.29,373.61,372.2444444,377.3,378.9742857,375.97,375.8644444,383.0644444,376.63,379.86,389.1444444,395.62,391.95,389.4144444,391.03,401.2344444,400.72,395.7466667,400.61,394.9244444,392.18,383.23,381.21,381.27,388.1144444,384.6944444,388.2844444,377.74,374.3944444,371.0344444,368.61,361.18,355.1242857,354.5642857,354.9642857,353.38,355.01,351.8542857,353.7242857,351.2142857,358.47,351.09,346.8744444,343.8844444,339.59,333.83,331.72,328.9944444,335.49,336.69,345.17,L7
2000-12-13 21:44:52+00:00,369.5566667,377.6942857,363.39,355.0566667,349.3566667,343.7366667,332.6966667,,,,,,,,,,,,,,,,,364.22,367.7266667,375.33,372.7266667,387.9366667,378.7842857,365.3966667,365.1166667,363.08,361.22,363.4866667,368.94,373.0142857,372.65,373.6466667,371.0166667,373.63,372.85,373.2966667,380.29,380.42,383.2666667,387.99,398.5866667,394.1,387.76,395.46,389.2666667,378.11,,,,,,,,,,,,,,,,,342.7542857,344.9142857,344.3142857,350.1,347.2,342.3266667,331.6266667,326.93,326.66,316.39,321.2066667,327.87,334.25,336.36,L7
