Year-Month,Value,Smooth_Value
2010-03,0.7,0.02933595641607628
2010-04,1.2,0.41818033978076175
2010-05,0.9,0.7725242339369671
2010-06,0.4,1.0985784069402929
2010-07,1.8,1.4122056871946334
2010-08,1.8,1.676374763691785
2010-09,2.2,1.8834168797781592
2010-10,1.7,2.035023789258517
2010-11,1.3,2.1568579148420213
2010-12,2.9,2.2492147414118793
2011-01,2.3,2.2475111925420204
2011-02,2.7,2.1364395857394176
2011-03,2.5,1.904666524391727
2011-04,1.9,1.5835296174929798
2011-05,0.4,1.2494432349886826
2011-06,0.2,1.0027838795868542
2011-07,1.0,0.8796109087076333
2011-08,0.4,0.8551994327592396
2011-09,1.0,0.9139400419804333
2011-10,0.8,1.0057570705426957
2011-11,1.1,1.0870910394507427
2011-12,2.5,1.0988031974813124
2012-01,1.1,0.9827322189258374
2012-02,0.5,0.7868109520151152
2012-03,0.7,0.5678513891090204
2012-04,-0.3,0.36094910773111855
2012-05,0.0,0.21120555873020017
2012-06,0.4,0.11367722462894639
2012-07,-0.0,0.04742877349213751
2012-08,-0.2,0.01320432503503938
2012-09,0.2,0.008156842801592155
2012-10,0.3,0.013296135638101302
2012-11,0.3,0.02415776726862901
2012-12,-0.6,0.05798560791638447
2013-01,-0.1,0.1529094260357312
2013-02,-0.2,0.2972384085535865
2013-03,1.5,0.4601322434909978
2013-04,0.2,0.5731013050027585
2013-05,0.8,0.6463914528190591
2013-06,1.2,0.661998500224929
2013-07,0.8,0.6135490120842552
2013-08,0.2,0.5354053189964578
2013-09,0.3,0.4760472284974868
2013-10,-0.1,0.458558722076707
2013-11,0.7,0.49269404392449356
2013-12,0.1,0.5459151448796871
2014-01,1.4,0.6013805247048787
2014-02,0.1,0.6084854039016595
2014-03,0.9,0.5770939345100171
2014-04,0.8,0.4785693679182971
2014-05,0.5,0.3087243777634481
2014-06,0.2,0.08770934479694725
2014-07,-0.2,-0.14984256729770234
2014-08,-0.7,-0.3607959028795338
2014-09,-0.7,-0.5058129678924674
2014-10,-0.6,-0.5712395257477489
2014-11,-0.9,-0.5581245655021254
2014-12,-0.6,-0.46969472802571655
2015-01,-0.8,-0.33506237684231677
2015-02,0.2,-0.1932061770296521
2015-03,0.7,-0.11830839459686676
2015-04,-0.0,-0.1547789720188033
2015-05,-0.7,-0.28506813776271644
2015-06,0.6,-0.4799067478636654
2015-07,-1.1,-0.7414429818090997
2015-08,-1.4,-0.9900579081851357
2015-09,-1.6,-1.1732813947949197
2015-10,-1.7,-1.2696828233170896
2015-11,-0.5,-1.2901413536444597
2015-12,-0.6,-1.278118396293047
