Year-Month,nzd0311_Average_Value,Value,Smooth_Value
2007-01,367.3458647642425,-0.8,-0.3251171629243425
2007-02,366.5056442466974,-0.1,-0.27127646745360723
2007-03,362.34193177273204,0.2,-0.19327525382936506
2007-05,359.9717954890952,-0.1,-0.01611316116153752
2007-06,358.3662962611496,0.5,0.0948868859175242
2007-09,358.2929429201822,0.2,0.6084864403752815
2007-10,359.11031422912396,0.7,0.8513606219970336
2007-11,361.2159480599776,0.9,1.0940789081800009
2007-12,362.89207503892214,1.7,1.2953904680150359
2008-01,363.52347106288136,1.8,1.401914538831738
2008-02,363.10834097079476,2.6,1.3855584537087702
2008-05,362.3137276999187,-0.1,0.8805020253509426
2008-06,360.76471424225196,0.6,0.8036308421554593
2008-07,359.5200060945817,0.3,0.8161563924588865
2008-08,359.2237065181759,1.0,0.9048625807781062
2008-10,359.6574237628344,1.3,1.1348594801181024
2009-01,361.73824431995774,1.1,1.1752289897296215
2009-03,364.7042328723553,0.4,0.8590286427428732
2009-04,365.6925766234615,0.8,0.6335201139034912
2009-05,364.68712528192503,-0.1,0.39640784785183536
2009-07,363.7180361384223,0.2,-0.030717205971148548
2009-08,363.0278887924796,-0.2,-0.2310582526256286
2009-09,362.0302486936593,0.3,-0.4182142383947497
2009-12,360.64158221186904,-0.7,-0.6713166809489718
2010-01,362.946854089169,-1.1,-0.5592312409409007
2010-04,365.3888312610257,1.2,0.41098224702648256
2010-05,369.07730960693993,0.9,0.7621025334186409
2010-07,373.00628440773426,1.8,1.4022457638259775
2010-08,375.23460527045313,1.8,1.6678034762774099
2010-10,377.6841659574966,1.7,2.031232789839653
2010-11,379.0898603331253,1.3,2.1489598401868872
2011-01,378.48950396060803,2.3,2.2205973218687327
2011-02,374.86407445409264,2.7,2.10886937165362
2011-03,368.62852097139415,2.5,1.8878973635331349
2011-07,363.30257694312263,1.0,0.9179520738607723
2011-09,361.19043374016735,1.0,0.9254522730675506
2011-10,360.6146651517849,0.8,0.9980830630376822
2012-03,361.0881156048575,0.7,0.5680209458166249
2012-05,362.0662028262491,0.0,0.22510968255973052
2012-06,363.4897212578245,0.4,0.12482381936134532
2012-08,364.800338525438,-0.2,0.017654910841200806
2012-09,365.36801815487706,0.2,0.009631656172533002
2012-10,365.63483815464735,0.3,0.015315364570368323
2012-11,366.45446207256924,0.3,0.030702822046203646
2012-12,367.8313420739208,-0.6,0.06958360432588886
2013-01,370.0321164158029,-0.1,0.16257836075738483
2013-02,371.278630898949,-0.2,0.29845876541828553
2013-03,370.4574417130365,1.5,0.4495853448388478
2013-05,368.4478175995753,0.8,0.6280553586729892
2013-06,364.4080770071153,1.2,0.646791522820522
2013-07,359.98535876278095,0.8,0.6086549453309916
2013-08,359.3387736304933,0.2,0.543502656205822
2013-09,359.2473642675591,0.3,0.493150751363251
2013-10,360.82715978482975,-0.1,0.4779464107086502
2013-11,364.62874814556363,0.7,0.5061648921871899
2013-12,364.20078518179525,0.1,0.5499598030747488
2014-01,364.32402543896495,1.4,0.5935994448855075
2014-02,368.09926882741956,0.1,0.5932296314414737
2014-03,368.47484167739486,0.9,0.5553962112593106
2014-04,367.4058543083036,0.8,0.4558181808905904
2014-05,365.6611088324361,0.5,0.2917522736831785
2014-06,362.02645716183116,0.2,0.0819665866792769
2014-07,360.71582998412407,-0.2,-0.1417553001841093
2014-08,363.2768460448858,-0.7,-0.3402527186374313
2014-09,364.3826824621624,-0.7,-0.47800529414963183
2014-10,364.73049822821866,-0.6,-0.5419768572748163
2014-11,366.32324789599426,-0.9,-0.533005907682736
2014-12,369.83455609631204,-0.6,-0.45555739146346724
2015-01,371.99492625119217,-0.8,-0.337033385476915
2015-03,371.29074012352476,0.7,-0.1514132771834069
2015-04,367.7459930843644,-0.0,-0.18918100462768112
2015-05,363.56518552613176,-0.7,-0.31345215857547654
2015-06,360.3449483182794,0.6,-0.4986882728636996
2015-08,360.87339435125887,-1.4,-0.9778704611111998
2015-09,360.76779791054616,-1.6,-1.154002666225749
2015-10,360.21755671438063,-1.7,-1.2505232072257995
2015-11,361.716559810965,-0.5,-1.2739233879361067
2015-12,368.9623075801043,-0.6,-1.2587868117298138
2016-01,378.9875209455624,-2.2,-1.1913268702340565
2016-03,378.68718610677263,0.1,-0.7426358255606083
2016-04,373.8978590973441,-1.2,-0.43903087168277755
2016-05,370.44336494222483,0.4,-0.12264804140729157
2016-06,366.36032631688886,0.6,0.1420719710480961
2016-07,362.31309940657246,0.4,0.32335397405358773
2016-08,362.569546725902,0.7,0.418043277788879
2016-09,362.3166863254856,1.2,0.4277755690553165
2016-10,361.16927962908693,-0.3,0.37180882979244245
2016-12,358.57513415135264,0.3,0.29087824331106954
