Year-Month,nzd0232_Average_Value,Value,Smooth_Value
2010-06,330.78123547506385,0.4,1.3491634468649525
2010-07,331.0544028569876,1.8,1.4565102218740138
2010-10,333.4419096739169,1.7,1.927033921167525
2010-11,337.68847273443924,1.3,2.061032776486657
2011-01,341.2788038850159,2.3,2.1791222818808165
2011-02,344.32075635508727,2.7,2.086236192822492
2011-03,346.19149611222747,2.5,1.878902311897896
2011-04,346.5314976780508,1.9,1.5874991683792299
2011-08,346.6251782773093,0.4,0.8870934010216411
2012-01,346.5496832783882,1.1,0.9074859589646953
2012-02,346.3224498058256,0.5,0.7147659256553924
2012-04,345.5728735547706,-0.3,0.32964316290899276
2012-05,344.2976312705674,0.0,0.2330934007841432
