Year-Month,nzd0070_Average_Value,month,climatology,monthly_anomaly,Value
2010-01,19.345386056727847,1,6.209371349846502,13.136014706881344,-1.1
2010-02,13.84177075927003,2,-0.45828168896785637,14.300052448237887,-1.5
2010-03,10.943664374258601,3,4.259992454901295,6.683671919357306,0.7
2010-04,17.490562388412496,4,4.323447848969938,13.167114539442558,1.2
2010-05,-7.088853936090359,5,-0.25251215866902776,-6.836341777421332,0.9
2010-08,3.2919583325628317,8,0.3861980339819814,2.90576029858085,1.8
2010-10,8.816646326429954,10,-14.398583226316426,23.21522955274638,1.7
2010-11,0.28484911010975367,11,-1.8334111816941676,2.1182602918039213,1.3
2010-12,-10.068264452898548,12,0.5944912988644486,-10.662755751762997,2.9
2011-01,-6.925633077960427,1,6.209371349846502,-13.13500442780693,2.3
2011-03,14.209334909405538,3,4.259992454901295,9.949342454504244,2.5
2011-04,-15.964960054659448,4,4.323447848969938,-20.288407903629384,1.9
2011-05,0.8650513286949808,5,-0.25251215866902776,1.1175634873640086,0.4
2011-07,6.522159300220598,7,-5.227535477208568,11.749694777429166,1.0
2011-08,-5.8912779844926515,8,0.3861980339819814,-6.2774760184746325,0.4
2011-09,-16.14260137419678,9,-10.651880622650618,-5.490720751546162,1.0
2012-01,-12.541251811364537,1,6.209371349846502,-18.75062316121104,1.1
2012-03,3.7289391795459608,3,4.259992454901295,-0.5310532753553341,0.7
2012-04,3.203270526521808,4,4.323447848969938,-1.1201773224481295,-0.3
2012-06,-45.54557174051716,6,1.965418126618023,-47.51098986713519,0.4
2012-07,-26.560212639817816,7,-5.227535477208568,-21.332677162609247,-0.0
2012-09,-22.08420674825922,9,-10.651880622650618,-11.432326125608602,0.2
2012-10,-17.867141509777404,10,-14.398583226316426,-3.468558283460979,0.3
2012-11,1.2809289687428658,11,-1.8334111816941676,3.1143401504370334,0.3
2012-12,-2.8119645948159437,12,0.5944912988644486,-3.406455893680392,-0.6
2013-01,-8.112277678632886,1,6.209371349846502,-14.321649028479388,-0.1
2013-02,1.7779171093304793,2,-0.45828168896785637,2.236198798298336,-0.2
2013-04,25.075002929106766,4,4.323447848969938,20.75155508013683,0.2
2013-05,5.576011809622077,5,-0.25251215866902776,5.828523968291105,0.8
2013-06,-6.624710860805339,6,1.965418126618023,-8.590128987423363,1.2
2013-07,-22.021716757300357,7,-5.227535477208568,-16.794181280091788,0.8
2013-08,-2.119972962796457,8,0.3861980339819814,-2.5061709967784385,0.2
2013-09,-20.335633679503694,9,-10.651880622650618,-9.683753056853076,0.3
2013-10,-24.776944113918802,10,-14.398583226316426,-10.378360887602376,-0.1
2013-11,0.025793721150043414,11,-1.8334111816941676,1.859204902844211,0.7
2013-12,15.160422985680441,12,0.5944912988644486,14.565931686815992,0.1
2014-01,-3.184121185001347,1,6.209371349846502,-9.393492534847848,1.4
2014-02,-6.112327872026995,2,-0.45828168896785637,-5.654046183059139,0.1
2014-03,-8.730277768624475,3,4.259992454901295,-12.99027022352577,0.9
2014-04,11.32855192604001,4,4.323447848969938,7.005104077070072,0.8
2014-05,4.128850278674809,5,-0.25251215866902776,4.381362437343837,0.5
2014-09,-25.41569917762187,9,-10.651880622650618,-14.763818554971254,-0.7
2014-10,-44.58844219164419,10,-14.398583226316426,-30.189858965327765,-0.6
2014-12,-0.7011244556980829,12,0.5944912988644486,-1.2956157545625315,-0.6
