Year-Month,nzd0161_Average_Value
1999-08,392.92044131655183
1999-09,392.7543364805747
1999-11,392.3812192016833
1999-12,391.4346337562014
2000-05,390.62679497706426
2000-07,390.5741246021837
2000-10,391.668149856193
2000-11,392.8760205101524
2000-12,394.0033268367884
2001-02,394.49704148318875
2001-03,393.5808578504329
2001-06,391.46610852205174
2001-08,390.255069776273
2001-09,391.97085148267115
2001-10,393.1022526846047
2002-01,392.25125698021316
2002-02,389.6871878207529
2002-05,387.6011968467095
2002-08,385.9811300257653
2002-10,385.03209148805263
2002-12,384.6436152090832
2003-01,384.9379726690977
2003-05,385.0765243461438
2003-07,384.72923351419416
2003-08,383.9835757404326
2003-09,383.7551882875491
2003-10,384.0871040730923
2003-11,384.42710512455915
2003-12,385.09326481359244
2004-01,385.92462280176323
2004-02,386.65981770736494
2004-03,385.9710858139527
2004-04,384.8340862004376
2004-06,383.229530813711
2004-07,380.9437942434238
2004-08,381.496527477595
2004-10,382.85139806163085
2005-02,384.54934606253
2005-04,382.70296850511977
2005-05,378.0108643215729
2005-07,377.4384192554771
2005-08,379.171897298001
2005-09,381.82646007122275
2005-10,383.9540539315171
2005-11,385.0653967036505
2006-02,385.3377677723653
2006-04,383.9286864084957
2006-06,378.39526199359915
2006-07,373.79264964664935
2006-09,377.7730908428662
2006-10,381.4398063708104
2007-03,385.38775287698945
2007-04,388.328433483619
2007-05,389.98963465431996
2007-06,389.5927545469177
2007-09,389.31036044624955
2008-02,388.5773148900398
2008-05,386.13297809402644
2008-06,383.4824701241512
2008-10,380.9662097780058
2009-01,378.3803989924395
2009-03,375.4224206440816
2009-05,374.179509617538
2009-06,374.8113097734067
2009-09,377.097399471003
2010-01,379.63294155210133
2010-05,380.0809375747622
2010-06,378.82936224319894
2010-07,377.9313085542618
2010-11,377.83807252796987
2010-12,379.36977223806986
2011-03,380.7639503521296
2011-04,381.69370124278646
2011-05,382.1248673981231
2011-08,382.12841869063527
2011-09,381.6686152559504
2012-03,380.7676742133735
2012-04,379.8842101960637
2012-05,378.94556333943945
2012-07,378.4415612192872
2012-08,379.04927221664445
2013-01,380.58355290436515
2013-03,381.9997680401769
2013-04,381.5249246577543
2013-05,378.23987322815896
2013-06,376.27519806350875
2013-07,376.28269605130714
2013-09,378.8264660099501
2013-11,381.90526147655805
2013-12,384.15345731286106
2014-01,383.2423902494373
2014-02,382.0217337994747
2014-03,380.92224545664976
2014-04,379.82977383495205
2014-05,376.6339076706614
2014-06,373.6664789735338
2014-07,372.66328840240607
2014-08,373.3116927657928
2014-09,373.68671681596186
2014-10,373.86898664789766
2014-12,374.8306593521148
2015-01,379.45304013279787
2015-02,383.5933020546968
2015-04,382.82751823608874
2015-05,377.69211588711755
2015-06,370.92404931788
2015-07,367.8999510156984
2015-08,371.04249622226916
2015-09,375.97688493483145
2015-12,380.8006121850149
2016-01,384.2635672336148
2016-03,384.6304294432039
2016-04,381.3242476804947
2016-05,375.2302695270118
2016-06,370.53204356341354
2016-08,368.7926309428271
2016-09,369.10584211895684
2016-10,370.4255474704934
2016-12,372.2044666764252
2017-01,373.50376038424906
2017-03,375.119989027277
2017-04,376.95865433201897
2017-05,378.75420386213693
2017-06,376.4774112569819
2017-07,372.55453867772553
2017-08,371.44717067046514
2017-10,374.80443260358857
2017-12,378.74812209277445
2018-02,380.3555109101611
2018-03,380.2496790386196
2018-05,377.846031117596
2018-06,375.6301856345434
2018-07,374.0481522540591
2018-08,373.75253723006756
2018-09,376.05447925248376
2018-10,378.4123480455859
2018-12,379.9418766277569
2019-02,382.67156176413863
2019-03,384.765892370144
2019-04,382.91392416808895
2019-05,376.9715838689737
2019-06,374.2380446546661
2019-08,375.4238369991944
2019-09,376.6663655600961
2019-10,378.1034450231922
2019-11,381.520355249559
2020-01,387.3929797366382
2020-02,390.29298187934177
2020-03,389.5797757384793
2020-04,385.3872786172562
2020-05,380.497581208433
2020-06,378.55179426687596
2020-08,379.9218961293691
2020-09,382.39549907709824
2020-11,384.4669122623972
2020-12,386.0881211638587
2021-01,387.45510114370643
2021-02,389.027225278402
2021-03,388.5978030245228
2021-04,383.6725431295542
2021-05,380.17499409184603
2021-06,381.55923950196495
2021-07,380.68837458113586
2021-08,379.664037145508
2021-09,379.67645353684406
2021-11,383.48332721001
2022-02,391.00925265692064
2022-03,395.7115987321364
2022-04,394.75236266565855
2022-05,389.9675903919343
2022-06,380.65457404842647
2022-07,375.8669999812507
2022-08,377.13722148064613
2022-09,383.31822698928465
2023-01,389.5317896777413
2023-02,388.033672855341
2023-03,379.65148390609465
2023-04,374.1598770770588
2023-05,374.4345887419916
2023-06,375.18761811034955
2023-08,373.36751066209166
2023-10,379.9288874926223
2023-11,380.8497873189801
2023-12,381.4441942943057
2024-01,382.34796361458876
2024-02,380.7642211669629
2024-04,375.7863120404116
2024-05,370.2180262493222
2024-06,373.507323782342
2024-07,377.8227403026094
2024-08,379.81084707769645
2024-09,380.39973068271786
2024-10,380.5020631157578
