dates,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0004,nzd0070-0005,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0010,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0018,nzd0070-0019,nzd0070-0020,nzd0070-0021,nzd0070-0022,nzd0070-0023,nzd0070-0024,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0028,nzd0070-0031,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036,satname
2002-02-23 22:00:43+00:00,436.74,430.9257143,422.81,421.19,421.7557143,427.28,417.09,406.6,391.19,394.81,396.0557143,390.5466667,380.4,386.26,390.0757143,380.69,392.59,411.52,414.35,404.51,397.51,412.39,423.08,428.75,404.53,385.17,394.38,400.34,381.41,383.41,376.18,366.36,378.5957143,L7
2002-03-18 22:06:46+00:00,452.9133333,443.0257143,444.9533333,440.07,426.4157143,417.42,418.85,400.99,394.02,406.81,392.5357143,402.1355556,396.57,383.57,384.8057143,386.35,397.6033333,411.11,409.72,410.37,419.39,425.28,429.88,435.81,429.05,420.61,428.16,434.09,399.59,388.4033333,377.28,379.73,383.5957143,L7
2002-04-12 22:00:37+00:00,475.71,447.0628571,438.8,435.93,415.4628571,416.38,441.88,421.3,417.76,415.01,388.1028571,388.1033333,398.39,391.48,396.2228571,392.03,416.34,414.84,436.21,429.34,454.44,444.52,443.2,438.12,433.66,412.17,431,456.29,422.12,410.29,401.57,393.33,398.3128571,L7
2002-05-21 22:06:41+00:00,432.7333333,432.8371429,448.7833333,427.96,437.6671429,401.24,389.38,391.9,385.97,382.66,388.3471429,403.6855556,400.62,409.33,406.9371429,395.02,406.6833333,390.55,399.57,395.62,398.99,400.14,407.89,410.72,425.96,420.2,411.08,406.6,423.29,430.7433333,424.71,,373.7471429,L7
2002-07-17 22:00:08+00:00,418.97,419.8971429,453.3,434.89,455.1271429,420.89,421.86,417.75,,,,,,,,,,403,,,,,,,,,,,,,,,378.6471429,L7
2002-10-28 22:05:46+00:00,419.6066667,408.4185714,409.1066667,410.88,412.4985714,395.49,392.58,,,,,,,,,,,,,396.36,391.87,398.13,391.79,392.79,385.56,387.28,379.77,368.26,377,377.7466667,367.82,363.74,368.8385714,L7
2002-11-06 21:59:41+00:00,,,,,,,,,,379.32,368.2828571,358.8644444,364.17,360.34,361.1128571,352.54,,,,362.33,377.83,,362.66,369.75,372.13,367.06,376.15,372.79,376.2,362.8466667,371.68,372.52,374.5528571,L7
2002-12-08 22:00:03+00:00,431.8133333,414.03,400.3133333,400.92,392.59,376.01,380.95,,396.06,384.22,391.28,388.4155556,377.79,372.06,371.34,370.74,376.2733333,377.97,381.61,380.8,374.85,382.51,390.29,376.99,378.31,379.97,383.51,387.7,380.93,385.5733333,381.82,368.96,382.52,L7
2003-01-16 22:06:26+00:00,436.05,421.9485714,420.4,422.53,407.3685714,411.94,432.38,426.87,441.97,422.29,399.6485714,384.9566667,372.1,372.79,379.9185714,391.01,404.86,411.37,404.44,401.17,401.69,412.45,413.26,412.17,418.55,420.52,427.02,429.71,413.39,397.12,393.14,388.3,390.9985714,L7
2003-02-10 22:00:29+00:00,423.87,425.2057143,426.94,418.43,411.9957143,414.26,421.57,418.64,414.87,421.29,436.0857143,418.9833333,387.41,387.59,392.7157143,385,391.32,384.54,403.36,400.71,388.18,382.13,395.67,403.2,415.46,424.32,427.29,402.52,403.11,397.92,383.14,376.51,380.2757143,L7
