Year-Month,nzd0273_Average_Value,month,climatology,monthly_anomaly
1999-12,3.3052170072028138,12,0.448029907859431,2.857187099343383
2000-01,3.3246399867082332,1,1.1778091466190008,2.1468308400892324
2000-03,1.0797027910143993,3,0.9212847081650131,0.1584180828493862
2000-07,-0.663894083413646,7,-2.8795738164035267,2.215679732989881
2000-08,-0.9096125588423953,8,-1.71360380172191,0.8039912428795146
2000-11,2.487508719357497,11,-0.6736604061415008,3.161169125498998
2001-03,6.804119045455712,3,0.9212847081650131,5.882834337290699
2001-06,8.196514655113933,6,-2.7826792513170413,10.979193906430975
2001-09,8.393211088856928,9,0.12463001959832158,8.268581069258607
2001-10,7.05996862227398,10,0.20369431211412048,6.8562743101598596
2001-12,4.807050051713278,12,0.448029907859431,4.359020143853847
2002-02,2.7610077722647244,2,1.963566342800982,0.7974414294637424
2002-05,1.2088167620310524,5,-0.9112224054095381,2.1200391674405905
2002-08,0.8319419090036633,8,-1.71360380172191,2.5455457107255732
2002-10,1.459867325665652,10,0.20369431211412048,1.2561730135515314
2002-12,1.9670011910654337,12,0.448029907859431,1.5189712832060027
2003-01,2.1489552134871217,1,1.1778091466190008,0.9711460668681209
2003-02,2.3215206277894924,2,1.963566342800982,0.35795428498851045
2003-03,2.601270840999915,3,0.9212847081650131,1.679986132834902
2003-04,2.464739508085067,4,-0.7427067512042951,3.2074462592893624
2003-05,1.5004739384801677,5,-0.9112224054095381,2.411696343889706
2003-07,1.138958375906416,7,-2.8795738164035267,4.018532192309943
2003-10,1.6798424141228647,10,0.20369431211412048,1.4761481020087444
2003-11,1.0523447454462986,11,-0.6736604061415008,1.7260051515877994
2004-03,-3.0068704014283334,3,0.9212847081650131,-3.9281551095933462
2004-04,-7.135932169729187,4,-0.7427067512042951,-6.393225418524891
2004-05,-7.83801706655264,5,-0.9112224054095381,-6.926794661143101
2004-06,-9.081690597786011,6,-2.7826792513170413,-6.299011346468969
2004-07,-10.94813618113919,7,-2.8795738164035267,-8.068562364735664
2004-08,-8.632776633675467,8,-1.71360380172191,-6.919172831953557
2004-09,-3.420917958749428,9,0.12463001959832158,-3.5455479783477495
2004-11,1.4072223736446836,11,-0.6736604061415008,2.0808827797861844
2005-01,3.4124576847160513,1,1.1778091466190008,2.2346485380970504
2005-02,3.7414127620694244,2,1.963566342800982,1.7778464192684424
2005-03,1.5059000426469427,3,0.9212847081650131,0.5846153344819296
2005-04,-1.5199354901908655,4,-0.7427067512042951,-0.7772287389865704
2005-05,-3.1129591608756346,5,-0.9112224054095381,-2.2017367554660963
2005-06,-3.1208392238724407,6,-2.7826792513170413,-0.3381599725553994
2005-08,-2.525409955613706,8,-1.71360380172191,-0.8118061538917962
2005-09,-1.5525168696896932,9,0.12463001959832158,-1.6771468892880148
2005-10,-0.08218352040309873,10,0.20369431211412048,-0.2858778325172192
2005-11,1.0205228648767923,11,-0.6736604061415008,1.6941832710182931
2006-01,2.101994307971845,1,1.1778091466190008,0.924185161352844
2006-02,3.390318728832537,2,1.963566342800982,1.4267523860315552
2006-03,0.6714083581306065,3,0.9212847081650131,-0.24987635003440656
2006-05,-2.623478560535365,5,-0.9112224054095381,-1.712256155125827
2006-06,-4.112258791897162,6,-2.7826792513170413,-1.3295795405801205
2006-07,-3.0095121329869157,7,-2.8795738164035267,-0.12993831658338895
2006-08,-0.9353235319593358,8,-1.71360380172191,0.7782802697625741
2006-11,1.4352514166192658,11,-0.6736604061415008,2.1089118227607666
2006-12,2.8777939769352385,12,0.448029907859431,2.4297640690758078
2007-02,3.229500925607186,2,1.963566342800982,1.2659345828062039
2007-04,3.167583083222991,4,-0.7427067512042951,3.910289834427286
2007-05,3.0312309793190146,5,-0.9112224054095381,3.9424533847285526
2007-09,3.6775875537127267,9,0.12463001959832158,3.5529575341144053
2007-10,4.327177772564847,10,0.20369431211412048,4.123483460450726
2007-12,4.620267251235928,12,0.448029907859431,4.172237343376497
2008-02,2.1014877846648417,2,1.963566342800982,0.13792144186385968
2008-03,0.25130031543667875,3,0.9212847081650131,-0.6699843927283343
2008-05,-0.56084631933183,5,-0.9112224054095381,0.3503760860777081
2008-08,-1.0670687886406074,8,-1.71360380172191,0.6465350130813026
2008-09,-0.8749318761422105,9,0.12463001959832158,-0.999561895740532
2008-10,-0.12351782005875415,10,0.20369431211412048,-0.32721213217287465
2009-03,0.2448022371605566,3,0.9212847081650131,-0.6764824710044565
2009-11,0.4079593563854086,11,-0.6736604061415008,1.0816197625269095
2010-01,0.14851000511895865,1,1.1778091466190008,-1.029299141500042
2010-05,-1.6000318713150588,5,-0.9112224054095381,-0.6888094659055206
2010-06,-3.8405051916695405,6,-2.7826792513170413,-1.0578259403524992
2010-07,-4.635419041480508,7,-2.8795738164035267,-1.755845225076981
2010-08,-3.387627729192402,8,-1.71360380172191,-1.6740239274704922
2010-10,-1.520831168891613,10,0.20369431211412048,-1.7245254810057333
2010-12,0.13559515208181544,12,0.448029907859431,-0.31243475577761554
2011-01,1.048107361414694,1,1.1778091466190008,-0.12970178520430675
2011-02,0.41621985254761057,2,1.963566342800982,-1.5473464902533713
2011-03,0.26601414968217246,3,0.9212847081650131,-0.6552705584828407
2011-04,0.1208316400817846,4,-0.7427067512042951,0.8635383912860797
2011-08,-0.5862991349112379,8,-1.71360380172191,1.127304666810672
2011-09,-1.4818000220405727,9,0.12463001959832158,-1.6064300416388944
2011-11,-1.6511751957038878,11,-0.6736604061415008,-0.977514789562387
2012-03,-1.447912539346039,3,0.9212847081650131,-2.3691972475110523
2012-04,-1.0088340213340419,4,-0.7427067512042951,-0.2661272701297468
2012-05,1.5098558929804706,5,-0.9112224054095381,2.4210782983900088
2012-06,4.488774680817654,6,-2.7826792513170413,7.271453932134696
2012-08,5.841466912784771,8,-1.71360380172191,7.555070714506681
2012-09,6.6183969659089295,9,0.12463001959832158,6.493766946310608
2013-01,6.206028338239247,1,1.1778091466190008,5.028219191620247
2013-03,5.588436099263836,3,0.9212847081650131,4.667151391098823
2013-04,5.792547413396379,4,-0.7427067512042951,6.5352541646006745
2013-05,5.735690125417584,5,-0.9112224054095381,6.646912530827122
2013-06,5.0899819871261744,6,-2.7826792513170413,7.872661238443216
2013-07,4.182248562527118,7,-2.8795738164035267,7.0618223789306445
2013-08,3.413513953706288,8,-1.71360380172191,5.127117755428198
2013-09,3.15727326204419,9,0.12463001959832158,3.0326432424458685
2013-11,2.34654564233141,11,-0.6736604061415008,3.020206048472911
2013-12,0.16699716572918527,12,0.448029907859431,-0.2810327421302457
2014-01,-1.3435985481926143,1,1.1778091466190008,-2.5214076948116153
2014-02,-0.8279303049403706,2,1.963566342800982,-2.7914966477413525
2014-03,-1.6004500544191065,3,0.9212847081650131,-2.5217347625841198
2014-04,-1.8659665055306445,4,-0.7427067512042951,-1.1232597543263494
2014-06,-1.5359208101050519,6,-2.7826792513170413,1.2467584412119894
2014-07,-0.7618755644488999,7,-2.8795738164035267,2.117698251954627
2014-08,1.2044529303276055,8,-1.71360380172191,2.918056732049515
2014-09,1.6502558568818575,9,0.12463001959832158,1.5256258372835358
2014-10,1.5142995501263468,10,0.20369431211412048,1.3106052380122262
2014-11,1.9174717165423563,11,-0.6736604061415008,2.591132122683857
2014-12,1.967685576021638,12,0.448029907859431,1.519655668162207
2015-01,1.6450752847921968,1,1.1778091466190008,0.46726613817319596
2015-02,1.4278835497237092,2,1.963566342800982,-0.5356827930772727
2015-03,0.24098708363795524,3,0.9212847081650131,-0.6802976245270578
2015-04,-1.4872087344051892,4,-0.7427067512042951,-0.7445019832008941
2015-05,-3.278399844457942,5,-0.9112224054095381,-2.3671774390484037
2015-06,-5.067005175651654,6,-2.7826792513170413,-2.284325924334613
2015-07,-6.479085537403658,7,-2.8795738164035267,-3.5995117210001313
2015-08,-6.543815585771505,8,-1.71360380172191,-4.830211784049594
2015-09,-4.439330328618452,9,0.12463001959832158,-4.563960348216773
2015-10,0.39738637303018276,10,0.20369431211412048,0.19369206091606228
2016-01,4.97078541308889,1,1.1778091466190008,3.7929762664698896
2016-02,6.372885746057533,2,1.963566342800982,4.409319403256552
2016-03,3.8554960348003515,3,0.9212847081650131,2.9342113266353387
2016-05,1.185572441574702,5,-0.9112224054095381,2.09679484698424
2016-06,-0.784632886430502,6,-2.7826792513170413,1.9980463648865392
2016-08,-1.2589876718472404,8,-1.71360380172191,0.4546161298746696
2016-10,-0.44927345642994093,10,0.20369431211412048,-0.6529677685440614
2016-11,0.33370938816263274,11,-0.6736604061415008,1.0073697943041335
2016-12,0.6832148501850508,12,0.448029907859431,0.23518494232561982
2017-01,0.645203779791916,1,1.1778091466190008,-0.5326053668270848
2017-02,0.4057698047322188,2,1.963566342800982,-1.557796538068763
2017-04,-0.43904555868293543,4,-0.7427067512042951,0.30366119252135965
2017-05,-0.7019479829196142,5,-0.9112224054095381,0.2092744224899239
2017-07,-1.8082983206144954,7,-2.8795738164035267,1.0712754957890314
2017-08,-2.8582677087184067,8,-1.71360380172191,-1.1446639069964968
2017-10,-2.22159494502465,10,0.20369431211412048,-2.4252892571387705
2017-11,0.06335923764974816,11,-0.6736604061415008,0.737019643791249
2017-12,2.4062476443277063,12,0.448029907859431,1.9582177364682753
2018-01,2.382878261471183,1,1.1778091466190008,1.2050691148521824
2018-03,0.77678335433111,3,0.9212847081650131,-0.14450135383390306
2018-05,-0.6874401261572631,5,-0.9112224054095381,0.223782279252275
2018-06,-1.4441548502282238,6,-2.7826792513170413,1.3385244010888175
2018-07,-2.0373972629386023,7,-2.8795738164035267,0.8421765534649244
2018-08,-1.6774467665471238,8,-1.71360380172191,0.03615703517478619
2018-09,-0.9431359284875935,9,0.12463001959832158,-1.0677659480859152
2018-10,-0.6120350598883588,10,0.20369431211412048,-0.8157293720024793
2018-11,-0.6288976523740232,11,-0.6736604061415008,0.044762753767477625
2018-12,-0.35222171931684987,12,0.448029907859431,-0.8002516271762808
2019-01,-0.33017647715634385,1,1.1778091466190008,-1.5079856237753446
2019-02,-0.596162857378989,2,1.963566342800982,-2.559729200179971
2019-03,-1.5928835264845358,3,0.9212847081650131,-2.514168234649549
2019-04,-1.4308630637727835,4,-0.7427067512042951,-0.6881563125684884
2019-06,-1.1425018272829002,6,-2.7826792513170413,1.6401774240341411
2019-08,-0.23814740573477597,8,-1.71360380172191,1.475456395987134
2019-09,0.10411569837350418,9,0.12463001959832158,-0.020514321224817403
2019-10,0.5531004220416214,10,0.20369431211412048,0.3494061099275009
2019-11,1.6957240681450902,11,-0.6736604061415008,2.369384474286591
2019-12,2.7023273193861836,12,0.448029907859431,2.2542974115267524
2020-01,3.4656594015895834,1,1.1778091466190008,2.2878502549705826
2020-02,3.7676272931786485,2,1.963566342800982,1.8040609503776666
2020-03,2.4971453055092048,3,0.9212847081650131,1.5758605973441917
2020-04,-0.0013359953792804191,4,-0.7427067512042951,0.7413707558250147
2020-05,-2.996113120066236,5,-0.9112224054095381,-2.084890714656698
2020-06,-3.2789455784926353,6,-2.7826792513170413,-0.49626632717559405
2020-07,-1.3115656070288801,7,-2.8795738164035267,1.5680082093746466
2020-08,0.48709297821190867,8,-1.71360380172191,2.2006967799338186
2020-09,0.9973097815796548,9,0.12463001959832158,0.8726797619813332
2020-10,1.2541045144719787,10,0.20369431211412048,1.0504102023578583
2020-11,-1.6775227270436637,11,-0.6736604061415008,-1.0038623209021629
2020-12,-4.214361938181171,12,0.448029907859431,-4.662391846040602
2021-01,-0.4125051629755154,1,1.1778091466190008,-1.5903143095945163
